Summer 2008,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,925,34.8%,,,,,,,925,34.8%,
Gender,Female,407,20.1%,,,,,,,407,20.1%,
,Male,518,49.3%,,,,,,,518,49.3%,
Ethnicity,White,571,26.0%,,,,,,,571,26.0%,
,Black,123,132.1%,,,,,,,123,132.1%,
,Hispanic,165,26.9%,,,,,,,165,26.9%,
,Asian,50,42.9%,,,,,,,50,42.9%,
,American Indian,5,-37.5%,,,,,,,5,-37.5%,
,International,8,100.0%,,,,,,,8,100.0%,
,Unknown/Other,3,0.0%,,,,,,,3,0.0%,
TAMU Age,<18,3,-25.0%,,,,,,,3,-25.0%,
Categories,18-21,894,35.0%,,,,,,,894,35.0%,
,22-25,24,33.3%,,,,,,,24,33.3%,
,26-30,0,-100.0%,,,,,,,0,-100.0%,
,31-39,1,100.0%,,,,,,,1,100.0%,
,40+,3,100.0%,,,,,,,3,100.0%,
Enrollment,1st Time in College,357,27.0%,,,,,,,357,27.0%,
Status,1st Time PB,,,,,,,,,,,
,1st Time Graduate,,,,,,,,,,,
,1st Time Transfer,1,-75.0%,,,,,,,1,-75.0%,
,Readmitted,4,300.0%,,,,,,,4,300.0%,
,Continuing,563,40.8%,,,,,,,563,40.8%,
Tuition,Resident Tuition,872,34.2%,,,,,,,872,34.2%,
Status,Non-Resident  Tuition,31,106.7%,,,,,,,31,106.7%,
,Tuition Exemption/Waiver,22,4.8%,,,,,,,22,4.8%,
Residency,Texas Resident,872,33.7%,,,,,,,872,33.7%,
Status,"Non-TX, US Resident",44,46.7%,,,,,,,44,46.7%,
,"Non-TX, Non-US Resident",9,125.0%,,,,,,,9,125.0%,
SCH,< 6 SCH,240,43.7%,,,,,,,240,43.7%,
Categories,6-8 SCH,582,214.6%,,,,,,,582,214.6%,
,9-11 SCH,66,-78.1%,,,,,,,66,-78.1%,
,12-14 SCH,34,6.3%,,,,,,,34,6.3%,
,15-17 SCH,3,100.0%,,,,,,,3,100.0%,
,>17 SCH,,,,,,,,,,,
Ft/Pt:,Less Than Half Time,14,133.3%,,,,,,,14,133.3%,
"TAMU
Status","Half-Time
Three-Quarter Time","256
2","33.3%
100.0%",,,,,,,"256
2","33.3%
100.0%",
,Full-Time,653,34.1%,,,,,,,653,34.1%,
"Prepared by OISP, 06 Aug 08",,,,,,,,,,,,
