Summer 2008,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"2,290",3.5%,122,1.7%,241,3.0%,,,"2,653",3.4%,
Gender,Female,"1,348",3.5%,66,-5.7%,135,11.6%,,,"1,549",3.7%,
,Male,942,3.5%,56,12.0%,106,-6.2%,,,"1,104",2.9%,
Ethnicity,White,"1,735",-1.6%,67,-10.7%,130,0.0%,,,"1,932",-1.8%,
,Black,105,34.6%,10,11.1%,13,30.0%,,,128,32.0%,
,Hispanic,335,24.1%,18,5.9%,23,-11.5%,,,376,20.1%,
,Asian,70,37.3%,2,-60.0%,7,0.0%,,,79,25.4%,
,American Indian,12,0.0%,1,100.0%,3,0.0%,,,16,6.7%,
,International,18,50.0%,21,61.5%,60,17.6%,,,99,30.3%,
,Unknown/Other,15,-44.4%,3,200.0%,5,-28.6%,,,23,-34.3%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,"1,153",5.7%,,,,,,,"1,153",5.7%,
,22-25,"1,048",1.7%,55,-15.4%,19,46.2%,,,"1,122",1.3%,
,26-30,60,7.1%,43,16.2%,105,-6.3%,,,208,1.5%,
,31-39,21,-8.7%,17,41.7%,88,6.0%,,,126,6.8%,
,40+,8,-38.5%,7,16.7%,29,11.5%,,,44,-2.2%,
Enrollment,1st Time in College,4,-33.3%,,,,,,,4,-33.3%,
Status,1st Time PB,0,-100.0%,1,0.0%,,,,,1,-50.0%,
,1st Time Graduate,,,4,300.0%,7,100.0%,,,11,1000.0%,
,1st Time Transfer,24,-17.2%,,,,,,,24,-17.2%,
,Readmitted,31,29.2%,,,0,-100.0%,,,31,24.0%,
,Continuing,"2,231",3.6%,117,-0.8%,234,0.4%,,,"2,582",3.1%,
Tuition,Resident Tuition,"2,176",3.5%,59,-3.3%,94,-1.1%,,,"2,329",3.1%,
Status,Non-Resident  Tuition,51,-3.8%,17,6.3%,31,55.0%,,,99,11.2%,
,Tuition Exemption/Waiver,63,8.6%,46,7.0%,116,-2.5%,,,225,2.3%,
Residency,Texas Resident,"2,194",3.6%,60,-4.8%,99,-1.0%,,,"2,353",3.2%,
Status,"Non-TX, US Resident",78,-4.9%,41,-6.8%,81,-1.2%,,,200,-3.8%,
,"Non-TX, Non-US Resident",18,38.5%,21,61.5%,61,17.3%,,,100,28.2%,
SCH,< 6 SCH,617,2.8%,59,3.5%,149,8.8%,,,825,3.9%,
Categories,6-8 SCH,962,4.1%,58,-3.3%,88,-9.3%,,,"1,108",2.5%,
,9-11 SCH,352,3.8%,2,-33.3%,3,100.0%,,,357,4.4%,
,12-14 SCH,326,1.6%,3,100.0%,1,100.0%,,,330,2.8%,
,15-17 SCH,27,22.7%,,,,,,,27,22.7%,
,>17 SCH,6,-14.3%,,,,,,,6,-14.3%,
Ft/Pt:,Less Than Half Time,91,7.1%,12,-36.8%,48,29.7%,,,151,7.1%,
"TAMU
Status","Half-Time
Three-Quarter Time","659
2","0.8%
-50.0%","9
1","12.5%
100.0%","15
1","-16.7%
0.0%",,,"683
4","0.4%
-20.0%",
,Full-Time,"1,538",4.6%,100,7.5%,177,-0.6%,,,"1,815",4.3%,
"Prepared by OISP, 06 Aug 08",,,,,,,,,,,,
