Summer 2008,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,468,-0.6%,50,-5.7%,67,17.5%,135,-9.4%,720,-1.4%,
Gender,Female,298,-0.7%,32,-17.9%,49,58.1%,105,-0.9%,484,1.7%,
,Male,170,-0.6%,18,28.6%,18,-30.8%,30,-30.2%,236,-7.1%,
Ethnicity,White,327,-1.2%,32,-5.9%,30,50.0%,116,-13.4%,505,-2.7%,
,Black,16,45.5%,1,-66.7%,3,200.0%,1,100.0%,21,40.0%,
,Hispanic,75,17.2%,2,-33.3%,3,-25.0%,9,50.0%,89,15.6%,
,Asian,49,14.0%,1,-50.0%,4,33.3%,7,0.0%,61,10.9%,
,American Indian,,,1,-50.0%,,,1,100.0%,2,0.0%,
,International,1,-50.0%,12,71.4%,25,-10.7%,,,38,2.7%,
,Unknown/Other,0,-100.0%,1,-50.0%,2,100.0%,1,-50.0%,4,-84.0%,
TAMU Age,<18,1,100.0%,,,,,,,1,100.0%,
Categories,18-21,317,8.9%,,,,,,,317,8.9%,
,22-25,145,-17.1%,25,0.0%,3,100.0%,65,14.0%,238,-7.4%,
,26-30,2,-60.0%,19,26.7%,31,29.2%,61,-15.3%,113,-2.6%,
,31-39,1,100.0%,4,-60.0%,26,18.2%,7,-61.1%,38,-24.0%,
,40+,2,100.0%,2,-33.3%,7,-36.4%,2,0.0%,13,-18.8%,
Enrollment,1st Time in College,7,250.0%,,,,,,,7,250.0%,
Status,1st Time PB,,,0,-100.0%,,,,,0,-100.0%,
,1st Time Graduate,,,0,-100.0%,1,0.0%,,,1,-66.7%,
,1st Time Transfer,,,,,,,,,,,
,Readmitted,4,-20.0%,0,-100.0%,0,-100.0%,,,4,-42.9%,
,Continuing,457,-1.5%,50,4.2%,66,20.0%,135,-9.4%,708,-1.1%,
Tuition,Resident Tuition,453,2.5%,28,-17.6%,30,30.4%,124,-8.8%,635,0.0%,
Status,Non-Resident  Tuition,9,-10.0%,3,-25.0%,5,66.7%,1,0.0%,18,0.0%,
,Tuition Exemption/Waiver,6,-68.4%,19,26.7%,32,3.2%,10,-16.7%,67,-13.0%,
Residency,Texas Resident,455,2.2%,31,-13.9%,32,33.3%,125,-10.1%,643,-0.2%,
Status,"Non-TX, US Resident",12,-50.0%,7,-30.0%,10,100.0%,10,0.0%,39,-20.4%,
,"Non-TX, Non-US Resident",1,-50.0%,12,71.4%,25,-10.7%,,,38,2.7%,
SCH,< 6 SCH,216,-6.9%,17,-29.2%,16,23.1%,14,7.7%,263,-6.7%,
Categories,6-8 SCH,186,2.8%,24,-11.1%,45,7.1%,119,38.4%,374,11.3%,
,9-11 SCH,45,-6.3%,7,250.0%,3,200.0%,1,-98.0%,56,-44.6%,
,12-14 SCH,18,80.0%,2,100.0%,3,200.0%,1,100.0%,24,118.2%,
,15-17 SCH,2,100.0%,,,,,,,2,100.0%,
,>17 SCH,1,100.0%,,,,,,,1,100.0%,
Ft/Pt:,Less Than Half Time,62,-24.4%,7,-56.3%,11,120.0%,1,0.0%,81,-22.1%,
"TAMU
Status","Half-Time
Three-Quarter Time","187
1","-5.6%
-80.0%",7,0.0%,"5
0","-28.6%
-100.0%",1,-50.0%,"200
1","-6.5%
-83.3%",
,Full-Time,218,17.2%,36,20.0%,51,15.9%,133,-8.9%,438,7.9%,
"Prepared by OISP, 06 Aug 08",,,,,,,,,,,,
