Summer 2008,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,0,-100.0%,21,-80.9%,1,-99.3%,,,22,-91.7%,
Gender,Female,0,-100.0%,15,-76.6%,1,-98.7%,,,16,-88.9%,
,Male,0,-100.0%,6,-87.0%,0,-100.0%,,,6,-95.0%,
Ethnicity,White,0,-100.0%,5,-90.9%,0,-100.0%,,,5,-95.2%,
,Black,,,2,-33.3%,0,-100.0%,,,2,-71.4%,
,Hispanic,,,4,-20.0%,0,-100.0%,,,4,-55.6%,
,Asian,,,0,-100.0%,0,-100.0%,,,0,-100.0%,
,American Indian,,,,,,,,,,,
,International,0,-100.0%,8,-81.8%,1,-98.8%,,,9,-93.2%,
,Unknown/Other,,,2,100.0%,0,-100.0%,,,2,0.0%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,0,-100.0%,,,,,,,0,-100.0%,
,22-25,0,-100.0%,13,-75.9%,0,-100.0%,,,13,-81.2%,
,26-30,,,4,-90.0%,1,-98.6%,,,5,-95.6%,
,31-39,,,3,-76.9%,0,-100.0%,,,3,-95.3%,
,40+,,,1,-66.7%,0,-100.0%,,,1,-92.9%,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time PB,,,6,-60.0%,,,,,6,-60.0%,
,1st Time Graduate,,,0,-100.0%,,,,,0,-100.0%,
,1st Time Transfer,,,,,,,,,,,
,Readmitted,,,,,,,,,,,
,Continuing,0,-100.0%,15,-83.7%,1,-99.3%,,,16,-93.5%,
Tuition,Resident Tuition,0,-100.0%,9,-81.3%,0,-100.0%,,,9,-90.3%,
Status,Non-Resident  Tuition,0,-100.0%,3,-70.0%,1,-91.7%,,,4,-85.2%,
,Tuition Exemption/Waiver,,,9,-82.7%,0,-100.0%,,,9,-93.8%,
Residency,Texas Resident,0,-100.0%,8,-84.3%,0,-100.0%,,,8,-91.8%,
Status,"Non-TX, US Resident",,,5,-66.7%,0,-100.0%,,,5,-84.8%,
,"Non-TX, Non-US Resident",0,-100.0%,8,-81.8%,1,-98.8%,,,9,-93.2%,
SCH,< 6 SCH,0,-100.0%,14,-69.6%,0,-100.0%,,,14,-79.7%,
Categories,6-8 SCH,,,7,-87.0%,1,-99.2%,,,8,-95.7%,
,9-11 SCH,,,0,-100.0%,0,-100.0%,,,0,-100.0%,
,12-14 SCH,,,0,-100.0%,,,,,0,-100.0%,
,15-17 SCH,,,,,,,,,,,
,>17 SCH,,,,,,,,,,,
Ft/Pt:,Less Than Half Time,,,0,-100.0%,0,-100.0%,,,0,-100.0%,
"TAMU
Status","Half-Time
Three-Quarter Time",0,-100.0%,13,-38.1%,0,-100.0%,,,13,-50.0%,
,Full-Time,0,-100.0%,8,-89.9%,1,-99.2%,,,9,-95.9%,
"Prepared by OISP, 06 Aug 08",,,,,,,,,,,,
