Summer 2008,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"1,784",3.8%,497,27.4%,516,5.3%,,,"2,797",7.7%,
Gender,Female,"1,271",4.6%,359,36.0%,343,3.9%,,,"1,973",9.1%,
,Male,513,2.0%,138,9.5%,173,8.1%,,,824,4.4%,
Ethnicity,White,"1,458",2.4%,363,23.9%,282,-1.7%,,,"2,103",4.9%,
,Black,83,13.7%,28,16.7%,84,68.0%,,,195,32.7%,
,Hispanic,184,10.8%,62,47.6%,78,-3.7%,,,324,12.1%,
,Asian,40,17.6%,8,33.3%,9,-30.8%,,,57,7.5%,
,American Indian,8,0.0%,3,0.0%,1,-66.7%,,,12,-14.3%,
,International,7,40.0%,33,57.1%,53,8.2%,,,93,24.0%,
,Unknown/Other,4,-50.0%,0,-100.0%,9,28.6%,,,13,-18.8%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,838,22.7%,2,-60.0%,,,,,840,22.1%,
,22-25,882,-7.3%,250,28.2%,18,-5.3%,,,"1,150",-1.3%,
,26-30,43,-10.4%,124,44.2%,110,23.6%,,,277,24.2%,
,31-39,14,-22.2%,68,6.3%,195,11.4%,,,277,7.8%,
,40+,7,-61.1%,53,32.5%,193,-6.8%,,,253,-4.5%,
Enrollment,1st Time in College,10,11.1%,,,,,,,10,11.1%,
Status,1st Time PB,0,-100.0%,20,100.0%,,,,,20,81.8%,
,1st Time Graduate,,,106,37.7%,33,37.5%,,,139,37.6%,
,1st Time Transfer,27,8.0%,,,,,,,27,8.0%,
,Readmitted,16,45.5%,1,0.0%,4,100.0%,,,21,50.0%,
,Continuing,"1,731",3.5%,370,22.5%,479,3.2%,,,"2,580",5.8%,
Tuition,Resident Tuition,"1,740",4.1%,425,26.1%,402,3.9%,,,"2,567",7.1%,
Status,Non-Resident  Tuition,21,16.7%,23,109.1%,27,50.0%,,,71,51.1%,
,Tuition Exemption/Waiver,23,-17.9%,49,16.7%,87,2.4%,,,159,2.6%,
Residency,Texas Resident,"1,751",4.0%,434,26.5%,416,3.7%,,,"2,601",7.2%,
Status,"Non-TX, US Resident",26,-13.3%,30,15.4%,47,17.5%,,,103,7.3%,
,"Non-TX, Non-US Resident",7,40.0%,33,57.1%,53,8.2%,,,93,24.0%,
SCH,< 6 SCH,588,8.3%,128,23.1%,236,-9.6%,,,952,4.8%,
Categories,6-8 SCH,598,2.0%,150,15.4%,206,22.6%,,,954,7.9%,
,9-11 SCH,305,18.7%,159,33.6%,64,25.5%,,,528,23.7%,
,12-14 SCH,251,-14.0%,55,66.7%,9,12.5%,,,315,-5.4%,
,15-17 SCH,37,2.8%,5,25.0%,1,-50.0%,,,43,2.4%,
,>17 SCH,5,25.0%,,,,,,,5,25.0%,
Ft/Pt:,Less Than Half Time,59,-23.4%,5,25.0%,156,-11.4%,,,220,-14.4%,
"TAMU
Status","Half-Time
Three-Quarter Time","615
2","8.3%
-60.0%","21
1","200.0%
100.0%",21,-38.2%,,,"657
3","7.9%
-40.0%",
,Full-Time,"1,108",3.7%,470,24.0%,339,21.1%,,,"1,917",11.0%,
"Prepared by OISP, 06 Aug 08",,,,,,,,,,,,
