Summer 2008,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,187,22.2%,76,-15.6%,98,-1.0%,,,361,5.6%,
Gender,Female,63,14.5%,36,-14.3%,33,0.0%,,,132,1.5%,
,Male,124,26.5%,40,-16.7%,65,-1.5%,,,229,8.0%,
Ethnicity,White,155,23.0%,49,-21.0%,37,19.4%,,,241,10.0%,
,Black,0,-100.0%,1,0.0%,0,-100.0%,,,1,-66.7%,
,Hispanic,17,21.4%,6,-14.3%,0,-100.0%,,,23,0.0%,
,Asian,6,0.0%,,,1,100.0%,,,7,16.7%,
,American Indian,1,0.0%,,,,,,,1,0.0%,
,International,8,100.0%,19,0.0%,58,-7.9%,,,85,-1.2%,
,Unknown/Other,0,-100.0%,1,0.0%,2,0.0%,,,3,-25.0%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,64,-3.0%,,,,,,,64,-3.0%,
,22-25,110,48.6%,41,2.5%,2,0.0%,,,153,31.9%,
,26-30,9,28.6%,24,-27.3%,46,0.0%,,,79,-8.1%,
,31-39,3,-40.0%,9,-43.8%,41,2.5%,,,53,-13.1%,
,40+,1,0.0%,2,100.0%,9,-18.2%,,,12,-7.7%,
Enrollment,1st Time in College,2,100.0%,,,,,,,2,100.0%,
Status,1st Time PB,1,100.0%,1,0.0%,,,,,2,100.0%,
,1st Time Graduate,,,0,-100.0%,1,-50.0%,,,1,-66.7%,
,1st Time Transfer,3,0.0%,,,,,,,3,0.0%,
,Readmitted,,,,,,,,,,,
,Continuing,181,20.7%,75,-14.8%,97,0.0%,,,353,5.4%,
Tuition,Resident Tuition,169,20.7%,37,-14.0%,16,23.1%,,,222,13.3%,
Status,Non-Resident  Tuition,11,57.1%,12,-20.0%,7,-36.4%,,,30,-9.1%,
,Tuition Exemption/Waiver,7,16.7%,27,-15.6%,75,0.0%,,,109,-3.5%,
Residency,Texas Resident,172,20.3%,37,-14.0%,17,13.3%,,,226,12.4%,
Status,"Non-TX, US Resident",7,16.7%,20,-28.6%,23,9.5%,,,50,-9.1%,
,"Non-TX, Non-US Resident",8,100.0%,19,0.0%,58,-7.9%,,,85,-1.2%,
SCH,< 6 SCH,65,12.1%,27,-10.0%,16,-5.9%,,,108,2.9%,
Categories,6-8 SCH,76,28.8%,49,-16.9%,82,0.0%,,,207,3.5%,
,9-11 SCH,30,100.0%,0,-100.0%,,,,,30,87.5%,
,12-14 SCH,15,-11.8%,,,,,,,15,-11.8%,
,15-17 SCH,1,-75.0%,,,,,,,1,-75.0%,
,>17 SCH,,,,,,,,,,,
Ft/Pt:,Less Than Half Time,15,87.5%,17,-26.1%,10,-33.3%,,,42,-8.7%,
"TAMU
Status","Half-Time
Three-Quarter Time","55
1","17.0%
100.0%",4,300.0%,,,,,"59
1","22.9%
100.0%",
,Full-Time,116,18.4%,55,-16.7%,88,4.8%,,,259,4.4%,
"Prepared by OISP, 06 Aug 08",,,,,,,,,,,,
