Summer 2008,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"2,358",8.3%,480,47.7%,402,9.5%,,,"3,240",12.9%,
Gender,Female,"1,148",6.6%,251,49.4%,183,11.6%,,,"1,582",12.3%,
,Male,"1,210",9.9%,229,45.9%,219,7.9%,,,"1,658",13.5%,
Ethnicity,White,"1,859",6.8%,333,46.7%,156,-2.5%,,,"2,348",10.3%,
,Black,112,-3.4%,9,-25.0%,17,21.4%,,,138,-2.8%,
,Hispanic,277,35.8%,30,25.0%,28,12.0%,,,335,32.4%,
,Asian,58,-9.4%,5,25.0%,5,150.0%,,,68,-2.9%,
,American Indian,16,0.0%,1,-66.7%,2,100.0%,,,19,-5.0%,
,International,16,-23.8%,99,90.4%,190,19.5%,,,305,31.5%,
,Unknown/Other,20,25.0%,3,0.0%,4,-33.3%,,,27,8.0%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,959,5.6%,0,-100.0%,,,,,959,5.5%,
,22-25,"1,260",9.5%,284,59.6%,21,-16.0%,,,"1,565",15.6%,
,26-30,98,16.7%,133,29.1%,174,13.0%,,,405,18.8%,
,31-39,32,28.0%,41,36.7%,167,10.6%,,,240,16.5%,
,40+,9,-10.0%,22,69.2%,40,8.1%,,,71,18.3%,
Enrollment,1st Time in College,4,-63.6%,,,,,,,4,-63.6%,
Status,1st Time PB,1,-83.3%,4,-42.9%,,,,,5,-61.5%,
,1st Time Graduate,,,26,52.9%,1,-80.0%,,,27,22.7%,
,1st Time Transfer,56,5.7%,,,,,,,56,5.7%,
,Readmitted,55,111.5%,0,-100.0%,,,,,55,103.7%,
,Continuing,"2,242",7.7%,450,50.0%,401,10.8%,,,"3,093",12.7%,
Tuition,Resident Tuition,"2,234",8.8%,294,48.5%,135,0.7%,,,"2,663",11.6%,
Status,Non-Resident  Tuition,43,-15.7%,13,-18.8%,33,43.5%,,,89,-1.1%,
,Tuition Exemption/Waiver,81,11.0%,173,55.9%,234,11.4%,,,488,23.9%,
Residency,Texas Resident,"2,254",9.0%,301,47.5%,141,1.4%,,,"2,696",11.9%,
Status,"Non-TX, US Resident",88,-2.2%,80,15.9%,71,2.9%,,,239,4.8%,
,"Non-TX, Non-US Resident",16,-23.8%,99,90.4%,190,19.5%,,,305,31.5%,
SCH,< 6 SCH,803,7.6%,134,30.1%,74,4.2%,,,"1,011",9.9%,
Categories,6-8 SCH,975,10.0%,306,43.0%,323,11.4%,,,"1,604",15.4%,
,9-11 SCH,342,-0.6%,26,225.0%,3,-25.0%,,,371,4.2%,
,12-14 SCH,210,19.3%,13,100.0%,2,0.0%,,,225,26.4%,
,15-17 SCH,24,4.3%,1,100.0%,,,,,25,8.7%,
,>17 SCH,4,33.3%,,,,,,,4,33.3%,
Ft/Pt:,Less Than Half Time,169,-13.3%,48,41.2%,48,4.3%,,,265,-3.6%,
"TAMU
Status","Half-Time
Three-Quarter Time","892
9","11.9%
-10.0%","33
1","13.8%
100.0%","11
1","-35.3%
0.0%",,,"936
11","11.0%
0.0%",
,Full-Time,"1,288",9.5%,398,51.9%,342,12.9%,,,"2,028",16.5%,
"Prepared by OISP, 06 Aug 08",,,,,,,,,,,,
