,,,,,,,,,,,,,,,
College Agriculture,,,,,,,,,,,,,,,
Summer 2008,,,,,,,,,,,,,,,
White,,,,,,,,,,,,,,,
F            M           Tot,,,,,,,,,,,,,,,
Black,,,,,,,,,,,,,,,
F          M        Tot,,,,,,,,,,,,,,,
Hispanic,,,,,,,,,,,,,,,
F          M        Tot,,,,,,,,,,,,,,,
Asian,,,,,,,,,,,,,,,
F        M       Tot,,,,,,,,,,,,,,,
International,,,,,,,,,,,,,,,
F      M      Tot,,,,,,,,,,,,,,,
Unknown/,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,
F       Tot,,,,,,,,,,,,,,,
Grand Total,,,,,,,,,,,,,,,
F        M      Tot,,,,,,,,,,,,,,,
Headcount Total,,21,29,50,2,2,,1,3,4,24,32,56,,
TAMU Age,18-21,14,22,36,2,2,,,1,1,16,23,39,,
Categories,22-25,5,6,11,,,,1,2,3,6,8,14,,
,26-30,2,,2,,,,,,,2,,2,,
,31-39,,1,1,,,,,,,,1,1,,
,40+,,,,,,,,,,,,,,
Classification,Freshman,,,,,,,,,,,,,,
,Sophomore,5,13,18,1,1,,,,,6,13,19,,
,Junior,13,16,29,1,1,,1,2,3,15,18,33,,
,Senior,3,,3,,,,,1,1,3,1,4,,
Tuition Status,Resident Tuition,20,26,46,1,1,,1,3,4,22,29,51,,
,Non-Resident Tuition,1,3,4,1,1,,,,,2,3,5,,
,Tuition Exemption/Waiver,,,,,,,,,,,,,,
Residency Status,Texas Resident,20,26,46,1,1,,1,3,4,22,29,51,,
,"Non-TX, US Resident",1,3,4,1,1,,,,,2,3,5,,
,"Non-TX, Non-US Resident",,,,,,,,,,,,,,
SCH Categories,< 6 SCH,6,13,19,,,,,,,6,13,19,,
,6-8 SCH,7,12,19,2,2,,1,1,2,10,13,23,,
,9-11 SCH,4,1,5,,,,,2,2,4,3,7,,
,12-14 SCH,4,3,7,,,,,,,4,3,7,,
Ft/Pt:  TAMU,Less Than Half Time,,2,2,,,,,,,,2,2,,
Status,Half-Time,7,14,21,,,,,,,7,14,21,,
,Full-Time,14,13,27,2,2,,1,3,4,17,16,33,,
Top 10% Texas,No,20,29,49,2,2,,1,3,4,23,32,55,,
High School,Yes,1,,1,,,,,,,1,,1,,
First Generation,No,12,19,31,,,,1,2,3,13,21,34,,
,Unknown,1,1,2,1,1,,,,,2,1,3,,
,Yes,8,9,17,1,1,,,1,1,9,10,19,,
Dorm / Off-campus students,"Off-campus
Dorm (On-campus)",21,29,50,2,2,,1,3,4,24,32,56,,
"Prepared by OISP, 06 Aug 08",,,,,,,,,,,,,,,
