Summer 2008,,Undergraduate,,,,,Masters,,,,PhD,,,Professional,Total,
,,1st Time in College,1st Time PB,1st Time Transfer,Readmitted,Continuing,1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,Continuing,,
"Other - Special       AGBU
Populations             FSTC MDSC PHLT",,,,,,,"1
5",,,"2
1
7
5",,,1,,"2
2
8
10",
University,Subtotal Total,432,6,168,133,"12,143","6
66",342,2,"15
2,701",63,4,"1
2,427",135,"22
18,622",
"Prepared by OISP, 06 Aug 08",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
