Summer 2008,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,,,94,14.6%,,,,,94,14.6%,
Gender,Female,,,32,28.0%,,,,,32,28.0%,
,Male,,,62,8.8%,,,,,62,8.8%,
Ethnicity,White,,,72,9.1%,,,,,72,9.1%,
,Black,,,3,50.0%,,,,,3,50.0%,
,Hispanic,,,7,-30.0%,,,,,7,-30.0%,
,Asian,,,2,100.0%,,,,,2,100.0%,
,American Indian,,,0,-100.0%,,,,,0,-100.0%,
,International,,,8,300.0%,,,,,8,300.0%,
,Unknown/Other,,,2,100.0%,,,,,2,100.0%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,,,2,100.0%,,,,,2,100.0%,
,22-25,,,25,-19.4%,,,,,25,-19.4%,
,26-30,,,25,8.7%,,,,,25,8.7%,
,31-39,,,24,84.6%,,,,,24,84.6%,
,40+,,,18,20.0%,,,,,18,20.0%,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time PB,,,25,-3.8%,,,,,25,-3.8%,
,1st Time Graduate,,,1,100.0%,,,,,1,100.0%,
,1st Time Transfer,,,,,,,,,,,
,Readmitted,,,,,,,,,,,
,Continuing,,,68,21.4%,,,,,68,21.4%,
Tuition,Resident Tuition,,,64,3.2%,,,,,64,3.2%,
Status,Non-Resident  Tuition,,,11,175.0%,,,,,11,175.0%,
,Tuition Exemption/Waiver,,,19,18.8%,,,,,19,18.8%,
Residency,Texas Resident,,,71,2.9%,,,,,71,2.9%,
Status,"Non-TX, US Resident",,,15,36.4%,,,,,15,36.4%,
,"Non-TX, Non-US Resident",,,8,300.0%,,,,,8,300.0%,
SCH,< 6 SCH,,,67,8.1%,,,,,67,8.1%,
Categories,6-8 SCH,,,24,50.0%,,,,,24,50.0%,
,9-11 SCH,,,2,-50.0%,,,,,2,-50.0%,
,12-14 SCH,,,1,100.0%,,,,,1,100.0%,
,15-17 SCH,,,,,,,,,,,
,>17 SCH,,,,,,,,,,,
Ft/Pt:,Less Than Half Time,,,,,,,,,,,
"TAMU
Status","Half-Time
Three-Quarter Time",,,45,4.7%,,,,,45,4.7%,
,Full-Time,,,49,25.6%,,,,,49,25.6%,
"Prepared by OISP, 06 Aug 08",,,,,,,,,,,,
