Summer 2008,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
G. Bush,BUSH,21,50.0%,15,66.7%,24,-17.2%,,,15,66.7%,
"School of
Govt",CAIA CHLS,,,"40
15","-4.8%
-11.8%",,,,,"40
15","-4.8%
-11.8%",
,CNPM,,,4,100.0%,,,,,4,100.0%,
,INTA,,,20,42.9%,,,,,20,42.9%,
,Subtotal,,,94,14.6%,,,,,94,14.6%,
Geosciences,ATMO,,,23,-14.8%,,,,,47,-16.1%,
,ENGS,,,,,,,,,21,50.0%,
,ENST,15,25.0%,,,,,,,15,25.0%,
,GEOG,51,18.6%,9,-40.0%,15,-25.0%,,,75,-3.8%,
,GEOL,47,27.0%,15,-6.3%,15,-16.7%,,,77,8.5%,
,GEOP,7,-12.5%,1,-80.0%,7,0.0%,,,15,-25.0%,
,GEOS,,,1,-50.0%,,,,,1,-50.0%,
,METR,43,16.2%,,,,,,,43,16.2%,
,OCNG,,,25,0.0%,33,32.0%,,,58,16.0%,
,SPSG,3,50.0%,,,,,,,3,50.0%,
,WMHS,,,2,100.0%,4,100.0%,,,6,100.0%,
,Subtotal,187,22.2%,76,-15.6%,98,-1.0%,,,361,5.6%,
Liberal Arts,AMST,8,100.0%,,,,,,,8,100.0%,
,ANTH,42,-4.5%,9,-30.8%,11,22.2%,,,62,-6.1%,
,COML,,,1,100.0%,,,,,1,100.0%,
,COMM,322,23.4%,10,-28.6%,29,11.5%,,,361,19.9%,
,ECON,186,-5.6%,21,110.0%,26,18.2%,,,233,1.7%,
,ENGL,249,-2.4%,12,-14.3%,45,0.0%,,,306,-2.5%,
,FREN,8,33.3%,,,,,,,8,33.3%,
,GERM,2,100.0%,,,,,,,2,100.0%,
,HISP,,,0,-100.0%,2,100.0%,,,2,100.0%,
,HIST,258,3.6%,8,-20.0%,8,-11.1%,,,274,2.2%,
,INTS,182,4.6%,,,,,,,182,4.6%,
,MODL,,,2,100.0%,,,,,2,100.0%,
,MUSC,4,-42.9%,,,,,,,4,-42.9%,
,NUTR,,,1,100.0%,1,100.0%,,,2,100.0%,
,PHIL,36,12.5%,4,0.0%,4,-33.3%,,,44,4.8%,
,POLS,310,-18.0%,12,-7.7%,43,-10.4%,,,365,-16.9%,
,PSYC,411,11.1%,27,8.0%,38,2.7%,,,476,10.2%,
,RUSS,2,-33.3%,,,,,,,2,-33.3%,
,SOCI,168,15.9%,15,0.0%,34,6.3%,,,217,13.0%,
,SPAN,44,18.9%,,,,,,,44,18.9%,
,TCMS,41,10.8%,,,,,,,41,10.8%,
,THAR,17,30.8%,,,,,,,17,30.8%,
,Subtotal,"2,290",3.5%,122,1.7%,241,3.0%,,,"2,653",3.4%,
"Prepared by OISP, 06 Aug 08",,,,,,,,,,,,
