Summer 2008,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"2,126",4.6%,905,21.6%,701,3.9%,,,"3,732",8.1%,
Gender,Female,424,10.4%,189,18.9%,131,21.3%,,,744,14.3%,
,Male,"1,702",3.2%,716,22.4%,570,0.5%,,,"2,988",6.7%,
Ethnicity,White,"1,435",0.3%,258,13.2%,107,1.9%,,,"1,800",2.1%,
,Black,77,10.0%,20,-20.0%,12,0.0%,,,109,1.9%,
,Hispanic,301,27.5%,30,-6.3%,25,56.3%,,,356,25.4%,
,Asian,117,10.4%,27,-3.6%,12,-25.0%,,,156,4.0%,
,American Indian,11,120.0%,0,-100.0%,1,100.0%,,,12,71.4%,
,International,155,9.9%,565,32.9%,542,3.4%,,,"1,262",15.8%,
,Unknown/Other,30,-33.3%,5,25.0%,2,0.0%,,,37,-27.5%,
TAMU Age,<18,0,-100.0%,,,,,,,0,-100.0%,
Categories,18-21,"1,153",6.9%,1,0.0%,,,,,"1,154",6.9%,
,22-25,861,0.9%,545,21.7%,52,4.0%,,,"1,458",7.9%,
,26-30,86,19.4%,280,26.7%,358,12.9%,,,724,18.7%,
,31-39,16,-23.8%,76,18.8%,259,-5.1%,,,351,-2.0%,
,40+,10,66.7%,3,-70.0%,32,-8.6%,,,45,-11.8%,
Enrollment,1st Time in College,37,-15.9%,,,,,,,37,-15.9%,
Status,1st Time PB,2,100.0%,0,-100.0%,,,,,2,-66.7%,
,1st Time Graduate,,,38,46.2%,13,44.4%,,,51,45.7%,
,1st Time Transfer,11,-50.0%,,,,,,,11,-50.0%,
,Readmitted,12,0.0%,1,100.0%,,,,,13,8.3%,
,Continuing,"2,064",5.6%,866,21.5%,688,3.3%,,,"3,618",8.6%,
Tuition,Resident Tuition,"1,857",5.5%,239,3.0%,100,8.7%,,,"2,196",5.3%,
Status,Non-Resident  Tuition,149,3.5%,216,35.0%,98,-12.5%,,,463,11.3%,
,Tuition Exemption/Waiver,120,-6.3%,450,27.8%,503,6.8%,,,"1,073",12.8%,
Residency,Texas Resident,"1,870",5.9%,245,2.1%,109,7.9%,,,"2,224",5.6%,
Status,"Non-TX, US Resident",98,-21.6%,93,20.8%,49,-2.0%,,,240,-4.8%,
,"Non-TX, Non-US Resident",158,11.3%,567,32.8%,543,3.6%,,,"1,268",16.0%,
SCH,< 6 SCH,844,-2.9%,394,20.9%,137,-5.5%,,,"1,375",2.6%,
Categories,6-8 SCH,877,13.2%,481,22.1%,548,6.4%,,,"1,906",13.2%,
,9-11 SCH,285,-3.1%,26,23.8%,14,16.7%,,,325,-0.6%,
,12-14 SCH,114,22.6%,3,0.0%,1,-66.7%,,,118,19.2%,
,15-17 SCH,6,200.0%,1,100.0%,1,100.0%,,,8,300.0%,
,>17 SCH,,,,,,,,,,,
Ft/Pt:,Less Than Half Time,317,0.6%,191,28.2%,83,-8.8%,,,591,6.5%,
"TAMU
Status","Half-Time
Three-Quarter Time","686
7","8.2%
-12.5%","103
1","19.8%
100.0%","24
0","33.3%
-100.0%",,,"813
8","10.2%
-11.1%",
,Full-Time,"1,116",3.7%,610,19.8%,594,5.1%,,,"2,320",7.9%,
"Prepared by OISP, 06 Aug 08",,,,,,,,,,,,
