"Fall 2007
Headcount Total
TAMU Age                    <18
Categories                      18-21
22-25
26-30
31-39
40+
Classification                 Freshman Sophomore Junior Senior
Tuition Status                 Resident Tuition
Non-Resident Tuition Tuition Exemption/Waiver
Residency Status            Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
SCH Categories             < 6 SCH 6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:  TAMU                 Less Than Half Time
Status                              Half-Time
Three-Quarter Time Full-Time
Top 10% Texas              No
High School                   Yes
First Generation             No Unknown Yes
Dorm / Off-campus        Off-campus students                           Dorm (On-campus)",White,,,Black,,,,,Hispanic,,,,Asian,,,,,American Indian,,,International,,,Unknown/Other,,,,Grand Total,,,,,
,F,M,Tot,F,,M,,Tot,F,,M,Tot,F,,M,,Tot,F,M,Tot,F,M,Tot,F,M,Tot,,F,M,,To,t,
,144,120,264,,3,,1,4,,14,19,33,,7,,8,15,3,3,6,4,2,6,6,1,,7,181,,154,,335,
,130,102,232,,2,,1,3,,11,17,28,,7,,8,15,3,2,5,3,,3,5,1,,6,161,,131,,292,
,10,13,23,,1,,,1,,2,1,3,,,,,,,,,,1,1,1,,,1,14,,15,,29,
,1,4,5,,,,,,,,1,1,,,,,,,1,1,1,1,2,,,,,2,,7,,9,
,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,2,
,2,,2,,,,,,,1,,1,,,,,,,,,,,,,,,,3,,,,3,
,13,19,32,,,,,,,2,2,4,,1,,1,2,,,,,,,,,,,16,,22,,38,
,81,66,147,,1,,,1,,7,10,17,,6,,5,11,1,2,3,2,1,3,1,1,,2,99,,85,,184,
,50,34,84,,,,1,1,,5,6,11,,,,2,2,1,1,2,2,1,3,3,,,3,61,,45,,106,
,,1,1,,2,,,2,,,1,1,,,,,,1,,1,,,,2,,,2,5,,2,,7,
,138,117,255,,3,,1,4,,13,18,31,,7,,8,15,3,3,6,,,,,1,,1,164,,148,,312,
,4,2,6,,,,,,,1,1,2,,,,,,,,,1,1,2,6,,,6,12,,4,,16,
,2,1,3,,,,,,,,,,,,,,,,,,3,1,4,,,,,5,,2,,7,
,140,117,257,,3,,1,4,,14,19,33,,7,,8,15,3,3,6,,,,,1,,1,167,,149,,316,
,4,3,7,,,,,,,,,,,,,,,,,,,,,6,,,6,10,,3,,13,
,,,,,,,,,,,,,,,,,,,,,4,2,6,,,,,4,,2,,6,
,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,
,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,,1,
,4,5,9,,,,,,,,,,,,,,,1,,1,,,,,,,,5,,5,,10,
,78,58,136,,,,1,1,,6,8,14,,5,,3,8,1,2,3,1,,1,6,1,,7,97,,73,,170,
,59,53,112,,2,,,2,,8,9,17,,2,,5,7,1,,1,3,2,5,,,,,75,,69,,144,
,1,4,5,,1,,,1,,,1,1,,,,,,,1,1,,,,,,,,2,,6,,8,
,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,
,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,,1,
,4,5,9,,,,,,,,,,,,,,,1,,1,,,,,,,,5,,5,,10,
,138,115,253,,3,,1,4,,14,18,32,,7,,8,15,2,3,5,4,2,6,6,1,,7,174,,148,,322,
,139,116,255,,3,,1,4,,14,19,33,,7,,8,15,3,2,5,3,2,5,6,1,,7,175,,149,,324,
,5,4,9,,,,,,,,,,,,,,,,1,1,1,,1,,,,,6,,5,,11,
,98,85,183,,2,,1,3,,8,11,19,,2,,5,7,2,1,3,,,,1,1,,2,113,,104,,217,
,5,2,7,,,,,,,,1,1,,,,,,,,,4,2,6,5,,,5,14,,5,,19,
,41,33,74,,1,,,1,,6,7,13,,5,,3,8,1,2,3,,,,,,,,54,,45,,99,
,138,111,249,,3,,,3,,12,17,29,,5,,8,13,3,2,5,4,2,6,1,1,,2,166,,141,,307,
,6,9,15,,,,1,1,,2,2,4,,2,,,2,,1,1,,,,5,,,5,15,,13,,28,
"Prepared by OISP, 13 Nov 07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
