Fall 2007,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Agriculture,AGBL,160,24.0%,4,-33.3%,60,7.1%,,,160,24.0%,
,AGBU,89,21.9%,,,,,,,93,17.7%,
,AGCJ,108,36.7%,,,,,,,108,36.7%,
,AGEC,332,3.4%,53,15.2%,,,,,445,5.2%,
,AGED,,,55,3.8%,50,-20.6%,,,105,-9.5%,
,AGEN,60,-47.4%,,,,,,,60,-47.4%,
,AGLS,381,30.0%,,,,,,,381,30.0%,
,AGRO,104,-1.9%,13,-23.5%,13,8.3%,,,130,-3.7%,
,AGSC,86,-17.3%,,,,,,,86,-17.3%,
,AGSM,136,-11.1%,2,-33.3%,,,,,138,-11.5%,
,ALED,677,-11.3%,22,4.8%,,,,,699,-10.8%,
,ANBR,,,2,-33.3%,1,0.0%,,,3,-25.0%,
,ANSC,772,1.4%,65,14.0%,14,-26.3%,,,851,1.7%,
,BAEN,69,666.7%,31,55.0%,19,-9.5%,,,119,138.0%,
,BESC,159,-13.1%,,,,,,,159,-13.1%,
,BICH,182,-3.7%,44,15.8%,70,-16.7%,,,296,-4.8%,
,BSEN,6,-53.8%,,,,,,,6,-53.8%,
,DASC,5,-37.5%,2,100.0%,,,,,7,-22.2%,
,ECEN,,,0,-100.0%,,,,,0,-100.0%,
,ECOR,5,100.0%,,,,,,,5,100.0%,
,ENST,16,45.5%,,,,,,,16,45.5%,
,ENTO,93,-13.1%,28,40.0%,25,-13.8%,,,146,-6.4%,
,FISC,,,1,-50.0%,,,,,1,-50.0%,
,FLOR,2,-66.7%,2,-50.0%,,,,,4,-60.0%,
,FORS,22,-18.5%,6,-33.3%,8,-11.1%,,,36,-20.0%,
,FSTC,87,42.6%,2,0.0%,,,,,89,41.3%,
,GENE,133,-8.3%,0,-100.0%,1,0.0%,,,134,-11.8%,
,HORT,148,13.8%,15,25.0%,16,-5.9%,,,179,12.6%,
,NRDV,,,8,0.0%,,,,,8,0.0%,
,NUSC,556,13.0%,,,,,,,556,13.0%,
,NUTR,,,,,0,-100.0%,,,0,-100.0%,
,PLBR,,,15,36.4%,10,-9.1%,,,25,13.6%,
,PLPA,,,13,18.2%,13,18.2%,,,26,18.2%,
,PLSC,,,0,-100.0%,,,,,0,-100.0%,
,POSC,140,-4.1%,12,0.0%,13,-13.3%,,,165,-4.6%,
,PPRO,,,0,-100.0%,,,,,0,-100.0%,
,PREP,,,11,37.5%,16,14.3%,,,27,22.7%,
,PSSC,4,33.3%,,,,,,,4,33.3%,
,RENR,28,40.0%,,,,,,,28,40.0%,
,RLEM,120,-15.5%,36,16.1%,14,-26.3%,,,170,-11.5%,
,RPTS,300,-3.2%,37,12.1%,41,-6.8%,,,378,-2.3%,
,SOSC,,,14,-6.7%,6,0.0%,,,20,-4.8%,
,SPSA,46,76.9%,,,,,,,46,76.9%,
"Prepared by OISP, 13 Nov 07",,,,,,,,,,,,
