Fall 2007,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"2,323",0.4%,389,7.2%,368,0.8%,,,"3,080",1.3%,
Gender,Female,"1,310",-0.5%,144,4.3%,115,4.5%,,,"1,569",0.3%,
,Male,"1,013",1.7%,245,8.9%,253,-0.8%,,,"1,511",2.4%,
Ethnicity,White,"1,623",-1.3%,195,7.7%,119,-3.3%,,,"1,937",-0.6%,
,Black,80,-3.6%,8,-11.1%,1,-50.0%,,,89,-5.3%,
,Hispanic,329,5.1%,17,-22.7%,23,15.0%,,,369,3.9%,
,Asian,259,12.1%,16,-5.9%,16,-5.9%,,,291,9.8%,
,American Indian,14,16.7%,,,4,0.0%,,,18,12.5%,
,International,15,-37.5%,151,15.3%,201,2.6%,,,367,4.6%,
,Unknown/Other,3,-40.0%,2,-33.3%,4,33.3%,,,9,-18.2%,
TAMU Age,<18,12,33.3%,,,,,,,12,33.3%,
Categories,18-21,"1,938",-0.3%,8,-11.1%,,,,,"1,946",-0.3%,
,22-25,347,3.0%,192,7.3%,57,-12.3%,,,596,2.6%,
,26-30,18,20.0%,116,1.8%,214,10.9%,,,348,8.1%,
,31-39,5,-37.5%,48,14.3%,86,-7.5%,,,139,-2.8%,
,40+,3,200.0%,25,31.6%,11,-21.4%,,,39,14.7%,
Enrollment,1st Time in College,717,-6.2%,,,,,,,717,-6.2%,
Status,1st Time PB,4,33.3%,21,50.0%,,,,,25,47.1%,
,1st Time Graduate,,,145,23.9%,15,-58.3%,,,160,4.6%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,74,-19.6%,,,,,,,74,-19.6%,
,Readmitted,11,-21.4%,3,50.0%,0,-100.0%,,,14,-22.2%,
,Continuing,"1,517",5.3%,220,-4.3%,353,8.0%,,,"2,090",4.7%,
Tuition,Resident Tuition,"2,171",0.2%,146,12.3%,72,4.3%,,,"2,389",1.0%,
Status,Non-Resident Tuition,54,5.9%,19,-5.0%,19,-5.0%,,,92,1.1%,
,Tuition  Exemption/Waiver,98,3.2%,224,5.2%,277,0.4%,,,599,2.6%,
Residency,Texas Resident,"2,216",0.7%,152,13.4%,77,-1.3%,,,"2,445",1.3%,
Status,"Non-TX, US Resident",91,3.4%,84,-14.3%,86,-1.1%,,,261,-4.4%,
,"Non-TX, Non-US Resident",16,-33.3%,153,16.8%,205,2.5%,,,374,5.4%,
SCH,< 6 SCH,12,0.0%,48,11.6%,17,-5.6%,,,77,5.5%,
Categories,6-8 SCH,28,-17.6%,26,100.0%,2,0.0%,,,56,14.3%,
,9-11 SCH,54,-25.0%,311,3.0%,346,0.6%,,,711,-1.0%,
,12-14 SCH,"1,201",-3.6%,2,-60.0%,3,100.0%,,,"1,206",-3.6%,
,15-17 SCH,979,8.1%,2,100.0%,0,-100.0%,,,981,8.2%,
,>17 SCH,49,14.0%,,,,,,,49,14.0%,
Ft/Pt:,Less Than Half Time,10,-16.7%,46,35.3%,15,-11.8%,,,71,12.7%,
"TAMU
Status","Half-Time
Three-Quarter Time","25
55","-26.5%
-9.8%",25,78.6%,3,0.0%,,,"53
55","3.9%
-9.8%",
,Full-Time,"2,233",1.2%,318,1.0%,350,1.4%,,,"2,901",1.2%,
"Prepared by OISP, 13 Nov 07",,,,,,,,,,,,
