Fall 2007,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,Total,
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
Architecture,ARCH,34,35,2,1,2,6,4,4,1,2,27,35,1,3,70,81,151,
,COMG,5,14,,1,1,1,,1,,,23,47,,,29,64,93,
,COSC,31,327,1,4,3,37,,4,,,,,,,35,377,412,
,COSL,32,183,3,2,4,26,1,5,1,1,1,1,,,43,218,261,
,ENDL,112,135,2,3,23,38,4,4,2,,3,1,2,,148,181,329,
,ENDS,110,93,2,3,9,20,12,9,1,1,,2,1,,135,128,263,
,LAND,21,56,,,4,4,1,1,,1,7,1,,1,33,64,97,
,LANL,25,31,,1,3,12,4,,,,1,,,,33,44,77,
,LDEV,5,20,1,1,,1,,1,,,1,7,,1,7,31,38,
,URPL,9,11,,,1,3,,,,,10,10,,,20,24,44,
,URSC,5,13,1,,2,2,1,,,,10,22,,,19,37,56,
,USAR,2,1,,,,,,,,,,,,,2,1,3,
,VIZA,12,30,1,,2,5,1,4,,,3,6,,1,19,46,65,
,Subtotal,403,949,13,16,54,155,28,33,5,5,86,132,4,6,593,"1,296",1889,
Business,ACCT,384,295,11,7,35,37,17,17,1,1,8,6,2,2,458,365,823,
Admin,AGBU,1,5,,,,1,,,,,,,,,1,6,7,
,BUAD,806,734,44,17,126,88,43,35,6,5,16,27,1,3,"1,042",909,1951,
,BUAG,1,3,,,,3,,,,1,,,,,1,7,8,
,EMBA,13,54,3,3,3,8,1,5,,,1,5,1,2,22,77,99,
,FINC,224,401,4,6,21,29,14,31,1,2,5,17,1,2,270,488,758,
,INFO,27,87,3,4,5,12,2,5,,1,,3,,2,37,114,151,
,MGMT,150,151,4,2,29,20,12,6,1,,6,4,,1,202,184,386,
,MISY,7,29,,,,2,,1,,1,39,67,,,46,100,146,
,MKTG,386,117,7,2,25,17,10,4,1,,12,11,,,441,151,592,
,MLER,15,48,,,2,5,,,,1,1,,,1,18,55,73,
,USBU,1,1,,,,,,1,,,,,,,1,2,3,
,Subtotal,"2,015","1,925",76,41,246,222,99,105,10,12,88,140,5,13,"2,539","2,458",4997,
Education,CPSY,12,7,4,2,2,1,1,1,,,2,,1,,22,11,33,
,EDAD,111,70,18,19,41,17,2,,1,,4,1,1,1,178,108,286,
,EDCI,216,46,34,8,30,14,7,2,2,2,30,10,2,,321,82,403,
,EDHL,209,21,8,2,29,10,7,1,2,,3,,,,258,34,292,
,EDIS,682,23,20,7,80,5,12,,2,,2,,3,,801,35,836,
,EDKI,385,219,12,12,45,39,6,6,,1,1,,1,2,450,279,729,
,EDSM,98,206,5,15,13,24,1,4,1,1,,,1,,119,250,369,
,EDTC,11,5,,,1,,,,,,8,1,,,20,6,26,
,EHRD,61,22,17,6,18,10,,3,,,15,4,2,,113,45,158,
,EPSY,104,14,12,2,22,5,1,,,1,21,8,,,160,30,190,
,HEED,13,2,7,,1,,2,1,,,1,2,,,24,5,29,
,HLTH,110,15,5,2,14,,1,1,2,,,,,1,132,19,151,
,INST,740,26,8,2,91,11,9,1,2,,3,,2,,855,40,895,
,ISNC,188,109,11,8,32,25,6,8,,2,,2,3,1,240,155,395,
,KINE,174,137,7,3,13,17,2,3,,1,7,21,,2,203,184,387,
,PHED,5,2,,,,,,,,,,,,,5,2,7,
,SPMT,68,123,3,4,3,11,2,2,,1,,1,,,76,142,218,
,SPSY,16,5,7,,8,3,4,,,,1,,,,36,8,44,
,TECR,4,,1,,1,,,,,,,,,,6,,6,
,Subtotal,"3,207","1,052",179,92,444,192,63,33,12,9,98,50,16,7,"4,019","1,435",5454,
"Prepared by OISP, 13 Nov 07",,,,,,,,,,,,,,,,,,,
