Fall 2007,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,,,252,26.6%,,,,,252,26.6%,
Gender,Female,,,94,16.0%,,,,,94,16.0%,
,Male,,,158,33.9%,,,,,158,33.9%,
Ethnicity,White,,,193,22.2%,,,,,193,22.2%,
,Black,,,8,33.3%,,,,,8,33.3%,
,Hispanic,,,23,35.3%,,,,,23,35.3%,
,Asian,,,4,0.0%,,,,,4,0.0%,
,American Indian,,,2,0.0%,,,,,2,0.0%,
,International,,,18,50.0%,,,,,18,50.0%,
,Unknown/Other,,,4,100.0%,,,,,4,100.0%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,,,2,-50.0%,,,,,2,-50.0%,
,22-25,,,136,22.5%,,,,,136,22.5%,
,26-30,,,54,14.9%,,,,,54,14.9%,
,31-39,,,31,34.8%,,,,,31,34.8%,
,40+,,,29,107.1%,,,,,29,107.1%,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time PB,,,59,63.9%,,,,,59,63.9%,
,1st Time Graduate,,,87,29.9%,,,,,87,29.9%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,,,,,,,,,,,
,Readmitted,,,1,100.0%,,,,,1,100.0%,
,Continuing,,,105,9.4%,,,,,105,9.4%,
Tuition,Resident Tuition,,,173,29.1%,,,,,173,29.1%,
Status,Non-Resident Tuition,,,6,-14.3%,,,,,6,-14.3%,
,Tuition  Exemption/Waiver,,,73,25.9%,,,,,73,25.9%,
Residency,Texas Resident,,,187,29.0%,,,,,187,29.0%,
Status,"Non-TX, US Resident",,,47,11.9%,,,,,47,11.9%,
,"Non-TX, Non-US Resident",,,18,50.0%,,,,,18,50.0%,
SCH,< 6 SCH,,,58,34.9%,,,,,58,34.9%,
Categories,6-8 SCH,,,39,95.0%,,,,,39,95.0%,
,9-11 SCH,,,16,14.3%,,,,,16,14.3%,
,12-14 SCH,,,136,14.3%,,,,,136,14.3%,
,15-17 SCH,,,3,0.0%,,,,,3,0.0%,
,>17 SCH,,,,,,,,,,,
Ft/Pt:,Less Than Half Time,,,58,81.3%,,,,,58,81.3%,
"TAMU
Status","Half-Time
Three-Quarter Time",,,39,85.7%,,,,,39,85.7%,
,Full-Time,,,155,6.2%,,,,,155,6.2%,
"Prepared by OISP, 13 Nov 07",,,,,,,,,,,,
