Office of Institutional Studies and Planning,,,,,,,
Graduate Students,,,,,,,
Fall 2007,,,,,,,
Official Certified 12th Class Day Data,,,,,,,
Fall 2007,,"G6: PB
Non-Degree","G7:
Masters","G8:
Doctoral","G9: GR
Conditional",Grand Total,
Head Count,Total,325,"4,991","3,315",49,"8,680",
Gender,Female,139,"2,009","1,354",25,"3,527",
,Male,186,"2,982","1,961",24,"5,153",
Ethnicity,White,212,"2,620","1,238",16,"4,086",
,Black,17,136,162,3,318,
,Hispanic,27,308,248,6,589,
,Asian,13,136,80,1,230,
,American Indian,2,18,16,,36,
,International,50,"1,734","1,533",23,"3,340",
,Unknown/Other,4,39,38,,81,
TAMU Age,18-21,4,116,1,3,124,
Categories,22-25,118,"2,876",243,19,"3,256",
,26-30,80,"1,251","1,327",11,"2,669",
,31-39,67,533,"1,206",12,"1,818",
,40+,56,215,538,4,813,
College,Agriculture,31,553,445,7,"1,036",
,Architecture,6,378,76,1,461,
,Business Admin,,842,69,,911,
,Education,63,555,676,2,"1,296",
,Engineering,39,"1,448",899,13,"2,399",
,G. Bush School of Govt,95,156,,1,252,
,Geosciences,5,131,126,3,265,
,Liberal Arts,11,328,449,2,790,
,Science,28,349,368,12,757,
,Veterinary Medicine,,77,57,3,137,
,Other - Special Populations,47,174,150,5,376,
Enrollment,1st Time PB,213,,,,213,
Status,1st Time Graduate,,"2,256",259,,"2,515",
,Readmitted,,15,10,,25,
,Continuing,112,"2,720","3,046",49,"5,927",
Tuition Status,Resident Tuition,255,"2,483","1,231",19,"3,988",
,Non-Resident Tuition,36,658,341,6,"1,041",
,Tuition Exemption/Waiver,34,"1,850","1,743",24,"3,651",
Residency,Texas Resident,264,"2,536","1,276",21,"4,097",
Status,"Non-TX, US Resident",11,710,500,5,"1,226",
,"Non-TX, Non-US Resident",50,"1,745","1,539",23,"3,357",
SCH,< 6 SCH,177,516,746,3,"1,442",
Categories,6-8 SCH,80,362,178,4,624,
,9-11 SCH,50,"2,902","2,298",40,"5,290",
,12-14 SCH,13,854,77,2,946,
,15-17 SCH,5,278,15,,298,
,>17 SCH,,79,1,,80,
Ft/Pt: TAMU,Less Than Half Time,168,411,603,3,"1,185",
Status,Half-Time,88,422,288,4,802,
,Full-Time,69,"4,158","2,424",42,"6,693",
"Prepared by OISP, 13 Nov 07",,,,,,,
