"Fall 2007
Headcount Total
TAMU Age                    <18
Categories                      18-21
22-25
26-30
31-39
40+
Classification                 Freshman Sophomore Junior Senior
Tuition Status                 Resident Tuition
Non-Resident Tuition Tuition Exemption/Waiver
Residency Status            Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
SCH Categories             < 6 SCH 6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:  TAMU                 Less Than Half Time
Status                              Half-Time
Three-Quarter Time Full-Time
Top 10% Texas              No
High School                   Yes
First Generation             No Unknown Yes
Dorm / Off-campus        Off-campus students                           Dorm (On-campus)",White,,,,Black,,,,,Hispanic,,,,Asian,,,,American Indian,,,International,,,Unknown/Other,,,,Grand Total,,,,,,
,F,,M,Tot,F,,M,,Tot,F,,M,Tot,F,,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,,F,,M,,To,t,
,,19,154,173,,2,,7,9,,5,26,31,,3,13,16,,1,1,6,44,50,,2,,2,,35,,247,,282,
,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,,1,
,,18,116,134,,2,,6,8,,3,13,16,,1,9,10,,1,1,6,26,32,,1,,1,,30,,172,,202,
,,1,25,26,,,,1,1,,1,8,9,,2,4,6,,,,,14,14,,1,,1,,4,,53,,57,
,,,12,12,,,,,,,1,4,5,,,,,,,,,2,2,,,,,,1,,18,,19,
,,,1,1,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,3,,3,
,,1,4,5,,1,,2,3,,1,,1,,,3,3,,,,,6,6,,1,,1,,3,,16,,19,
,,10,94,104,,1,,4,5,,2,12,14,,1,2,3,,,,4,21,25,,1,,1,,18,,134,,152,
,,8,51,59,,,,1,1,,1,11,12,,2,8,10,,1,1,2,15,17,,,,,,13,,87,,100,
,,,5,5,,,,,,,1,3,4,,,,,,,,,2,2,,,,,,1,,10,,11,
,,18,146,164,,2,,7,9,,5,24,29,,3,12,15,,1,1,,1,1,,2,,2,,28,,193,,221,
,,1,4,5,,,,,,,,2,2,,,1,1,,,,5,28,33,,,,,,6,,35,,41,
,,,4,4,,,,,,,,,,,,,,,,,1,15,16,,,,,,1,,19,,20,
,,18,147,165,,2,,7,9,,5,24,29,,3,13,16,,1,1,,,,,2,,2,,28,,194,,222,
,,1,7,8,,,,,,,,2,2,,,,,,,,,,,,,,,,1,,9,,10,
,,,,,,,,,,,,,,,,,,,,,6,44,50,,,,,,6,,44,,50,
,,1,4,5,,,,,,,,,,,,,,,,,,1,1,,,,,,1,,5,,6,
,,2,6,8,,,,,,,,,,,,,,,,,,3,3,,,,,,2,,9,,11,
,,,6,6,,,,,,,,,,,,,,,,,,2,2,,,,,,,,8,,8,
,,14,104,118,,2,,6,8,,5,20,25,,3,10,13,,1,1,2,23,25,,2,,2,,26,,166,,192,
,,2,33,35,,,,1,1,,,6,6,,,3,3,,,,4,14,18,,,,,,6,,57,,63,
,,,1,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,,2,,2,
,,1,4,5,,,,,,,,,,,,,,,,,,1,1,,,,,,1,,5,,6,
,,2,6,8,,,,,,,,,,,,,,,,,,3,3,,,,,,2,,9,,11,
,,,6,6,,,,,,,,,,,,,,,,,,2,2,,,,,,,,8,,8,
,,16,138,154,,2,,7,9,,5,26,31,,3,13,16,,1,1,6,38,44,,2,,2,,32,,225,,257,
,,18,146,164,,2,,7,9,,5,25,30,,3,13,16,,1,1,6,44,50,,2,,2,,34,,238,,272,
,,1,8,9,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,9,,10,
,,14,105,119,,2,,3,5,,1,11,12,,1,4,5,,1,1,,,,,2,,2,,18,,126,,144,
,,1,3,4,,,,,,,,,,,,2,2,,,,6,43,49,,,,,,7,,48,,55,
,,4,46,50,,,,4,4,,4,15,19,,2,7,9,,,,,1,1,,,,,,10,,73,,83,
,,18,145,163,,1,,5,6,,5,23,28,,3,10,13,,1,1,4,35,39,,2,,2,,31,,221,,252,
,,1,9,10,,1,,2,3,,,3,3,,,3,3,,,,2,9,11,,,,,,4,,26,,30,
"Prepared by OISP, 13 Nov 07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
