"Fall 2007
Headcount Total
TAMU Age                    <18
Categories                      18-21
22-25
26-30
31-39
40+
Classification                 Freshman Sophomore Junior Senior
Tuition Status                 Resident Tuition
Non-Resident Tuition Tuition Exemption/Waiver
Residency Status            Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
SCH Categories             < 6 SCH 6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:  TAMU                 Less Than Half Time
Status                              Half-Time
Three-Quarter Time Full-Time
Top 10% Texas              No
High School                   Yes
First Generation             No Unknown Yes
Dorm / Off-campus        Off-campus students                           Dorm (On-campus)",White,,,,Black,,,,,Hispanic,,,,,Asian,,,,,American Indian,,,International,,,Unknown/Other,,,,Grand Total,,,,,
,F,M,,Tot,F,,M,,Tot,F,,M,,Tot,F,,M,,Tot,F,M,Tot,F,M,Tot,F,M,Tot,,F,M,,To,t,
,168,,56,224,,3,,3,6,,28,,4,32,,1,,2,3,,,,3,1,4,3,1,,4,206,,67,,273,
,151,,41,192,,2,,3,5,,20,,2,22,,1,,2,3,,,,1,,1,3,,,3,178,,48,,226,
,14,,13,27,,,,,,,7,,1,8,,,,,,,,,,1,1,,1,,1,21,,16,,37,
,1,,1,2,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,2,,3,
,2,,1,3,,1,,,1,,1,,,1,,,,,,,,,1,,1,,,,,5,,1,,6,
,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,,,,1,
,6,,5,11,,,,,,,1,,,1,,,,1,1,,,,,1,1,1,,,1,8,,7,,15,
,90,,30,120,,1,,2,3,,13,,3,16,,1,,,1,,,,,,,1,1,,2,106,,36,,142,
,71,,19,90,,2,,1,3,,12,,1,13,,,,1,1,,,,,,,1,,,1,86,,22,,108,
,1,,2,3,,,,,,,2,,,2,,,,,,,,,3,,3,,,,,6,,2,,8,
,162,,51,213,,3,,3,6,,28,,4,32,,1,,2,3,,,,,,,1,1,,2,195,,61,,256,
,4,,3,7,,,,,,,,,,,,,,,,,,,2,1,3,1,,,1,7,,4,,11,
,2,,2,4,,,,,,,,,,,,,,,,,,,1,,1,1,,,1,4,,2,,6,
,163,,54,217,,3,,3,6,,28,,4,32,,1,,2,3,,,,,,,1,1,,2,196,,64,,260,
,5,,2,7,,,,,,,,,,,,,,,,,,,,,,2,,,2,7,,2,,9,
,,,,,,,,,,,,,,,,,,,,,,,3,1,4,,,,,3,,1,,4,
,2,,2,4,,,,,,,1,,,1,,,,,,,,,,1,1,,,,,3,,3,,6,
,10,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,10,,2,,12,
,67,,32,99,,2,,2,4,,15,,3,18,,1,,,1,,,,1,,1,3,1,,4,89,,38,,127,
,88,,20,108,,1,,1,2,,12,,1,13,,,,2,2,,,,2,,2,,,,,103,,24,,127,
,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,
,2,,1,3,,,,,,,1,,,1,,,,,,,,,,1,1,,,,,3,,2,,5,
,10,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,10,,2,,12,
,156,,53,209,,3,,3,6,,27,,4,31,,1,,2,3,,,,3,,3,3,1,,4,193,,63,,256,
,162,,55,217,,3,,3,6,,26,,4,30,,1,,2,3,,,,3,1,4,3,1,,4,198,,66,,264,
,6,,1,7,,,,,,,2,,,2,,,,,,,,,,,,,,,,8,,1,,9,
,102,,30,132,,1,,2,3,,10,,,10,,,,1,1,,,,,,,,1,,1,113,,34,,147,
,2,,1,3,,,,,,,1,,,1,,,,,,,,,3,1,4,3,,,3,9,,2,,11,
,64,,25,89,,2,,1,3,,17,,4,21,,1,,1,2,,,,,,,,,,,84,,31,,115,
,159,,54,213,,2,,3,5,,28,,3,31,,1,,2,3,,,,3,1,4,1,1,,2,194,,64,,258,
,9,,2,11,,1,,,1,,,,1,1,,,,,,,,,,,,2,,,2,12,,3,,15,
"Prepared by OISP, 13 Nov 07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
