Fall 2007,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"7,344",1.2%,"1,500",18.2%,899,-4.1%,,,"9,743",3.0%,
Gender,Female,"1,345",-1.4%,296,14.7%,144,4.3%,,,"1,785",1.4%,
,Male,"5,999",1.8%,"1,204",19.1%,755,-5.5%,,,"7,958",3.3%,
Ethnicity,White,"5,497",0.8%,436,3.8%,145,-1.4%,,,"6,078",1.0%,
,Black,180,-7.7%,33,-13.2%,16,-5.9%,,,229,-8.4%,
,Hispanic,950,3.6%,61,1.7%,25,8.7%,,,"1,036",3.6%,
,Asian,377,5.3%,44,4.8%,23,9.5%,,,444,5.5%,
,American Indian,34,13.3%,1,0.0%,2,0.0%,,,37,12.1%,
,International,283,2.2%,919,31.1%,686,-5.2%,,,"1,888",10.9%,
,Unknown/Other,23,-20.7%,6,-14.3%,2,-33.3%,,,31,-20.5%,
TAMU Age,<18,18,-18.2%,,,,,,,18,-18.2%,
Categories,18-21,"5,381",1.4%,55,44.7%,,,,,"5,436",1.7%,
,22-25,"1,756",1.9%,939,22.6%,77,0.0%,,,"2,772",8.0%,
,26-30,144,-8.9%,383,12.6%,422,-7.5%,,,949,-0.5%,
,31-39,35,2.9%,106,1.9%,353,1.7%,,,494,1.9%,
,40+,10,-9.1%,17,-19.0%,47,-17.5%,,,74,-16.9%,
Enrollment,1st Time in College,"1,686",-14.6%,,,,,,,"1,686",-14.6%,
Status,1st Time PB,5,25.0%,16,-30.4%,,,,,21,-22.2%,
,1st Time Graduate,,,618,23.6%,68,-37.6%,,,686,12.6%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,282,4.8%,,,,,,,282,4.8%,
,Readmitted,47,-17.5%,4,33.3%,1,-83.3%,,,52,-21.2%,
,Continuing,"5,324",7.5%,862,16.0%,830,1.0%,,,"7,016",7.6%,
Tuition,Resident Tuition,"6,606",1.0%,431,4.4%,133,-1.5%,,,"7,170",1.1%,
Status,Non-Resident Tuition,303,-5.6%,372,37.8%,144,-11.1%,,,819,8.8%,
,Tuition  Exemption/Waiver,435,10.4%,697,18.9%,622,-2.8%,,,"1,754",8.3%,
Residency,Texas Resident,"6,704",1.1%,438,3.3%,136,-2.9%,,,"7,278",1.1%,
Status,"Non-TX, US Resident",355,3.2%,139,-2.1%,76,4.1%,,,570,2.0%,
,"Non-TX, Non-US Resident",285,1.4%,923,31.3%,687,-5.1%,,,"1,895",10.9%,
SCH,< 6 SCH,105,-7.1%,189,14.5%,131,0.8%,,,425,4.2%,
Categories,6-8 SCH,92,-22.0%,58,9.4%,14,-30.0%,,,164,-14.1%,
,9-11 SCH,218,-21.3%,"1,147",18.6%,734,-1.6%,,,"2,099",5.5%,
,12-14 SCH,"3,767",4.0%,100,22.0%,15,-55.9%,,,"3,882",3.9%,
,15-17 SCH,"2,983",0.4%,6,500.0%,4,-42.9%,,,"2,993",0.5%,
,>17 SCH,179,14.0%,0,-100.0%,1,100.0%,,,180,13.9%,
Ft/Pt:,Less Than Half Time,38,2.7%,148,19.4%,100,1.0%,,,286,10.0%,
"TAMU
Status","Half-Time
Three-Quarter Time","89
215","-21.9%
-21.0%",76,61.7%,25,19.0%,,,"190
215","4.4%
-21.0%",
,Full-Time,"7,002",2.5%,"1,276",16.2%,774,-5.3%,,,"9,052",3.5%,
"Prepared by OISP, 13 Nov 07",,,,,,,,,,,,
