Fall 2007,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"4,158",1.1%,620,13.8%,676,-2.7%,,,"5,454",1.9%,
Gender,Female,"3,106",-0.7%,450,14.2%,463,-2.9%,,,"4,019",0.5%,
,Male,"1,052",6.8%,170,12.6%,213,-2.3%,,,"1,435",6.0%,
Ethnicity,White,"3,460",-0.4%,436,8.5%,363,-5.0%,,,"4,259",0.0%,
,Black,132,10.9%,43,26.5%,96,7.9%,,,271,12.0%,
,Hispanic,454,8.9%,70,29.6%,112,-1.8%,,,636,8.7%,
,Asian,71,7.6%,11,57.1%,14,-6.7%,,,96,9.1%,
,American Indian,15,0.0%,3,100.0%,3,-25.0%,,,21,10.5%,
,International,12,9.1%,57,23.9%,79,-2.5%,,,148,7.2%,
,Unknown/Other,14,27.3%,0,-100.0%,9,-10.0%,,,23,0.0%,
TAMU Age,<18,3,50.0%,,,,,,,3,50.0%,
Categories,18-21,"2,734",7.6%,12,0.0%,1,100.0%,,,"2,747",7.6%,
,22-25,"1,301",-8.3%,299,14.1%,29,-23.7%,,,"1,629",-5.2%,
,26-30,60,-32.6%,137,17.1%,124,6.0%,,,321,-0.6%,
,31-39,36,0.0%,104,22.4%,242,-2.8%,,,382,3.2%,
,40+,24,-11.1%,68,-1.4%,280,-3.8%,,,372,-3.9%,
Enrollment,1st Time in College,513,13.5%,,,,,,,513,13.5%,
Status,1st Time PB,2,0.0%,47,-32.9%,,,,,49,-31.9%,
,1st Time Graduate,,,307,74.4%,60,33.3%,,,367,66.1%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,273,-2.8%,,,,,,,273,-2.8%,
,Readmitted,50,13.6%,1,-80.0%,6,50.0%,,,57,7.5%,
,Continuing,"3,320",-0.4%,265,-9.9%,610,-5.6%,,,"4,195",-1.8%,
Tuition,Resident Tuition,"4,061",1.7%,504,13.5%,528,-2.6%,,,"5,093",2.2%,
Status,Non-Resident Tuition,41,-16.3%,47,20.5%,33,-13.2%,,,121,-4.0%,
,Tuition  Exemption/Waiver,56,-17.6%,69,11.3%,115,0.0%,,,240,-2.0%,
Residency,Texas Resident,"4,085",1.5%,510,13.1%,549,-2.7%,,,"5,144",2.0%,
Status,"Non-TX, US Resident",61,-18.7%,53,10.4%,48,-4.0%,,,162,-6.4%,
,"Non-TX, Non-US Resident",12,9.1%,57,23.9%,79,-2.5%,,,148,7.2%,
SCH,< 6 SCH,34,6.3%,132,4.8%,311,-7.2%,,,477,-3.2%,
Categories,6-8 SCH,307,5.1%,206,4.6%,106,23.3%,,,619,7.7%,
,9-11 SCH,186,-26.2%,199,28.4%,223,-3.5%,,,608,-4.7%,
,12-14 SCH,"1,877",6.9%,78,34.5%,30,-21.1%,,,"1,985",7.2%,
,15-17 SCH,"1,648",0.4%,5,-44.4%,6,20.0%,,,"1,659",0.2%,
,>17 SCH,106,-23.7%,,,,,,,106,-23.7%,
Ft/Pt:,Less Than Half Time,33,3.1%,104,18.2%,248,-7.5%,,,385,-0.8%,
"TAMU
Status","Half-Time
Three-Quarter Time","90
180","-13.5%
-6.7%",234,41.8%,167,36.9%,,,"491
180","25.6%
-6.7%",
,Full-Time,"3,855",1.9%,282,-3.4%,261,-14.4%,,,"4,398",0.4%,
"Prepared by OISP, 13 Nov 07",,,,,,,,,,,,
