Fall 2007,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,489,3.2%,139,-4.8%,126,-0.8%,,,754,0.9%,
Gender,Female,182,7.1%,62,-4.6%,40,-9.1%,,,284,1.8%,
,Male,307,1.0%,77,-4.9%,86,3.6%,,,470,0.4%,
Ethnicity,White,422,1.7%,86,-11.3%,43,-2.3%,,,551,-0.9%,
,Black,3,0.0%,3,200.0%,1,-50.0%,,,7,16.7%,
,Hispanic,40,8.1%,12,20.0%,0,-100.0%,,,52,6.1%,
,Asian,14,16.7%,,,1,0.0%,,,15,15.4%,
,American Indian,2,-33.3%,1,0.0%,1,0.0%,,,4,-20.0%,
,International,7,75.0%,35,2.9%,76,1.3%,,,118,4.4%,
,Unknown/Other,1,100.0%,2,-33.3%,4,100.0%,,,7,40.0%,
TAMU Age,<18,0,-100.0%,,,,,,,0,-100.0%,
Categories,18-21,300,2.7%,,,,,,,300,2.7%,
,22-25,155,5.4%,77,-4.9%,6,-25.0%,,,238,0.8%,
,26-30,17,-15.0%,36,-12.2%,57,9.6%,,,110,-2.7%,
,31-39,12,9.1%,23,15.0%,47,-6.0%,,,82,1.2%,
,40+,5,150.0%,3,-25.0%,16,-5.9%,,,24,4.3%,
Enrollment,1st Time in College,77,0.0%,,,,,,,77,0.0%,
Status,1st Time PB,0,-100.0%,1,-66.7%,,,,,1,-80.0%,
,1st Time Graduate,,,45,-10.0%,16,60.0%,,,61,1.7%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,33,3.1%,,,,,,,33,3.1%,
,Readmitted,6,-60.0%,,,0,-100.0%,,,6,-62.5%,
,Continuing,373,7.2%,93,0.0%,110,-5.2%,,,576,3.4%,
Tuition,Resident Tuition,453,2.5%,61,-7.6%,20,-9.1%,,,534,0.8%,
Status,Non-Resident Tuition,17,21.4%,14,-12.5%,18,5.9%,,,49,4.3%,
,Tuition  Exemption/Waiver,19,5.6%,64,0.0%,88,0.0%,,,171,0.6%,
Residency,Texas Resident,459,2.5%,62,-8.8%,21,-8.7%,,,542,0.6%,
Status,"Non-TX, US Resident",22,0.0%,42,-4.5%,29,0.0%,,,93,-2.1%,
,"Non-TX, Non-US Resident",8,100.0%,35,2.9%,76,1.3%,,,119,5.3%,
SCH,< 6 SCH,3,-40.0%,17,-19.0%,16,-23.8%,,,36,-23.4%,
Categories,6-8 SCH,15,50.0%,5,25.0%,3,0.0%,,,23,35.3%,
,9-11 SCH,32,28.0%,111,-5.9%,105,4.0%,,,248,1.6%,
,12-14 SCH,209,0.5%,6,100.0%,2,100.0%,,,217,2.4%,
,15-17 SCH,208,0.0%,,,0,-100.0%,,,208,-0.5%,
,>17 SCH,22,22.2%,,,,,,,22,22.2%,
Ft/Pt:,Less Than Half Time,2,-60.0%,17,-5.6%,14,-17.6%,,,33,-17.5%,
"TAMU
Status","Half-Time
Three-Quarter Time","14
32","40.0%
28.0%",1,-66.7%,3,50.0%,,,"18
32","20.0%
28.0%",
,Full-Time,441,1.6%,121,-3.2%,109,0.9%,,,671,0.6%,
"Prepared by OISP, 13 Nov 07",,,,,,,,,,,,
