Country,Undergraduate,Masters,PhD,Professional,Total Students
Afghanistan,1,2,,,3
Albania,,1,,,1
Angola,6,1,,,7
Antigua and Barbuda,,,1,,1
Argentina,2,1,1,,4
Armenia,,,3,,3
Australia,4,1,,,5
Austria,2,,1,,3
Azerbaijan,,4,,,4
Bahrain,,1,1,,2
Bangladesh,4,13,9,,26
Barbados,1,,1,,2
Belarus,1,,3,,4
Belgium,2,2,,,4
Belize (British Honduras),1,1,,,2
Bhutan,,,1,,1
Bolivia,7,3,3,,13
Botswana,,,2,,2
Brazil,5,12,16,,33
Bulgaria,1,,5,,6
Burma (Myanmar),,,1,,1
Cameroon,5,3,1,,9
Canada,12,6,24,,42
Cayman Islands,1,,,,1
Chile,,3,7,,10
"China, People's Rep of",26,317,370,,713
Colombia,7,22,29,,58
Costa Rica,5,,,,5
Cote d'Ivoire (Ivory Coast),3,1,,,4
Croatia,1,,,,1
Cyprus,1,1,,,2
Czech Republic,,1,,,1
Dem Republic of Congo (Ziare),,,1,,1
Denmark,2,3,1,,6
Dominica,,,1,,1
Dominican Republic,2,1,1,,4
Ecuador,1,7,8,,16
Egypt (A.R.E.),2,2,16,,20
El Salvador,6,2,1,,9
England,1,,,,1
Equatorial Guinea,5,,,,5
Eritrea,1,,,,1
Estonia,1,,1,,2
Ethiopia,2,1,2,,5
