Office of Institutional Studies and Planning,,,,,,,,,
Undergraduate Students,,,,,,,,,
Fall 2007,,,,,,,,,
Official Certified 12th Class Day Data,,,,,,,,,
,Fall 2007,"U0: UG
Non-Degree","U1:
Freshmen","U2:
Sophomore","U3:
Junior",U4: Senior,U5: Undergraduate PB,Grand Total,
Head Count,Total,16,"9,380","8,221","9,196","10,474",70,"37,357",
Gender,Female,3,"4,638","3,903","4,387","4,963",35,"17,929",
,Male,13,"4,742","4,318","4,809","5,511",35,"19,428",
Ethnicity,White,10,"7,085","6,312","7,223","8,486",54,"29,170",
,Black,,349,268,249,226,2,"1,094",
,Hispanic,,"1,330","1,064","1,147","1,110",6,"4,657",
,Asian,1,457,390,374,403,2,"1,627",
,American Indian,,62,50,47,54,1,214,
,International,3,89,103,131,166,4,496,
,Unknown/Other,2,8,34,25,29,1,99,
TAMU Age,<18,2,74,6,,,,82,
Categories,18-21,1,"9,283","7,966","7,360","3,546",,"28,156",
,22-25,3,15,198,"1,652","6,352",33,"8,253",
,26-30,4,5,35,124,378,23,569,
,31-39,2,1,12,41,134,8,198,
,40+,4,2,4,19,64,6,99,
College,Agriculture,2,686,"1,079","1,705","1,904",24,"5,400",
,Architecture,,232,274,374,546,2,"1,428",
,Business Admin,1,824,846,"1,320","1,095",,"4,086",
,Education,1,638,719,"1,139","1,652",9,"4,158",
,Engineering,6,"1,848","1,664","1,664","2,141",21,"7,344",
,Geosciences,1,86,87,144,166,5,489,
,Liberal Arts,1,905,"1,230","1,787","1,969",,"5,892",
,Science,3,734,480,515,582,9,"2,323",
,Veterinary Medicine,,732,410,351,411,,"1,904",
,General Studies,1,"2,693","1,419",171,,,"4,284",
,Other - Special Populations,,2,13,26,8,,49,
Enrollment,1st Time in College,,"7,591",475,28,,,"8,094",
Status,1st Time PB,,,,,,22,22,
,1st Time Transfer,,124,881,581,46,,"1,632",
,Readmitted,,15,128,136,135,,414,
,Continuing,16,"1,650","6,737","8,451","10,293",48,"27,195",
Tuition Status,Resident Tuition,11,"8,672","7,778","8,750","9,949",64,"35,224",
,Non-Resident Tuition,3,293,230,207,231,1,965,
,Tuition Exemption/Waiver,2,415,213,239,294,5,"1,168",
Residency,Texas Resident,13,"8,895","7,830","8,789","10,007",65,"35,599",
Status,"Non-TX, US Resident",,393,286,270,299,1,"1,249",
,"Non-TX, Non-US Resident",3,92,105,137,168,4,509,
SCH Categories,< 6 SCH,10,589,93,40,276,8,"1,016",
,6-8 SCH,1,54,69,100,794,6,"1,024",
,9-11 SCH,2,50,138,227,854,12,"1,283",
,12-14 SCH,3,"4,982","4,329","4,345","4,593",29,"18,281",
,15-17 SCH,,"3,681","3,482","4,218","3,500",13,"14,894",
,>17 SCH,,24,110,266,457,2,859,
Ft/Pt: TAMU,Less Than Half Time,10,588,88,24,200,7,917,
Status,Half-Time,1,52,68,87,471,5,684,
,Three-Quarter Time,2,48,134,221,845,11,"1,261",
,Full-Time,3,"8,692","7,931","8,864","8,958",47,"34,495",
Top 10% Texas,No,12,"5,735","5,037","5,785","6,476",58,"23,103",
High School,Yes,4,"3,645","3,184","3,411","3,998",12,"14,254",
First Generation,No,3,"6,774","5,913","6,436","7,222",46,"26,394",
,Unknown,10,178,173,250,425,9,"1,045",
,Yes,3,"2,428","2,135","2,510","2,827",15,"9,918",
"Prepared by OISP, 13 Nov 07",,,,,,,,,
