"Fall 2007
Headcount Total
TAMU Age                    <18
Categories                      18-21
22-25
26-30
31-39
40+
Classification                 Freshman Sophomore Junior Senior
Tuition Status                 Resident Tuition
Non-Resident Tuition Tuition Exemption/Waiver
Residency Status            Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
SCH Categories             < 6 SCH 6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:  TAMU                 Less Than Half Time
Status                              Half-Time
Three-Quarter Time Full-Time
Top 10% Texas              No
High School                   Yes
First Generation             No Unknown Yes
Dorm / Off-campus        Off-campus students                           Dorm (On-campus)",White,,,,,Black,,,,,Hispanic,,,,,Asian,,,,,American Indian,,,International,,,Unknown/Other,,,Grand Total,,,,,,
,F,,M,,Tot,F,,M,,Tot,F,,M,,Tot,F,,M,,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,,M,,Tot,,
,,27,,26,53,,2,,1,3,,2,,4,6,,2,,1,3,,,,2,,2,,,,,35,,32,,67,
,,22,,20,42,,1,,1,2,,2,,2,4,,2,,1,3,,,,1,,1,,,,,28,,24,,52,
,,1,,3,4,,,,,,,,,2,2,,,,,,,,,,,,,,,,1,,5,,6,
,,1,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,3,
,,1,,,1,,1,,,1,,,,,,,,,,,,,,1,,1,,,,,3,,,,3,
,,2,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,3,
,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,1,,,,1,
,,6,,7,13,,1,,,1,,,,1,1,,,,,,,,,,,,,,,,7,,8,,15,
,,20,,18,38,,1,,1,2,,2,,3,5,,1,,1,2,,,,1,,1,,,,,25,,23,,48,
,,1,,1,2,,,,,,,,,,,,,,,,,,,1,,1,,,,,2,,1,,3,
,,26,,24,50,,2,,1,3,,2,,4,6,,2,,1,3,,,,,,,,,,,32,,30,,62,
,,1,,,1,,,,,,,,,,,,,,,,,,,2,,2,,,,,3,,,,3,
,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,26,,25,51,,2,,1,3,,2,,4,6,,2,,1,3,,,,,,,,,,,32,,31,,63,
,,1,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,2,
,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,2,,,,2,
,,1,,2,3,,,,,,,,,,,,,,,,,,,1,,1,,,,,2,,2,,4,
,,1,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,2,
,,23,,16,39,,2,,1,3,,2,,4,6,,1,,1,2,,,,1,,1,,,,,29,,22,,51,
,,2,,7,9,,,,,,,,,,,,1,,,1,,,,,,,,,,,3,,7,,10,
,,1,,2,3,,,,,,,,,,,,,,,,,,,1,,1,,,,,2,,2,,4,
,,1,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,2,
,,25,,23,48,,2,,1,3,,2,,4,6,,2,,1,3,,,,1,,1,,,,,32,,29,,61,
,,25,,20,45,,2,,1,3,,2,,4,6,,2,,1,3,,,,2,,2,,,,,33,,26,,59,
,,2,,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,2,,6,,8,
,,14,,15,29,,,,,,,1,,2,3,,2,,1,3,,,,,,,,,,,17,,18,,35,
,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,2,,,,2,
,,13,,11,24,,2,,1,3,,1,,2,3,,,,,,,,,,,,,,,,16,,14,,30,
,,27,,23,50,,2,,1,3,,1,,4,5,,2,,1,3,,,,2,,2,,,,,34,,29,,63,
,,,,3,3,,,,,,,1,,,1,,,,,,,,,,,,,,,,1,,3,,4,
"Prepared by OISP, 13 Nov 07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
