Fall 2007,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"1,428",2.5%,385,6.9%,76,-8.4%,,,"1,889",2.9%,
Gender,Female,423,0.7%,143,7.5%,27,-6.9%,,,593,1.9%,
,Male,"1,005",3.3%,242,6.6%,49,-9.3%,,,"1,296",3.3%,
Ethnicity,White,"1,152",1.0%,182,7.1%,18,-18.2%,,,"1,352",1.4%,
,Black,21,16.7%,7,-41.7%,1,0.0%,,,29,-6.5%,
,Hispanic,185,10.1%,21,-8.7%,3,0.0%,,,209,7.7%,
,Asian,45,7.1%,11,-21.4%,5,66.7%,,,61,3.4%,
,American Indian,9,50.0%,0,-100.0%,1,0.0%,,,10,25.0%,
,International,9,-10.0%,161,19.3%,48,-7.7%,,,218,10.7%,
,Unknown/Other,7,-12.5%,3,-40.0%,0,-100.0%,,,10,-28.6%,
TAMU Age,<18,2,100.0%,,,,,,,2,100.0%,
Categories,18-21,876,0.2%,2,0.0%,,,,,878,0.2%,
,22-25,491,7.9%,179,0.0%,0,-100.0%,,,670,5.5%,
,26-30,43,7.5%,141,16.5%,23,9.5%,,,207,13.7%,
,31-39,10,-44.4%,53,8.2%,39,-13.3%,,,102,-8.9%,
,40+,6,20.0%,10,11.1%,14,-12.5%,,,30,0.0%,
Enrollment,1st Time in College,196,4.8%,,,,,,,196,4.8%,
Status,1st Time PB,1,100.0%,3,-40.0%,,,,,4,-20.0%,
,1st Time Graduate,,,147,5.8%,7,16.7%,,,154,6.2%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,83,6.4%,,,,,,,83,6.4%,
,Readmitted,23,64.3%,1,-50.0%,0,-100.0%,,,24,41.2%,
,Continuing,"1,125",1.0%,234,9.3%,69,-9.2%,,,"1,428",1.7%,
Tuition,Resident Tuition,"1,365",2.7%,183,2.2%,22,-15.4%,,,"1,570",2.3%,
Status,Non-Resident Tuition,21,-25.0%,45,12.5%,10,-23.1%,,,76,-6.2%,
,Tuition  Exemption/Waiver,42,16.7%,157,11.3%,44,0.0%,,,243,10.0%,
Residency,Texas Resident,"1,380",2.7%,188,3.3%,23,-14.8%,,,"1,591",2.4%,
Status,"Non-TX, US Resident",39,2.6%,34,-17.1%,5,25.0%,,,78,-6.0%,
,"Non-TX, Non-US Resident",9,-18.2%,163,19.0%,48,-7.7%,,,220,10.0%,
SCH,< 6 SCH,8,-33.3%,34,-5.6%,19,-5.0%,,,61,-10.3%,
Categories,6-8 SCH,114,3.6%,12,0.0%,1,0.0%,,,127,3.3%,
,9-11 SCH,61,-15.3%,135,10.7%,56,-5.1%,,,252,-0.4%,
,12-14 SCH,753,0.3%,152,2.7%,0,-100.0%,,,905,0.3%,
,15-17 SCH,447,12.9%,52,23.8%,,,,,499,13.9%,
,>17 SCH,45,-13.5%,,,,,,,45,-13.5%,
Ft/Pt:,Less Than Half Time,8,-27.3%,28,-3.4%,14,-22.2%,,,50,-13.8%,
"TAMU
Status","Half-Time
Three-Quarter Time","21
57","-43.2%
-5.0%",16,23.1%,5,150.0%,,,"42
57","-19.2%
-5.0%",
,Full-Time,"1,342",4.4%,341,7.2%,57,-9.5%,,,"1,740",4.4%,
"Prepared by OISP, 13 Nov 07",,,,,,,,,,,,
