Texas A&M University,,,,,,,,,,,,
Office of Institutional Studies and Planning,,,,,,,,,,,,
Demographic Summary by Entry Status,,,,,,,,,,,,
Fall 2007,,,,,,,,,,,,
Enrollment Profile – Fall 2007 Official Certified 12th Class Day Data,,,,,,,,,,,,
"Fall 2007
Head Count      Total
Gender              Female Male
Ethnicity           White Black Hispanic Asian
American Indian International Unknown/Other
TAMU Age      <18
Categories         18-21
22-25
26-30
31-39
40+
College             Agriculture Architecture Business Admin Education Engineering
G. Bush School of Govt Geosciences
Liberal Arts Science
Veterinary Medicine General Studies
Other - Special Populations
Student             Lower
Level                 Upper Masters PhD Professional
Tuition              Resident Tuition
Status                Non-Resident Tuition Tuition Exemption/Waiver
Residency         Texas Resident
Status                Non-TX, US Resident
Non-TX, Non-US Resident
SCH                  < 6 SCH
Categories         6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:                 Less Than Half Time
TAMU              Half-Time
Full-Time",Undergraduate,,,,,Graduate,,,,Professional,,
,"1st Time in College
8,094
4,107
3,987
6,200
262
1,131
415
47
37
2
76
8,011
5
2
538
196
805
513
1,686
77
747
717
732
2,083
8,066
28
7,488
191
415
7,732
323
39
471
20
16
4,273
3,293
21
471
19
16
7,588","1st Time PB
22
10
12
18
1
1
1
1
14
4
3
1
10
1
2
5
4
22
21
1
22
3
1
1
12
3
2
3
1
1
17","1st Time Transfer
1,632
735
897
1,264
30
179
54
12
74
19
1
1,303
233
62
23
10
379
83
67
273
282
33
335
74
8
98
1,005
627
1,486
95
51
1,498
60
74
11
30
48
932
598
13
11
29
48
1,544","Readmitted
414
149
265
336
9
42
17
5
3
2
169
157
53
25
10
119
23
21
50
47
6
69
11
3
65
143
271
403
8
3
405
6
3
21
41
22
191
132
7
21
41
22
330","Continuing
27,195
12,928
14,267
21,352
792
3,304
1,140
149
382
76
5
18,673
7,844
448
147
78
4,354
1,125
3,193
3,320
5,324
373
4,741
1,517
1,161
2,038
49
8,403
18,792
25,826
671
698
25,942
860
393
510
932
1,196
12,873
10,868
816
411
594
1,174
25,016",1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Professional,Continuing,
,,,,,,213,"2,515",25,"5,927",133,372,
,,,,,,96,"1,035",12,"2,384",101,272,
,,,,,,117,"1,480",13,"3,543",32,100,
,,,,,,132,"1,254",17,"2,683",113,328,
,,,,,,12,79,2,225,,1,
,,,,,,20,153,2,414,13,23,
,,,,,,6,53,,171,5,13,
,,,,,,1,8,,27,1,1,
,,,,,,40,949,2,"2,349",,,
,,,,,,2,19,2,58,1,6,
,,,,,,4,110,,10,24,1,
,,,,,,89,"1,482",3,"1,682",90,215,
,,,,,,51,554,6,"2,058",17,123,
,,,,,,39,245,6,"1,528",1,29,
,,,,,,30,124,10,649,1,4,
,,,,,,20,214,2,800,,,
,,,,,,3,154,1,303,,,
,,,,,,,494,,417,,,
,,,,,,47,367,7,875,,,
,,,,,,16,686,5,"1,692",,,
,,,,,,59,87,1,105,,,
,,,,,,1,61,,203,,,
,,,,,,5,171,2,612,,,
,,,,,,21,160,3,573,,,
,,,,,,,34,3,100,133,372,
,,,,,,41,87,1,247,,,
,,,,,,213,"2,256",15,"2,881",,,
,,,,,,,259,10,"3,046",,,
,,,,,,,,,,133,372,
,,,,,,157,"1,217",18,"2,596",126,343,
,,,,,,31,330,5,675,,6,
,,,,,,25,968,2,"2,656",7,23,
,,,,,,163,"1,236",19,"2,679",127,348,
,,,,,,10,323,4,889,6,24,
,,,,,,40,956,2,"2,359",,,
,,,,,,121,90,16,"1,215",,,
,,,,,,44,188,3,389,,,
,,,,,,34,"1,491",3,"3,762",,,
,,,,,,10,465,3,468,,,
,,,,,,4,204,,90,,,
,,,,,,,77,,3,133,372,
,,,,,,114,66,14,991,,,
,,,,,,50,203,5,544,,,
,,,,,,49,"2,246",6,"4,392",133,372,
"Prepared by OISP, 13 Nov 07",,,,,,,,,,,,
