Fall 2007,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,49,14.0%,226,11.9%,150,-4.5%,,,425,5.7%,
Gender,Female,28,86.7%,120,15.4%,79,-1.3%,,,227,14.1%,
,Male,21,-25.0%,106,8.2%,71,-7.8%,,,198,-2.5%,
Ethnicity,White,2,100.0%,106,8.2%,44,-18.5%,,,152,0.0%,
,Black,,,5,25.0%,4,33.3%,,,9,28.6%,
,Hispanic,1,100.0%,6,-50.0%,5,66.7%,,,12,-20.0%,
,Asian,,,6,0.0%,4,0.0%,,,10,0.0%,
,American Indian,,,,,,,,,,,
,International,46,7.0%,99,23.8%,91,0.0%,,,236,10.3%,
,Unknown/Other,,,4,100.0%,2,0.0%,,,6,50.0%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,19,-13.6%,2,-71.4%,,,,,21,-27.6%,
,22-25,30,57.9%,126,37.0%,14,7.7%,,,170,37.1%,
,26-30,0,-100.0%,64,-1.5%,75,-5.1%,,,139,-4.8%,
,31-39,,,29,3.6%,47,-4.1%,,,76,-1.3%,
,40+,,,5,-50.0%,14,-12.5%,,,19,-26.9%,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time PB,,,41,20.6%,,,,,41,20.6%,
,1st Time Graduate,,,82,64.0%,5,-54.5%,,,87,42.6%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,,,,,,,,,,,
,Readmitted,,,1,100.0%,,,,,1,100.0%,
,Continuing,49,14.0%,102,-13.6%,145,-0.7%,,,296,-3.6%,
Tuition,Resident Tuition,1,100.0%,96,0.0%,42,-6.7%,,,139,-1.4%,
Status,Non-Resident Tuition,48,11.6%,37,8.8%,14,-22.2%,,,99,4.2%,
,Tuition  Exemption/Waiver,,,93,29.2%,94,0.0%,,,187,12.7%,
Residency,Texas Resident,1,100.0%,99,3.1%,43,-6.5%,,,143,0.7%,
Status,"Non-TX, US Resident",,,28,7.7%,16,-20.0%,,,44,-4.3%,
,"Non-TX, Non-US Resident",48,11.6%,99,23.8%,91,0.0%,,,238,11.2%,
SCH,< 6 SCH,1,100.0%,47,0.0%,16,-36.0%,,,64,-11.1%,
Categories,6-8 SCH,,,16,-15.8%,3,50.0%,,,19,-9.5%,
,9-11 SCH,,,143,25.4%,128,0.8%,,,271,12.4%,
,12-14 SCH,32,18.5%,18,-10.0%,2,-33.3%,,,52,4.0%,
,15-17 SCH,13,-18.8%,2,0.0%,1,100.0%,,,16,-11.1%,
,>17 SCH,3,100.0%,,,,,,,3,100.0%,
Ft/Pt:,Less Than Half Time,,,38,31.0%,12,-42.9%,,,50,0.0%,
"TAMU
Status","Half-Time
Three-Quarter Time",,,20,-28.6%,7,40.0%,,,27,-18.2%,
,Full-Time,49,14.0%,168,15.9%,131,0.0%,,,348,9.1%,
"Prepared by OISP, 13 Nov 07",,,,,,,,,,,,
