Office of Institutional Studies and Planning,,,,,,,,
Qatar Campus,,,,,,,,
(Not included in University Total Enrollment) Fall 2007,,,,,,,,
Official Certified 12th Class Day Data,,,,,,,,
Fall 2007,,Student Level,,,,,Grand Total,
,,U0,U1,U2,U3,U4,,
Head Count Total,,19,93,59,71,39,281,
Gender,Female,16,30,26,19,21,112,
,Male,3,63,33,52,18,169,
SCH Categories,< 6 SCH,10,,,,,10,
,9-11 SCH,,,1,,2,3,
12-14 SCH,,6,29,21,13,9,78,
,15-17 SCH,,51,31,40,16,138,
>17 SCH,,3,13,6,18,12,52,
"Prepared by OISP, 13 Nov 07",,,,,,,,
