Fall 2007,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"4,086",0.0%,842,4.7%,69,-4.2%,,,"4,997",0.7%,
Gender,Female,"2,187",-1.4%,330,5.1%,22,-21.4%,,,"2,539",-0.8%,
,Male,"1,899",1.5%,512,4.5%,47,6.8%,,,"2,458",2.2%,
Ethnicity,White,"3,356",-1.5%,551,4.2%,33,6.5%,,,"3,940",-0.7%,
,Black,101,29.5%,14,-26.3%,2,-33.3%,,,117,17.0%,
,Hispanic,419,4.8%,47,4.4%,2,0.0%,,,468,4.7%,
,Asian,166,13.7%,36,5.9%,2,0.0%,,,204,12.1%,
,American Indian,19,-13.6%,3,50.0%,,,,,22,-8.3%,
,International,18,-35.7%,183,15.1%,27,-15.6%,,,228,4.1%,
,Unknown/Other,7,-12.5%,8,-50.0%,3,50.0%,,,18,-30.8%,
TAMU Age,<18,5,0.0%,,,,,,,5,0.0%,
Categories,18-21,"3,430",2.5%,25,-7.4%,,,,,"3,455",2.5%,
,22-25,610,-11.8%,539,7.4%,7,600.0%,,,"1,156",-3.3%,
,26-30,19,-26.9%,132,-3.6%,25,-21.9%,,,176,-9.7%,
,31-39,14,16.7%,88,0.0%,30,0.0%,,,132,1.5%,
,40+,8,0.0%,58,16.0%,7,-22.2%,,,73,9.0%,
Enrollment,1st Time in College,805,-6.6%,,,,,,,805,-6.6%,
Status,1st Time PB,,,0,-100.0%,,,,,0,-100.0%,
,1st Time Graduate,,,477,4.1%,17,54.5%,,,494,5.3%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,67,0.0%,,,,,,,67,0.0%,
,Readmitted,21,16.7%,0,-100.0%,,,,,21,10.5%,
,Continuing,"3,193",1.7%,365,6.4%,52,-14.8%,,,"3,610",1.8%,
Tuition,Resident Tuition,"3,971",0.5%,603,3.1%,17,-10.5%,,,"4,591",0.7%,
Status,Non-Resident Tuition,48,-7.7%,69,38.0%,5,0.0%,,,122,14.0%,
,Tuition  Exemption/Waiver,67,-19.3%,170,0.6%,47,-2.1%,,,284,-5.3%,
Residency,Texas Resident,"4,003",0.4%,605,2.9%,20,-16.7%,,,"4,628",0.6%,
Status,"Non-TX, US Resident",63,-10.0%,52,-5.5%,22,37.5%,,,137,-2.8%,
,"Non-TX, Non-US Resident",20,-31.0%,185,14.9%,27,-15.6%,,,232,4.5%,
SCH,< 6 SCH,39,8.3%,5,-28.6%,7,-12.5%,,,51,0.0%,
Categories,6-8 SCH,69,32.7%,8,0.0%,0,-100.0%,,,77,26.2%,
,9-11 SCH,119,-20.7%,216,-10.7%,61,0.0%,,,396,-12.6%,
,12-14 SCH,"2,308",7.0%,328,23.8%,1,-50.0%,,,"2,637",8.7%,
,15-17 SCH,"1,511",-7.1%,206,2.0%,,,,,"1,717",-6.1%,
,>17 SCH,40,-38.5%,79,-1.3%,,,,,119,-17.9%,
Ft/Pt:,Less Than Half Time,33,26.9%,4,33.3%,7,-12.5%,,,44,18.9%,
"TAMU
Status","Half-Time
Three-Quarter Time","65
116","22.6%
-20.5%",9,12.5%,,,,,"74
116","21.3%
-20.5%",
,Full-Time,"3,872",0.2%,829,4.5%,62,-3.1%,,,"4,763",0.9%,
"Prepared by OISP, 13 Nov 07",,,,,,,,,,,,
