Fall 2007,,Students,,
,,Enrolled,,
INSTITUTION,SAM HOUSTON STATE UNIVERSITY,37,,
UNIV OF TEXAS-SAN ANTONIO,,35,,
,TEXAS TECH UNIVERSITY,31,,
UNIVERSITY OF NORTH TEXAS,,25,,
,TEXAS STATE UNIVERSITY,22,,
UNIVERSITY OF TEXAS-AUSTIN,,14,,
,UNIV OF HOUSTON-UNIV PARK,14,,
TEXAS A&M UNIV-CORPUS CHRISTI,,13,,
,OKLAHOMA STATE UNIV MAIN,12,,
STEPHEN F AUSTIN STATE UNIV,,11,,
,TEXAS A&M UNIV-KINGSVILLE,10,,
U. OF TEXAS- ARLINGTON,,9,,
,TARLETON STATE UNIVERSITY,9,,
BAYLOR UNIVERSITY,,8,,
,UNIVERSITY OF TEXAS- TYLER,6,,
TEXAS A&M INTERNATIONAL UNIV,,6,,
,UNIVERSITY OF TEXAS-DALLAS,5,,
UNIV OF TEXAS- PAN AMERICAN,,5,,
,SOUTHWESTERN UNIVERSITY,5,,
LAMAR  UNIVERSITY,,5,,
"Prepared by OISP, 07.Nov.07",,,,
