Fall 2007,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Architecture,ARCH,69,-6.8%,3,-25.0%,8,-20.0%,8,60.0%,1,0.0%,62,5.1%,0,-100.0%,151,-1.9%,
,COMG,19,11.8%,1,-50.0%,2,-33.3%,1,-66.7%,,,70,18.6%,,,93,10.7%,
,COSC,358,12.9%,5,150.0%,40,11.1%,4,33.3%,2,100.0%,0,-100.0%,3,50.0%,412,13.8%,
,COSL,215,-6.9%,5,0.0%,30,-3.2%,6,0.0%,2,0.0%,2,100.0%,1,-66.7%,261,-6.5%,
,ENDL,247,-13.6%,5,-28.6%,61,19.6%,8,-52.9%,2,100.0%,4,33.3%,2,0.0%,329,-10.4%,
,ENDS,203,7.4%,5,25.0%,29,-3.3%,21,75.0%,2,100.0%,2,-50.0%,1,0.0%,263,9.1%,
,LAND,77,-11.5%,0,-100.0%,8,-42.9%,2,100.0%,1,0.0%,8,0.0%,1,0.0%,97,-14.2%,
,LANL,56,21.7%,1,100.0%,15,66.7%,4,33.3%,,,1,0.0%,,,77,30.5%,
,LDEV,25,47.1%,2,100.0%,1,-50.0%,1,-50.0%,0,-100.0%,8,0.0%,1,0.0%,38,18.8%,
,URPL,20,33.3%,0,-100.0%,4,100.0%,,,,,20,53.8%,0,-100.0%,44,29.4%,
,URSC,18,80.0%,1,0.0%,4,300.0%,1,0.0%,,,32,0.0%,0,-100.0%,56,21.7%,
,USAR,3,100.0%,,,,,,,,,,,,,3,100.0%,
,VIZA,42,-4.5%,1,0.0%,7,40.0%,5,-16.7%,,,9,12.5%,1,0.0%,65,0.0%,
,Subtotal,"1,352",1.4%,29,-6.5%,209,7.7%,61,3.4%,10,25.0%,218,10.7%,10,-28.6%,"1,889",2.9%,
Business,ACCT,679,3.2%,18,125.0%,72,44.0%,34,-10.5%,2,-33.3%,14,-12.5%,4,0.0%,823,5.9%,
Admin,AGBU,6,0.0%,,,1,100.0%,,,,,,,,,7,16.7%,
,BUAD,"1,540",-2.4%,61,-1.6%,214,-10.1%,78,14.7%,11,-8.3%,43,4.9%,4,-50.0%,"1,951",-2.8%,
,BUAG,4,-69.2%,,,3,50.0%,,,1,0.0%,,,,,8,-50.0%,
,EMBA,67,6.3%,6,50.0%,11,-15.4%,6,100.0%,,,6,100.0%,3,-25.0%,99,10.0%,
,FINC,625,14.3%,10,66.7%,50,31.6%,45,60.7%,3,-40.0%,22,4.8%,3,200.0%,758,17.3%,
,INFO,114,-7.3%,7,75.0%,17,21.4%,7,40.0%,1,0.0%,3,-50.0%,2,0.0%,151,-2.6%,
,MGMT,301,-8.8%,6,-33.3%,49,16.7%,18,-10.0%,1,0.0%,10,-9.1%,1,-50.0%,386,-7.0%,
,MISY,36,-39.0%,0,-100.0%,2,-33.3%,1,-83.3%,1,100.0%,106,9.3%,,,146,-12.0%,
,MKTG,503,-4.2%,9,80.0%,42,0.0%,14,0.0%,1,100.0%,23,4.5%,0,-100.0%,592,-2.8%,
,MLER,63,-1.6%,0,-100.0%,7,40.0%,,,1,0.0%,1,-50.0%,1,-75.0%,73,-5.2%,
,USBU,2,100.0%,,,,,1,100.0%,,,,,,,3,100.0%,
,Subtotal,"3,940",-0.7%,117,17.0%,468,4.7%,204,12.1%,22,-8.3%,228,4.1%,18,-30.8%,"4,997",0.7%,
Education,CPSY,19,-26.9%,6,-25.0%,3,-57.1%,2,0.0%,,,2,0.0%,1,0.0%,33,-28.3%,
,EDAD,181,-5.2%,37,27.6%,58,26.1%,2,100.0%,1,-50.0%,5,-44.4%,2,-50.0%,286,1.4%,
,EDCI,262,5.6%,42,-2.3%,44,4.8%,9,0.0%,4,300.0%,40,11.1%,2,-33.3%,403,5.5%,
,EDHL,230,42.0%,10,11.1%,39,85.7%,8,166.7%,2,-33.3%,3,50.0%,0,-100.0%,292,45.3%,
,EDIS,705,-4.1%,27,42.1%,85,18.1%,12,-7.7%,2,-50.0%,2,0.0%,3,0.0%,836,-1.4%,
,EDKI,604,0.8%,24,-14.3%,84,15.1%,12,-14.3%,1,0.0%,1,100.0%,3,200.0%,729,1.8%,
,EDSM,304,12.6%,20,33.3%,37,27.6%,5,150.0%,2,100.0%,0,-100.0%,1,100.0%,369,15.7%,
,EDTC,16,45.5%,,,1,-50.0%,0,-100.0%,,,9,350.0%,,,26,62.5%,
,EHRD,83,-9.8%,23,9.5%,28,-9.7%,3,0.0%,,,19,-13.6%,2,0.0%,158,-7.6%,
