Fall 2007,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
G. Bush,BUSH,51,6.3%,72,18.0%,24,-14.3%,,,72,18.0%,
"School of
Govt",CAIA CHLS,,,"60
32","100.0%
28.0%",,,,,"60
32","100.0%
28.0%",
,CNPM,,,2,100.0%,,,,,2,100.0%,
,INTA,,,86,3.6%,,,,,86,3.6%,
,Subtotal,,,252,26.6%,,,,,252,26.6%,
Geosciences,ATMO,,,28,-15.2%,,,,,52,-14.8%,
,ENGS,,,,,,,,,51,6.3%,
,ENST,30,-18.9%,,,,,,,30,-18.9%,
,ESCI,1,0.0%,,,,,,,1,0.0%,
,GEOG,106,-5.4%,21,-32.3%,35,20.7%,,,162,-5.8%,
,GEOL,133,27.9%,35,0.0%,20,-23.1%,,,188,13.9%,
,GEOP,23,9.5%,14,40.0%,11,0.0%,,,48,14.3%,
,GEOS,,,3,50.0%,,,,,3,50.0%,
,METR,140,-2.8%,0,-100.0%,,,,,140,-3.4%,
,OCNG,,,38,11.8%,36,9.1%,,,74,10.4%,
,SPSG,5,-28.6%,,,,,,,5,-28.6%,
,Subtotal,489,3.2%,139,-4.8%,126,-0.8%,,,754,0.9%,
Liberal Arts,AMST,17,13.3%,,,,,,,17,13.3%,
,ANTH,132,-0.8%,60,-10.4%,52,13.0%,,,244,-0.8%,
,CLSS,2,100.0%,,,,,,,2,100.0%,
,COML,,,5,0.0%,,,,,5,0.0%,
,COMM,808,11.8%,24,-11.1%,53,26.2%,,,885,11.7%,
,ECON,421,-11.0%,58,5.5%,52,-23.5%,,,531,-10.9%,
,ENGL,675,-3.8%,39,8.3%,82,-2.4%,,,796,-3.2%,
,FREN,17,6.3%,,,,,,,17,6.3%,
,GERM,5,66.7%,,,,,,,5,66.7%,
,HISP,,,7,133.3%,19,35.7%,,,26,52.9%,
,HIST,685,-0.9%,24,-20.0%,44,2.3%,,,753,-1.4%,
,INTS,485,4.8%,,,,,,,485,4.8%,
,JOUR,1,-87.5%,,,,,,,1,-87.5%,
,MODL,,,7,16.7%,,,,,7,16.7%,
,MUSC,24,-25.0%,,,,,,,24,-25.0%,
,PHIL,87,-23.7%,21,40.0%,7,-12.5%,,,115,-16.1%,
,POLS,842,-10.3%,18,50.0%,45,-16.7%,,,905,-10.0%,
,PSYC,"1,029",-3.8%,39,0.0%,44,0.0%,,,"1,112",-3.6%,
,RUSS,9,50.0%,,,,,,,9,50.0%,
,SOCI,341,-3.7%,39,18.2%,51,0.0%,,,431,-1.6%,
,SPAN,81,-16.5%,0,-100.0%,0,-100.0%,,,81,-19.8%,
,TCMS,183,-10.3%,,,,,,,183,-10.3%,
,THAR,48,-11.1%,,,,,,,48,-11.1%,
,Subtotal,"5,892",-3.4%,341,3.6%,449,-1.8%,,,"6,682",-2.9%,
"Prepared by OISP, 13 Nov 07",,,,,,,,,,,,
