Fall 2007,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"5,892",-3.4%,341,3.6%,449,-1.8%,,,"6,682",-2.9%,
Gender,Female,"3,574",-2.1%,180,-1.1%,234,7.3%,,,"3,988",-1.5%,
,Male,"2,318",-5.3%,161,9.5%,215,-10.0%,,,"2,694",-4.9%,
Ethnicity,White,"4,645",-5.2%,192,-1.5%,252,3.3%,,,"5,089",-4.7%,
,Black,192,-2.0%,20,42.9%,22,15.8%,,,234,2.2%,
,Hispanic,798,4.0%,42,-2.3%,41,0.0%,,,881,3.5%,
,Asian,174,10.8%,12,-40.0%,10,0.0%,,,196,4.8%,
,American Indian,36,28.6%,3,100.0%,3,0.0%,,,42,35.5%,
,International,27,0.0%,68,25.9%,112,-11.8%,,,207,-0.5%,
,Unknown/Other,20,-13.0%,4,33.3%,9,-30.8%,,,33,-15.4%,
TAMU Age,<18,9,0.0%,,,,,,,9,0.0%,
Categories,18-21,"4,250",-0.5%,4,-42.9%,0,-100.0%,,,"4,254",-0.6%,
,22-25,"1,484",-10.8%,174,3.0%,23,-41.0%,,,"1,681",-10.2%,
,26-30,95,4.4%,94,11.9%,186,2.2%,,,375,5.0%,
,31-39,33,-8.3%,49,19.5%,162,-3.0%,,,244,0.0%,
,40+,21,-16.0%,20,-28.6%,78,14.7%,,,119,-1.7%,
Enrollment,1st Time in College,747,-9.7%,,,,,,,747,-9.7%,
Status,1st Time PB,0,-100.0%,5,-61.5%,,,,,5,-68.8%,
,1st Time Graduate,,,127,-7.3%,44,-22.8%,,,171,-11.9%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,335,-11.8%,,,,,,,335,-11.8%,
,Readmitted,69,-5.5%,,,2,-33.3%,,,71,-6.6%,
,Continuing,"4,741",-1.5%,209,16.8%,403,1.5%,,,"5,353",-0.7%,
Tuition,Resident Tuition,"5,582",-2.8%,143,-4.7%,196,3.2%,,,"5,921",-2.7%,
Status,Non-Resident Tuition,136,-9.3%,53,29.3%,51,-1.9%,,,240,-1.2%,
,Tuition  Exemption/Waiver,174,-13.9%,145,5.1%,202,-6.0%,,,521,-6.1%,
Residency,Texas Resident,"5,638",-3.1%,151,-4.4%,201,3.1%,,,"5,990",-3.0%,
Status,"Non-TX, US Resident",225,-8.9%,122,4.3%,135,0.0%,,,482,-3.4%,
,"Non-TX, Non-US Resident",29,-3.3%,68,25.9%,113,-11.0%,,,210,-0.5%,
SCH,< 6 SCH,62,17.0%,40,-4.8%,121,10.0%,,,223,8.8%,
Categories,6-8 SCH,154,-8.3%,15,0.0%,17,13.3%,,,186,-6.1%,
,9-11 SCH,252,-23.9%,267,-0.4%,300,-7.4%,,,819,-11.3%,
,12-14 SCH,"2,529",-0.9%,19,375.0%,9,28.6%,,,"2,557",-0.2%,
,15-17 SCH,"2,680",-3.1%,,,2,100.0%,,,"2,682",-3.1%,
,>17 SCH,215,-5.3%,,,,,,,215,-5.3%,
Ft/Pt:,Less Than Half Time,53,17.8%,34,17.2%,102,17.2%,,,189,17.4%,
"TAMU
Status","Half-Time
Three-Quarter Time","148
250","-8.1%
-20.9%",21,23.5%,30,-3.2%,,,"199
250","-4.8%
-20.9%",
,Full-Time,"5,441",-2.4%,286,1.1%,317,-6.5%,,,"6,044",-2.5%,
"Prepared by OISP, 13 Nov 07",,,,,,,,,,,,
