Fall 2007,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"5,400",2.2%,591,7.3%,445,-10.5%,,,"6,436",1.6%,
Gender,Female,"2,610",5.4%,299,9.5%,196,-11.3%,,,"3,105",4.5%,
,Male,"2,790",-0.6%,292,5.0%,249,-9.8%,,,"3,331",-0.9%,
Ethnicity,White,"4,372",-0.1%,417,8.6%,196,-16.6%,,,"4,985",-0.2%,
,Black,174,12.3%,12,-7.7%,18,5.9%,,,204,10.3%,
,Hispanic,606,17.4%,39,-18.8%,33,57.1%,,,678,15.9%,
,Asian,149,13.7%,8,14.3%,3,-57.1%,,,160,10.3%,
,American Indian,38,-5.0%,5,66.7%,2,0.0%,,,45,0.0%,
,International,44,0.0%,102,12.1%,189,-9.1%,,,335,-2.3%,
,Unknown/Other,17,-29.2%,8,60.0%,4,-42.9%,,,29,-19.4%,
TAMU Age,<18,5,25.0%,,,,,,,5,25.0%,
Categories,18-21,"3,322",6.4%,11,57.1%,,,,,"3,333",6.5%,
,22-25,"1,840",-5.0%,314,8.3%,30,-11.8%,,,"2,184",-3.4%,
,26-30,163,0.6%,160,-4.2%,177,-7.8%,,,500,-4.0%,
,31-39,51,45.7%,70,14.8%,176,-8.8%,,,297,2.8%,
,40+,19,-24.0%,36,38.5%,62,-20.5%,,,117,-9.3%,
Enrollment,1st Time in College,538,1.5%,,,,,,,538,1.5%,
Status,1st Time PB,10,25.0%,20,5.3%,,,,,30,11.1%,
,1st Time Graduate,,,188,4.4%,26,-55.9%,,,214,-10.5%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,379,-0.5%,,,,,,,379,-0.5%,
,Readmitted,119,19.0%,2,-33.3%,0,-100.0%,,,121,12.0%,
,Continuing,"4,354",2.1%,381,9.2%,419,-3.2%,,,"5,154",2.1%,
Tuition,Resident Tuition,"5,104",2.5%,368,6.7%,174,-10.8%,,,"5,646",2.3%,
Status,Non-Resident Tuition,121,12.0%,32,10.3%,44,-22.8%,,,197,1.5%,
,Tuition  Exemption/Waiver,175,-12.1%,191,7.9%,227,-7.3%,,,593,-4.5%,
Residency,Texas Resident,"5,154",2.2%,376,7.1%,179,-10.5%,,,"5,709",2.1%,
Status,"Non-TX, US Resident",201,1.0%,112,1.8%,77,-13.5%,,,390,-2.0%,
,"Non-TX, Non-US Resident",45,0.0%,103,14.4%,189,-9.1%,,,337,-1.7%,
SCH,< 6 SCH,97,-3.0%,107,-2.7%,96,-11.9%,,,300,-6.0%,
Categories,6-8 SCH,172,-11.3%,54,1.9%,23,-17.9%,,,249,-9.5%,
,9-11 SCH,264,-14.8%,403,13.8%,313,-9.0%,,,980,-2.8%,
,12-14 SCH,"2,619",7.9%,22,-31.3%,12,-7.7%,,,"2,653",7.3%,
,15-17 SCH,"2,087",-0.7%,5,150.0%,1,-66.7%,,,"2,093",-0.7%,
,>17 SCH,161,5.9%,,,,,,,161,5.9%,
Ft/Pt:,Less Than Half Time,87,1.2%,94,23.7%,81,2.5%,,,262,8.7%,
"TAMU
Status","Half-Time
Three-Quarter Time","159
260","-14.1%
-13.6%",58,-1.7%,37,-19.6%,,,"254
260","-12.4%
-13.6%",
,Full-Time,"4,894",3.8%,439,5.5%,327,-12.1%,,,"5,660",2.9%,
"Prepared by OISP, 13 Nov 07",,,,,,,,,,,,
