Office of Institutional Studies and Planning,,,,,,
First Generation Students,,,,,,
Fall 2007,,,,,,
Official Certified 12th Class Day Data,,,,,,
Fall 2007,,First Generation Undergraduates,,,Grand Total,
,,Unknown,Yes,No,,
Headcount Total,,"1,045","9,918","26,394","37,357",
Gender,Female,401,"4,976","12,552","17,929",
,Male,644,"4,942","13,842","19,428",
Ethnicity,White,401,"6,394","22,375","29,170",
,Black,42,545,507,"1,094",
,Hispanic,83,"2,403","2,171","4,657",
,Asian,49,488,"1,090","1,627",
,American Indian,6,55,153,214,
,International,441,15,40,496,
,Unknown/Other,23,18,58,99,
TAMU Age,<18,6,23,53,82,
Categories,18-21,548,"7,144","20,464","28,156",
,22-25,317,"2,407","5,529","8,253",
,26-30,102,201,266,569,
,31-39,44,96,58,198,
,40+,28,47,24,99,
College,Agriculture,183,"1,749","3,468","5,400",
,Architecture,34,366,"1,028","1,428",
,Business Admin,45,862,"3,179","4,086",
,Education,78,"1,229","2,851","4,158",
,Engineering,369,"1,740","5,235","7,344",
,Geosciences,18,132,339,489,
,Liberal Arts,117,"1,582","4,193","5,892",
,Science,60,576,"1,687","2,323",
,Veterinary Medicine,28,498,"1,378","1,904",
,General Studies,66,"1,183","3,035","4,284",
,Other - Special Populations,47,1,1,49,
Enrollment Status,1st Time in College,113,"2,010","5,971","8,094",
,1st Time PB,1,8,13,22,
,1st Time Transfer,124,571,937,"1,632",
,Readmitted,21,111,282,414,
,Continuing,786,"7,218","19,191","27,195",
Tuition Status,Resident Tuition,554,"9,594","25,076","35,224",
,Non-Resident  Tuition,347,113,505,965,
,Tuition  Exemption/Waiver,144,211,813,"1,168",
Residency Status,Texas Resident,557,"9,716","25,326","35,599",
,"Non-TX, US Resident",44,186,"1,019","1,249",
,"Non-TX, Non-US Resident",444,16,49,509,
SCH Categories,< 6 SCH,55,262,699,"1,016",
,6-8 SCH,57,326,641,"1,024",
,9-11 SCH,74,339,870,"1,283",
,12-14 SCH,458,"5,083","12,740","18,281",
,15-17 SCH,374,"3,667","10,853","14,894",
,>17 SCH,27,241,591,859,
Ft/Pt: TAMU,Less Than Half Time,47,239,631,917,
Status,Half-Time,51,234,399,684,
,Three-Quarter Time,70,333,858,"1,261",
,Full-Time,877,"9,112","24,506","34,495",
"Prepared by OISP, 13 Nov 07",,,,,,
