Fall 2007,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Veterinary,BIMS,"1,397",2.9%,57,14.0%,291,-3.6%,175,2.3%,9,-35.7%,13,225.0%,2,0.0%,"1,944",2.3%,
Medicine,EPID,4,-50.0%,,,,,0,-100.0%,,,,,,,4,-55.6%,
,LAMD,3,50.0%,0,-100.0%,,,,,1,100.0%,,,,,4,33.3%,
,STJR,2,100.0%,,,,,,,,,2,100.0%,,,4,100.0%,
,TOXI,,,,,,,,,,,0,-100.0%,,,0,-100.0%,
,VMSC,6,-60.0%,,,1,-75.0%,,,,,3,200.0%,,,10,-50.0%,
,VPAR,0,-100.0%,,,,,,,,,,,,,0,-100.0%,
,VPAT,6,50.0%,,,1,0.0%,,,,,5,0.0%,,,12,20.0%,
,VPHY,6,-14.3%,1,0.0%,,,0,-100.0%,,,6,-14.3%,1,100.0%,14,-12.5%,
,VTAN,8,-33.3%,,,,,0,-100.0%,,,5,-44.4%,,,13,-43.5%,
,VTMD,441,-1.3%,1,-66.7%,36,5.9%,18,5.9%,2,100.0%,,,7,0.0%,505,-0.8%,
,VTMI,14,-26.3%,2,0.0%,4,0.0%,2,100.0%,,,7,-46.2%,2,100.0%,31,-22.5%,
,VTMS,1,0.0%,,,,,,,,,,,,,1,0.0%,
,VTPH,3,-57.1%,,,,,,,1,0.0%,,,,,4,-50.0%,
,Subtotal,"1,891",0.5%,61,7.0%,333,-3.5%,195,1.0%,13,-18.8%,41,2.5%,12,20.0%,"2,546",0.1%,
General,GEST,"2,711",14.7%,147,10.5%,510,15.9%,185,43.4%,29,31.8%,31,82.4%,4,-20.0%,"3,617",16.3%,
Studies,TEAM,559,33.1%,8,-46.7%,75,29.3%,14,133.3%,9,28.6%,1,100.0%,1,-50.0%,667,31.3%,
,Subtotal,"3,270",17.5%,155,4.7%,585,17.5%,199,47.4%,38,31.0%,32,88.2%,5,-28.6%,"4,284",18.4%,
Other -,AGBU,17,-19.0%,,,1,0.0%,1,100.0%,,,13,62.5%,,,32,6.7%,
Special,BIOT,4,-42.9%,,,2,100.0%,0,-100.0%,,,19,46.2%,,,25,8.7%,
Populations,ENSM,5,-54.5%,0,-100.0%,1,0.0%,1,0.0%,,,6,50.0%,,,13,-27.8%,
,FSTC,14,40.0%,,,0,-100.0%,1,0.0%,,,24,20.0%,,,39,14.7%,
,GENE,38,11.8%,2,100.0%,1,0.0%,3,-40.0%,,,16,-11.1%,0,-100.0%,60,0.0%,
,MARB,1,100.0%,,,,,,,,,,,,,1,100.0%,
,MARM,2,100.0%,,,,,,,,,,,,,2,100.0%,
,MDSC,1,-66.7%,,,,,1,100.0%,,,10,42.9%,2,100.0%,14,40.0%,
,MEPS,13,-13.3%,,,2,0.0%,,,,,19,-17.4%,,,34,-15.0%,
,MSEN,2,100.0%,3,50.0%,1,100.0%,2,100.0%,,,29,20.8%,1,100.0%,38,40.7%,
,NUTR,20,17.6%,1,0.0%,0,-100.0%,0,-100.0%,,,15,36.4%,,,36,12.5%,
,PHLT,9,12.5%,2,100.0%,0,-100.0%,,,,,2,-50.0%,1,0.0%,14,-12.5%,
,REEP,1,100.0%,,,1,100.0%,,,,,64,4.9%,,,66,8.2%,
,TOXI,14,7.7%,1,0.0%,1,0.0%,,,,,11,-21.4%,1,0.0%,28,-6.7%,
,WMHS,11,-8.3%,,,2,100.0%,1,100.0%,,,8,14.3%,1,0.0%,23,9.5%,
,Subtotal,152,0.0%,9,28.6%,12,-20.0%,10,0.0%,,,236,10.3%,6,50.0%,425,5.7%,
Total,,"33,697",0.9%,"1,413",4.3%,"5,282",6.9%,"1,875",10.2%,252,10.5%,"3,836",7.9%,187,-12.6%,"46,542",2.6%,
"Prepared by OISP, 13 Nov 07",,,,,,,,,,,,,,,,,,
