"Fall 2007
Headcount Total
TAMU Age                    <18
Categories                      18-21
22-25
26-30
31-39
40+
Classification                 Freshman Sophomore Junior Senior
Tuition Status                 Resident Tuition
Non-Resident Tuition Tuition Exemption/Waiver
Residency Status            Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
SCH Categories             < 6 SCH 6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:  TAMU                 Less Than Half Time
Status                              Half-Time
Three-Quarter Time Full-Time
Top 10% Texas              No
High School                   Yes
First Generation             No Unknown Yes
Dorm / Off-campus        Off-campus students                           Dorm (On-campus)",White,,,Black,,,,Hispanic,,,,Asian,,,American Indian,,,International,,,Unknown/Other,,,Grand Total,,,,,
,F,M,Tot,F,,M,Tot,F,,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,,Tot,,
,583,681,"1,264",,13,17,30,,81,98,179,19,35,54,5,7,12,20,54,74,14,5,19,735,,897,,"1,632",
,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,,1,
,510,524,"1,034",,9,15,24,,61,69,130,16,30,46,5,6,11,15,28,43,12,3,15,628,,675,,"1,303",
,50,116,166,,1,1,2,,17,18,35,3,5,8,,,,,18,18,2,2,4,73,,160,,233,
,7,33,40,,1,1,2,,1,10,11,,,,,1,1,2,6,8,,,,11,,51,,62,
,9,7,16,,2,,2,,1,1,2,,,,,,,2,1,3,,,,14,,9,,23,
,7,1,8,,,,,,1,,1,,,,,,,1,,1,,,,9,,1,,10,
,39,54,93,,2,2,4,,4,5,9,2,5,7,,1,1,,8,8,1,1,2,48,,76,,124,
,314,386,700,,4,10,14,,41,53,94,12,14,26,2,4,6,9,25,34,3,4,7,385,,496,,881,
,224,225,449,,5,5,10,,33,35,68,5,16,21,2,2,4,6,17,23,6,,6,281,,300,,581,
,6,16,22,,2,,2,,3,5,8,,,,1,,1,5,4,9,4,,4,21,,25,,46,
,561,651,"1,212",,13,17,30,,80,93,173,18,33,51,4,7,11,1,1,2,2,5,7,679,,807,,"1,486",
,16,13,29,,,,,,1,4,5,1,2,3,,,,12,35,47,11,,11,41,,54,,95,
,6,17,23,,,,,,,1,1,,,,1,,1,7,18,25,1,,1,15,,36,,51,
,564,658,"1,222",,13,17,30,,81,94,175,19,34,53,4,7,11,,,,2,5,7,683,,815,,"1,498",
,19,23,42,,,,,,,4,4,,1,1,1,,1,,,,12,,12,32,,28,,60,
,,,,,,,,,,,,,,,,,,20,54,74,,,,20,,54,,74,
,4,6,10,,,,,,,,,,,,,,,,1,1,,,,4,,7,,11,
,10,13,23,,,,,,1,1,2,,,,,,,1,4,5,,,,12,,18,,30,
,19,23,42,,,,,,2,1,3,,,,1,,1,,2,2,,,,22,,26,,48,
,308,390,698,,7,13,20,,53,67,120,14,21,35,1,5,6,8,27,35,14,4,18,405,,527,,932,
,238,244,482,,5,4,9,,25,28,53,5,14,19,3,1,4,11,19,30,,1,1,287,,311,,598,
,4,5,9,,1,,1,,,1,1,,,,,1,1,,1,1,,,,5,,8,,13,
,4,6,10,,,,,,,,,,,,,,,,1,1,,,,4,,7,,11,
,10,12,22,,,,,,1,1,2,,,,,,,1,4,5,,,,12,,17,,29,
,19,23,42,,,,,,2,1,3,,,,1,,1,,2,2,,,,22,,26,,48,
,550,640,"1,190",,13,17,30,,78,96,174,19,35,54,4,7,11,19,47,66,14,5,19,697,,847,,"1,544",
,550,652,"1,202",,13,17,30,,76,94,170,18,34,52,5,6,11,19,54,73,14,5,19,695,,862,,"1,557",
,33,29,62,,,,,,5,4,9,1,1,2,,1,1,1,,1,,,,40,,35,,75,
,361,447,808,,7,7,14,,32,45,77,8,15,23,3,4,7,,1,1,2,5,7,413,,524,,937,
,17,15,32,,,1,1,,1,3,4,1,3,4,,,,19,52,71,12,,12,50,,74,,124,
,205,219,424,,6,9,15,,48,50,98,10,17,27,2,3,5,1,1,2,,,,272,,299,,571,
,556,650,"1,206",,9,14,23,,76,88,164,17,29,46,5,5,10,16,44,60,5,5,10,684,,835,,"1,519",
,27,31,58,,4,3,7,,5,10,15,2,6,8,,2,2,4,10,14,9,,9,51,,62,,113,
"Prepared by OISP, 13 Nov 07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
