"Fall 2007
Headcount Total
TAMU Age                    <18
Categories                      18-21
22-25
26-30
31-39
40+
Classification                 Freshman Sophomore Junior Senior
Tuition Status                 Resident Tuition
Non-Resident Tuition Tuition Exemption/Waiver
Residency Status            Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
SCH Categories             < 6 SCH 6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:  TAMU                 Less Than Half Time
Status                              Half-Time
Three-Quarter Time Full-Time
Top 10% Texas              No
High School                   Yes
First Generation             No Unknown Yes
Dorm / Off-campus        Off-campus students                           Dorm (On-campus)",White,,,,,Black,,,,,Hispanic,,,,,Asian,,,,,American Indian,,,International,,,Unknown/Other,,,,Grand Total,,,,,,
,F,,M,,Tot,F,,M,,Tot,F,,M,,Tot,F,,M,,Tot,F,M,Tot,F,M,Tot,F,M,Tot,,F,,M,,Tot,,
,,30,,21,51,,1,,1,2,,4,,7,11,,3,,4,7,,1,1,,,,2,,,2,,40,,34,,74,
,,24,,16,40,,1,,1,2,,4,,4,8,,2,,4,6,,1,1,,,,1,,,1,,32,,26,,58,
,,5,,5,10,,,,,,,,,2,2,,1,,,1,,,,,,,1,,,1,,7,,7,,14,
,,1,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,,1,,2,
,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,
,,10,,7,17,,,,1,1,,2,,3,5,,1,,1,2,,1,1,,,,,,,,,13,,13,,26,
,,15,,12,27,,1,,,1,,2,,3,5,,2,,3,5,,,,,,,,,,,,20,,18,,38,
,,4,,2,6,,,,,,,,,1,1,,,,,,,,,,,,2,,,2,,6,,3,,9,
,,27,,21,48,,1,,1,2,,4,,7,11,,3,,4,7,,1,1,,,,,,,,,35,,34,,69,
,,2,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,2,,4,,,,4,
,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,
,,27,,21,48,,1,,1,2,,4,,7,11,,3,,4,7,,1,1,,,,,,,,,35,,34,,69,
,,3,,,3,,,,,,,,,,,,,,,,,,,,,,2,,,2,,5,,,,5,
,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,,,,1,
,,15,,13,28,,,,,,,3,,5,8,,3,,2,5,,1,1,,,,2,,,2,,23,,21,,44,
,,15,,8,23,,1,,1,2,,,,2,2,,,,2,2,,,,,,,,,,,,16,,13,,29,
,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,,,,1,
,,30,,21,51,,1,,1,2,,3,,7,10,,3,,4,7,,1,1,,,,2,,,2,,39,,34,,73,
,,25,,18,43,,1,,1,2,,3,,6,9,,2,,4,6,,1,1,,,,2,,,2,,33,,30,,63,
,,5,,3,8,,,,,,,1,,1,2,,1,,,1,,,,,,,,,,,,7,,4,,11,
,,17,,12,29,,1,,1,2,,2,,4,6,,1,,3,4,,1,1,,,,,,,,,21,,21,,42,
,,2,,2,4,,,,,,,,,,,,1,,,1,,,,,,,2,,,2,,5,,2,,7,
,,11,,7,18,,,,,,,2,,3,5,,1,,1,2,,,,,,,,,,,,14,,11,,25,
,,26,,20,46,,1,,1,2,,3,,5,8,,3,,1,4,,1,1,,,,,,,,,33,,28,,61,
,,4,,1,5,,,,,,,1,,2,3,,,,3,3,,,,,,,2,,,2,,7,,6,,13,
"Prepared by OISP, 13 Nov 07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
