Texas A&M University,,,,,,,,,,,,
Office of Institutional Studies and Planning,,,,,,,,,,,,
Headcount by Level by Ethnic Origin by Gender,,,,,,,,,,,,
Fall 2007,,,,,,,,,,,,
Enrollment Profile – Fall 2007 Official Certified 12th Class Day Data,,,,,,,,,,,,
Fall 2007,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Female,White,"14,016",-0.1%,"1,267",3.1%,607,-2.3%,322,-2.4%,"16,212",0.0%,
,Black,595,2.2%,86,10.3%,109,2.8%,0,-100.0%,790,3.0%,
,Hispanic,"2,256",5.1%,148,-6.9%,139,2.2%,27,3.8%,"2,570",4.1%,
,Asian,740,14.0%,66,1.5%,35,-2.8%,16,23.1%,857,12.3%,
,American Indian,109,16.0%,11,175.0%,9,-10.0%,2,100.0%,131,20.2%,
,International,165,7.8%,581,30.3%,443,-2.4%,,,"1,189",12.9%,
,Unknown/Other,48,-2.0%,14,16.7%,12,-25.0%,6,0.0%,80,-3.6%,
,Subtotal,"17,929",1.3%,"2,173",9.0%,"1,354",-1.8%,373,-1.1%,"21,829",1.7%,
Male,White,"15,154",1.6%,"1,581",8.6%,631,-8.2%,119,1.7%,"17,485",1.8%,
,Black,499,7.8%,70,-6.7%,53,10.4%,1,-50.0%,623,6.0%,
,Hispanic,"2,401",9.7%,193,6.6%,109,13.5%,9,12.5%,"2,712",9.7%,
,Asian,887,10.9%,84,-4.5%,45,-4.3%,2,-50.0%,"1,018",8.4%,
,American Indian,105,0.0%,9,28.6%,7,0.0%,,,121,1.7%,
,International,331,-1.5%,"1,226",22.0%,"1,090",-6.0%,,,"2,647",5.8%,
,Unknown/Other,51,-25.0%,29,-14.7%,26,-7.1%,1,0.0%,107,-18.3%,
,Subtotal,"19,428",2.9%,"3,192",12.2%,"1,961",-5.4%,132,0.0%,"24,713",3.3%,
Grand Total,,"37,357",2.1%,"5,365",10.9%,"3,315",-4.0%,505,-0.8%,"46,542",2.6%,
"Prepared by OISP, 13 Nov 07",,,,,,,,,,,,
