Demographic Summary for Blinn TEAM Students Summer 2011,,,,,,
Summer 2011,,U1: Freshmen,U2: Sophomore,U3: Junior,Grand Total,
Headcount Total,,23,67,31,121,
Gender,Female,10,23,24,57,
,Male,13,44,7,64,
Ethnicity,White Only (NEW),16,46,24,86,
,Black Only + 2 or more/1 Black (NEW),,2,,2,
,Hispanic or Latino of any Race (NEW),6,13,6,25,
,Asian Only (NEW),1,5,1,7,
,2 or More/Excluding Black (NEW),,1,,1,
TAMU Age Categories,18-21,23,67,31,121,
Enrollment Status,Readmitted,,1,,1,
,Continuing,23,66,31,120,
Tuition Status,Resident Tuition,21,65,29,115,
,Non-Resident Tuition,1,,,1,
,Tuition Exemption/Waiver,1,2,2,5,
Residency Status,Texas Resident,22,67,30,119,
,"Non-TX, US Resident",1,,1,2,
SCH Categories,< 6 SCH,20,52,25,97,
,6-8 SCH,3,15,6,24,
Ft/Pt:  TAMU Status,Less Than Half Time,18,44,20,82,
,Half-Time,5,23,11,39,
First Generation,No,16,51,21,88,
,Unknown,1,1,,2,
,Yes,6,15,10,31,
"Prepared by OISP, 11 Aug 11",,,,,,
