College Science,,,,,,,,,,,,,,,,,,,,,,,,
Demographic Summary by College by Ethnicity/Gender College Station Campus,,,,,,,,,,,,,,,,,,,,,,,,
First-Time In College Students Summer 2011,,,,,,,,,,,,,,,,,,,,,,,,
Summer 2011,,White Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Asian Only (NEW),,,Native Hawaii Only (New),,American Indian Only (NEW),,2 or More/Excluding Black (NEW),,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,2,3,5,,,,,,,,,,,,,,,,,2,3,5,
TAMU Age Categories,<18,,,,,,,,,,,,,,,,,,,,,,,
,18-21,2,3,5,,,,,,,,,,,,,,,,,2,3,5,
Classification,Freshman,2,3,5,,,,,,,,,,,,,,,,,2,3,5,
,Sophomore,,,,,,,,,,,,,,,,,,,,,,,
,Junior,,,,,,,,,,,,,,,,,,,,,,,
Tuition Status,Resident Tuition,2,3,5,,,,,,,,,,,,,,,,,2,3,5,
,Non-Resident Tuition,,,,,,,,,,,,,,,,,,,,,,,
,Tuition Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,,
Residency Status,Texas Resident,2,3,5,,,,,,,,,,,,,,,,,2,3,5,
,"Non-TX, US Resident",,,,,,,,,,,,,,,,,,,,,,,
SCH Categories,< 6 SCH,,1,1,,,,,,,,,,,,,,,,,,1,1,
,6-8 SCH,1,1,2,,,,,,,,,,,,,,,,,1,1,2,
,9-11 SCH,1,1,2,,,,,,,,,,,,,,,,,1,1,2,
Ft/Pt:  TAMU Status,Less Than Half Time,,1,1,,,,,,,,,,,,,,,,,,1,1,
,Half-Time,1,1,2,,,,,,,,,,,,,,,,,1,1,2,
,Full-Time,1,1,2,,,,,,,,,,,,,,,,,1,1,2,
Top 10% Texas High School,No,,2,2,,,,,,,,,,,,,,,,,,2,2,
,Yes,2,1,3,,,,,,,,,,,,,,,,,2,1,3,
First Generation,No,1,3,4,,,,,,,,,,,,,,,,,1,3,4,
,Unknown,,,,,,,,,,,,,,,,,,,,,,,
,Yes,1,,1,,,,,,,,,,,,,,,,,1,,1,
On / Off Campus,Off Campus,2,2,4,,,,,,,,,,,,,,,,,2,2,4,
,On Campus,,1,1,,,,,,,,,,,,,,,,,,1,1,
"Prepared by OISP, 11 Aug 11",,,,,,,,,,,,,,,,,,,,,,,,
