Ethnicity Hispanic or Latino of any Race (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity College Station Campus,,,,,,,,,,,,,,,,
Summer 2011,,,,,,,,,,,,,,,,
Summer 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Business Admin,ACCT,,1,12,26,,39,,4,4,,,,,43,
,AGBU,,,,,,,,,,,,,,,
,BHNR,,,2,1,,3,,,,,,,,3,
,BUAD,1,9,22,,,32,,2,2,,,,,34,
,FINC,,,6,11,,17,,4,4,1,1,,,22,
,INFO,,1,8,19,,28,,,,,,,,28,
,MGMT,,,2,10,,12,,1,1,,,,,13,
,MISY,,,,,,,,2,2,,,,,2,
,MKTG,,,5,16,,21,,5,5,,,,,26,
,MLER,,,,,,,,3,3,,,,,3,
,USBU,,,3,5,,8,,,,,,,,8,
,Subtotal,1,11,60,88,,160,,21,21,1,1,,,182,
Education,BIED,,,,,,,,7,7,,,,,7,
,CPSY,,,,,,,,1,1,9,9,,,10,
,EDAD,,,,,,,,3,3,25,25,,,28,
,EDCI,,,,,,,,18,18,8,8,,,26,
,EDHL,,2,15,4,,21,,,,,,,,21,
,EDIS,,1,10,3,,14,,,,,,,,14,
,EDKI,1,2,4,1,,8,,,,,,,,8,
,EDSM,,1,5,,,6,,,,,,,,6,
,EDTC,,,,,,,,4,4,,,,,4,
,EHRD,,,,,,,,10,10,8,8,,,18,
,EPSY,,,,,,,,5,5,8,8,,,13,
,HEED,,,,,,,,2,2,2,2,,,4,
,HLTH,,,,20,,20,,,,,,,,20,
,HRDL,,,8,4,,12,,,,,,,,12,
,HRDV,,,1,12,,13,,,,,,,,13,
,INST,,3,4,36,,43,,,,,,,,43,
,KINE,,,3,21,1,25,,2,2,3,3,,,30,
,NUTR,,,,,,,,,,,,,,,
,PHED,,,,,,,,,,,,,,,
,SPED,,,,,,,,2,2,,,,,2,
,SPMT,,,5,6,,11,,3,3,,,,,14,
,SPSY,,,,,,,,,,9,9,,,9,
,TCMG,,,2,7,,9,,,,,,,,9,
,TCML,,,5,6,,11,,,,,,,,11,
,TECR,,,,,,,,,,,,,,,
"Prepared by OISP, 11 Aug 11",,,,,,,,,,,,,,,,
