Ethnicity Native Hawaii Only (New),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity College Station Campus,,,,,,,,,,,,,,,,
Summer 2011,,,,,,,,,,,,,,,,
Summer 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Science,APHY,,,,,,,,,,,,,,,
,APMS,,,,,,,,,,,,,,,
,BIOL,,,,,,,,,,,,,,,
,BMCB,,,,,,,,,,,,,,,
,BOTN,,,,,,,,,,,,,,,
,CHEM,,,,,,,,,,,,,,,
,GENE,,,,,,,,,,,,,,,
,MATH,,,,,,,,,,,,,,,
,MBIO,,,,,,,,,,,,,,,
,MEPS,,,,,,,,,,,,,,,
,MSEN,,,,,,,,,,,,,,,
,PHYS,,,,,,,,,,1,1,,,1,
,STAT,,,,,,,,,,,,,,,
,USSC,,,,,,,,,,,,,,,
,ZOOL,,,,,,,,,,,,,,,
,Subtotal,,,,,,,,,,1,1,,,1,
Veterinary Medicine,BIMS,,,,,,,,,,,,,,,
,BIOT,,,,,,,,,,,,,,,
,GENE,,,,,,,,,,,,,,,
,LAMD,,,,,,,,,,,,,,,
,STJR,,,,,,,,,,,,,,,
,TOXI,,,,,,,,,,,,,,,
,USVM,,,,,,,,,,,,,,,
,VPAT,,,,,,,,,,,,,,,
,VPHY,,,,,,,,,,,,,,,
,VTMD,,,,,,,,,,,,,,,
,VTMI,,,,,,,,,,,,,,,
,VTPH,,,,,,,,,,,,,,,
,Subtotal,,,,,,,,,,,,,,,
General Studies,GEST,1,,1,,,2,,,,,,,,2,
,TEAM,,,,,,,,,,,,,,,
,Subtotal,1,,1,,,2,,,,,,,,2,
"Prepared by OISP, 11 Aug 11",,,,,,,,,,,,,,,,
