Headcount by Department by Ethnic Origin by Gender College Station Campus,,,,,,,,,,,,,,,,,,,,,,,
Summer 2011,,,,,,,,,,,,,,,,,,,,,,,
Summer 2011,,White Only (NEW),,Black Only + 2 or more/1 Black (NEW),,Hispanic or Latino of any Race (NEW),,Asian Only (NEW),,Native Hawaii Only (New),,American Indian Only (NEW),,International,,2 or More/Excluding Black (NEW),,Unknown or Not Reported,,Total,,Total,
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
Liberal Arts,ANTH,24,19,3,,10,2,1,,,,,,,3,,,,,38,24,62,
,CLLA,89,70,6,7,40,20,2,2,,,,1,3,1,2,1,,,142,102,244,
,COMM,149,67,10,3,23,12,6,3,,,2,,4,2,6,2,,,200,89,289,
,ECON,32,122,1,3,4,27,7,10,2,,,,5,16,,5,,1,51,184,235,
,ENGL,126,38,12,,20,11,5,,,,2,1,1,1,3,1,,1,169,53,222,
,EURO,4,9,,,1,1,1,,,,,,,,,,,,6,10,16,
,HISP,20,4,,,23,8,,,,,,,,7,,,,,43,19,62,
,HIST,48,127,1,5,20,22,1,1,,,,,1,1,4,2,,1,75,159,234,
,PHUM,4,10,2,1,,1,,2,,,,1,,,,,,,6,15,21,
,POLS,54,133,11,6,9,22,5,5,,,,,7,2,2,1,,,88,169,257,
,PRFM,8,1,,1,2,4,2,,,,,,,,,,,,12,6,18,
,PSYC,238,85,26,7,76,25,19,16,,,1,1,4,4,1,1,2,,367,139,506,
,SOCI,83,47,21,9,41,25,6,,,,2,,2,,3,,,1,158,82,240,
,Subtotal,879,732,93,42,269,180,55,39,2,,7,4,27,37,21,13,2,4,"1,355","1,051","2,406",
Science,BIOL,123,85,11,10,37,30,22,19,,,1,1,13,9,5,2,,,212,156,368,
,CHEM,48,81,3,6,12,8,5,8,,,,1,49,85,1,,12,6,130,195,325,
,CLSC,5,7,,1,,,,,,,,,,,,,,,5,8,13,
,MATH,49,52,3,2,10,8,3,5,,,,,19,44,2,1,,1,86,113,199,
,PHYS,13,66,1,2,5,16,,3,,1,,,5,67,2,1,5,6,31,162,193,
,STAT,18,34,,1,3,3,7,8,,,,,19,21,,2,2,1,49,70,119,
,Subtotal,256,325,18,22,67,65,37,43,,1,1,2,105,226,10,6,19,14,513,704,"1,217",
Veterinary Medicine,CLVM,253,93,7,4,50,20,22,21,,,1,2,4,1,3,1,1,1,341,143,484,
,VIBS,6,7,1,,1,1,2,,,,,,7,8,,,,,17,16,33,
,VLCS,3,1,,,,,,,,,,,1,,,,,,4,1,5,
,VSCS,,,,,,1,,,,,,,1,3,,,,,1,4,5,
,VTPB,17,5,1,,1,1,2,,,,,,5,4,,,,,26,10,36,
,VTPP,12,3,,,,,,2,,,,,4,5,,,,,16,10,26,
,Subtotal,291,109,9,4,52,23,26,23,,,1,2,22,21,3,1,1,1,405,184,589,
General Studies,GEST,299,296,29,51,92,89,18,27,1,1,1,1,4,10,6,2,1,,451,477,928,
,Subtotal,299,296,29,51,92,89,18,27,1,1,1,1,4,10,6,2,1,,451,477,928,
Other - Special Populations,CLMD,1,1,,,,,,,,,,,,,,,,,1,1,2,
,ECEN,,,,,,,,,,,,,1,,,,,,1,,1,
,MARB,2,1,,,,,,,,,,,1,,,,,,3,1,4,
,MARS,,1,,,,,,,,,,,,1,,,,,,2,2,
,MASE,,2,,,,,,,,,,,,,,,,,,2,2,
,MEEN,,,,,,,,,,,,,,3,,,,,,3,3,
,PETE,,,,,,,,,,,,,,2,,,,,,2,2,
,SRPH,4,2,,,,,1,,,,,,4,,,,2,1,11,3,14,
,Subtotal,7,7,,,,,1,,,,,,6,6,,,2,1,16,14,30,
Total,,"5,106","5,580",377,378,"1,169","1,121",279,406,7,8,32,29,755,"1,628",112,100,84,95,"7,921","9,345","17,266",
"Prepared by OISP, 11 Aug 11",,,,,,,,,,,,,,,,,,,,,,,
