Headcount by Major by Level by Entry Status College Station Campus,,,,,,,,,,,,,,,
Summer 2011,,,,,,,,,,,,,,,
Summer 2011,,Undergraduate,,,,Masters,,,,PhD,,,Professional,Total,
,,1st Time in College,1st Time Transfer,Readmitted,Continuing,1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,Continuing,,
Education,BIED,,,,,,4,,7,,,,,11,
,CPSY,,,,,,,,4,2,,21,,27,
,EDAD,,,,,,1,,19,10,,95,,125,
,EDCI,,,,,3,47,,111,3,,109,,273,
,EDHL,,,3,85,,,,,,,,,88,
,EDIS,,16,2,110,,,,,,,,,128,
,EDKI,3,2,1,92,,,,,,,,,98,
,EDSM,4,1,2,38,,,,,,,,,45,
,EDTC,,,,,,,,19,,,,,19,
,EHRD,,,,,,10,,35,2,1,48,,96,
,EPSY,,,,,2,1,1,26,3,,40,,73,
,HEED,,,,,,1,,10,1,,17,,29,
,HLTH,,,1,152,,,,,,,,,153,
,HRDL,2,3,3,57,,,,,,,,,65,
,HRDV,,,,115,,,,,,,,,115,
,INST,,,,289,,,,,,,,,289,
,KINE,,,1,167,,8,,19,3,,45,,243,
,NUTR,,,,,,,,3,,,,,3,
,PHED,,,,,,,,1,,,,,1,
,SPED,,,,,,,,17,,,,,17,
,SPMT,,,1,145,,3,,20,,,,,169,
,SPSY,,,,,,,,4,2,,29,,35,
,TCMG,,,,35,,,,,,,,,35,
,TCML,,,2,30,,,,,,,,,32,
,TECR,,,,1,,,,,,,,,1,
,USEH,,,,3,,,,,,,,,3,
,Subtotal,9,22,16,"1,319",5,75,1,295,26,1,404,,"2,173",
"Prepared by OISP, 11 Aug 11",,,,,,,,,,,,,,,
