Headcount by Major by Level by Entry Status College Station Campus,,,,,,,,,,,,,,,
Summer 2011,,,,,,,,,,,,,,,
Summer 2011,,Undergraduate,,,,Masters,,,,PhD,,,Professional,Total,
,,1st Time in College,1st Time Transfer,Readmitted,Continuing,1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,Continuing,,
Science,APHY,,,,,,,,,,,7,,7,
,APMS,,,,46,,,,,,,,,46,
,BIOL,3,,2,253,,,,6,1,,21,,286,
,BMCB,,,,22,,,,,,,,,22,
,BOTN,,,,,,,,,,,1,,1,
,CHEM,,,1,67,,4,,51,23,,179,,325,
,GENE,,,,,,,,,,,2,,2,
,MATH,1,,2,41,,3,,39,2,,65,,153,
,MBIO,,3,,23,,,,2,,,7,,35,
,MEPS,,,,,,,,,,,2,,2,
,MSEN,,,,,,,,,,,1,,1,
,PHYS,1,,,46,,,,40,7,,91,,185,
,STAT,,,,,17,15,,42,1,,44,,119,
,USSC,,,,13,,,,,,,,,13,
,ZOOL,,,,16,,,,1,,,3,,20,
,Subtotal,5,3,5,527,17,22,,181,34,,423,,"1,217",
Veterinary Medicine,BIMS,1,,3,323,,4,,20,3,,29,,383,
,BIOT,,,,,,,,4,,,,,4,
,GENE,,,,,,,,2,,,5,,7,
,LAMD,,,,,,,,3,,,,,3,
,STJR,,,,,,,,7,,,,,7,
,TOXI,,,,,,2,,2,1,,9,,14,
,USVM,,,,1,,,,,,,,,1,
,VPAT,,,,,,,,2,,,11,,13,
,VPHY,,,,,,,,,,,1,,1,
,VTMD,,,,,,,,,,,,146,146,
,VTMI,,,,,,,,,,,9,,9,
,VTPH,,,,,,,,1,,,,,1,
,Subtotal,1,,3,324,,6,,41,4,,64,146,589,
General Studies,GEST,322,2,6,477,,,,,,,,,807,
,TEAM,,,1,120,,,,,,,,,121,
,Subtotal,322,2,7,597,,,,,,,,,928,
Other - Special Populations,ELEN,,,,1,,,,,,,,,1,
,MARB,,,,3,,,,1,1,,,,5,
,MARS,,,,1,,,,,,,,,1,
,MASE,,,,2,,,,,,,,,2,
,MDSC,,,,,1,,,1,,,,,2,
,MEEN,,,,3,,,,,,,,,3,
,PETE,,,,2,,,,,,,,,2,
,PHLT,,,,,8,,,6,,,,,14,
,Subtotal,,,,12,9,,,8,1,,,,30,
University,Total,393,168,115,"11,048",77,340,5,"2,259",170,5,"2,540",146,"17,266",
"Prepared by OISP, 11 Aug 11",,,,,,,,,,,,,,,
