University Total,,,,,,,,,,,,,,,,,,,,,,,,
Demographic Summary by College by Ethnicity/Gender College Station Campus,,,,,,,,,,,,,,,,,,,,,,,,
First-Time In College Students Summer 2011,,,,,,,,,,,,,,,,,,,,,,,,
Summer 2011,,White Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Asian Only (NEW),,,Native Hawaii Only (New),,American Indian Only (NEW),,2 or More/Excluding Black (NEW),,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,140,104,244,10,26,36,49,43,92,6,8,14,1,1,1,1,4,1,5,209,184,393,
TAMU Age Categories,<18,,,,,,,1,,1,1,,1,,,,,,,,2,,2,
,18-21,140,104,244,10,26,36,48,43,91,5,8,13,1,1,1,1,4,1,5,207,184,391,
Classification,Freshman,135,102,237,10,26,36,49,41,90,5,8,13,1,1,1,1,4,1,5,203,180,383,
,Sophomore,5,1,6,,,,,2,2,1,,1,,,,,,,,6,3,9,
,Junior,,1,1,,,,,,,,,,,,,,,,,,1,1,
Tuition Status,Resident Tuition,127,95,222,7,22,29,47,43,90,6,7,13,1,1,1,1,4,1,5,191,170,361,
,Non-Resident Tuition,10,5,15,2,4,6,1,,1,,1,1,,,,,,,,13,10,23,
,Tuition Exemption/Waiver,3,4,7,1,,1,1,,1,,,,,,,,,,,5,4,9,
Residency Status,Texas Resident,129,99,228,8,22,30,48,43,91,6,7,13,1,1,1,1,4,1,5,195,174,369,
,"Non-TX, US Resident",11,5,16,2,4,6,1,,1,,1,1,,,,,,,,14,10,24,
SCH Categories,< 6 SCH,4,6,10,,1,1,3,4,7,,1,1,,,,,1,1,2,8,13,21,
,6-8 SCH,135,96,231,10,23,33,46,39,85,6,7,13,1,1,1,1,3,,3,200,167,367,
,9-11 SCH,1,2,3,,2,2,,,,,,,,,,,,,,1,4,5,
Ft/Pt:  TAMU Status,Less Than Half Time,1,3,4,,1,1,,,,,,,,,,,,,,1,4,5,
,Half-Time,138,99,237,10,23,33,49,43,92,6,8,14,1,1,1,1,4,1,5,207,176,383,
,Full-Time,1,2,3,,2,2,,,,,,,,,,,,,,1,4,5,
Top 10% Texas High School,No,135,92,227,10,22,32,42,34,76,4,6,10,1,1,1,1,3,1,4,194,157,351,
,Yes,5,12,17,,4,4,7,9,16,2,2,4,,,,,1,,1,15,27,42,
First Generation,No,107,91,198,2,9,11,19,16,35,2,5,7,1,1,1,1,2,1,3,132,124,256,
,Unknown,1,2,3,,,,2,1,3,1,,1,,,,,1,,1,5,3,8,
,Yes,32,11,43,8,17,25,28,26,54,3,3,6,,,,,1,,1,72,57,129,
On / Off Campus,Off Campus,16,24,40,3,15,18,8,4,12,,2,2,,,,,1,1,2,28,46,74,
,On Campus,124,80,204,7,11,18,41,39,80,6,6,12,1,1,1,1,3,,3,181,138,319,
"Prepared by OISP, 11 Aug 11",,,,,,,,,,,,,,,,,,,,,,,,
