College Business Admin,,,,,,,,,,,,,,,,,,,,,,,
Demographic Summary by College by Ethnicity/Gender First-Time Undergraduate Transfer Students,,,,,,,,,,,,,,,,,,,,,,,
College Station Campus Summer 2011,,,,,,,,,,,,,,,,,,,,,,,
Summer 2011,,White Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,Hispanic or Latino of any Race (NEW),,,Asian Only (NEW),,,International,,,2 or More/Excluding Black (NEW),,Unknown or Not Reported,,Grand Total,,,
,,F,M,Tot,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,Tot,M,Tot,F,M,Tot,
Headcount Total,,2,6,8,1,1,3,3,6,2,,2,1,,1,,,,,8,10,18,
TAMU Age Categories,<18,,,,,,,,,,,,,,,,,,,,,,
,18-21,2,3,5,1,1,1,2,3,1,,1,1,,1,,,,,5,6,11,
,22-25,,3,3,,,1,1,2,,,,,,,,,,,1,4,5,
,26-30,,,,,,1,,1,1,,1,,,,,,,,2,,2,
,31-39,,,,,,,,,,,,,,,,,,,,,,
Classification,Freshman,,1,1,,,,,,,,,,,,,,,,,1,1,
,Sophomore,,4,4,1,1,1,,1,1,,1,1,,1,,,,,3,5,8,
,Junior,2,1,3,,,2,3,5,1,,1,,,,,,,,5,4,9,
,Senior,,,,,,,,,,,,,,,,,,,,,,
,PB,,,,,,,,,,,,,,,,,,,,,,
Tuition Status,Resident Tuition,2,4,6,1,1,3,3,6,2,,2,,,,,,,,7,8,15,
,Non-Resident Tuition,,1,1,,,,,,,,,1,,1,,,,,1,1,2,
,Tuition Exemption/Waiver,,1,1,,,,,,,,,,,,,,,,,1,1,
Residency Status,Texas Resident,2,5,7,1,1,3,3,6,2,,2,,,,,,,,7,9,16,
,"Non-TX, US Resident",,1,1,,,,,,,,,,,,,,,,,1,1,
,"Non-TX, Non-US Resident",,,,,,,,,,,,1,,1,,,,,1,,1,
SCH Categories,< 6 SCH,1,4,5,,,1,1,2,2,,2,,,,,,,,4,5,9,
,6-8 SCH,,1,1,,,2,2,4,,,,,,,,,,,2,3,5,
,9-11 SCH,,1,1,,,,,,,,,1,,1,,,,,1,1,2,
,12-14 SCH,1,,1,1,1,,,,,,,,,,,,,,1,1,2,
Ft/Pt:  TAMU Status,Less Than Half Time,1,4,5,,,1,,1,2,,2,,,,,,,,4,4,8,
,Half-Time,,1,1,,,2,2,4,,,,,,,,,,,2,3,5,
,Full-Time,1,1,2,1,1,,1,1,,,,1,,1,,,,,2,3,5,
Top 10% Texas High School,No,1,6,7,1,1,2,2,4,2,,2,1,,1,,,,,6,9,15,
,Yes,1,,1,,,1,1,2,,,,,,,,,,,2,1,3,
First Generation,No,1,4,5,1,1,1,1,2,1,,1,,,,,,,,3,6,9,
,Unknown,,,,,,,,,,,,1,,1,,,,,1,,1,
,Yes,1,2,3,,,2,2,4,1,,1,,,,,,,,4,4,8,
On / Off Campus,Off Campus,2,6,8,1,1,3,3,6,1,,1,1,,1,,,,,7,10,17,
,On Campus,,,,,,,,,1,,1,,,,,,,,1,,1,
"Prepared by OISP, 11 Aug 11",,,,,,,,,,,,,,,,,,,,,,,
