University Total,,,,,,,,,,,,,,,,,,,,,,,
Demographic Summary by College by Ethnicity/Gender First-Time Undergraduate Transfer Students,,,,,,,,,,,,,,,,,,,,,,,
College Station Campus Summer 2011,,,,,,,,,,,,,,,,,,,,,,,
Summer 2011,,White Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,Hispanic or Latino of any Race (NEW),,,Asian Only (NEW),,,International,,,2 or More/Excluding Black (NEW),,Unknown or Not Reported,,Grand Total,,,
,,F,M,Tot,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,Tot,M,Tot,F,M,Tot,
Headcount Total,,46,72,118,2,2,13,15,28,4,2,6,5,6,11,1,1,2,2,69,99,168,
TAMU Age Categories,<18,,1,1,,,,,,,,,,,,,,,,,1,1,
,18-21,39,51,90,2,2,6,5,11,3,1,4,3,3,6,1,1,1,1,52,63,115,
,22-25,6,15,21,,,5,7,12,,1,1,2,3,5,,,,,13,26,39,
,26-30,1,5,6,,,2,,2,1,,1,,,,,,1,1,4,6,10,
,31-39,,,,,,,3,3,,,,,,,,,,,,3,3,
Classification,Freshman,,6,6,,,,1,1,,,,1,,1,,,,,1,7,8,
,Sophomore,21,35,56,2,2,7,4,11,2,2,4,3,3,6,1,1,1,1,34,47,81,
,Junior,21,27,48,,,6,10,16,2,,2,,1,1,,,1,1,29,39,68,
,Senior,4,3,7,,,,,,,,,1,2,3,,,,,5,5,10,
,PB,,1,1,,,,,,,,,,,,,,,,,1,1,
Tuition Status,Resident Tuition,45,69,114,2,2,12,14,26,4,1,5,,,,1,1,2,2,62,88,150,
,Non-Resident Tuition,1,1,2,,,1,1,2,,1,1,5,6,11,,,,,7,9,16,
,Tuition Exemption/Waiver,,2,2,,,,,,,,,,,,,,,,,2,2,
Residency Status,Texas Resident,45,71,116,2,2,12,14,26,4,2,6,,,,1,1,2,2,62,91,153,
,"Non-TX, US Resident",1,1,2,,,1,1,2,,,,,,,,,,,2,2,4,
,"Non-TX, Non-US Resident",,,,,,,,,,,,5,6,11,,,,,5,6,11,
SCH Categories,< 6 SCH,23,44,67,1,1,4,7,11,4,1,5,1,2,3,1,1,1,1,33,56,89,
,6-8 SCH,12,16,28,,,8,8,16,,,,,2,2,,,1,1,20,27,47,
,9-11 SCH,7,11,18,,,,,,,1,1,2,1,3,,,,,9,13,22,
,12-14 SCH,4,1,5,1,1,1,,1,,,,2,1,3,,,,,7,3,10,
Ft/Pt:  TAMU Status,Less Than Half Time,18,34,52,1,1,3,6,9,4,1,5,,,,1,1,1,1,26,43,69,
,Half-Time,18,26,44,,,9,8,17,,,,1,3,4,,,1,1,28,38,66,
,Full-Time,10,12,22,1,1,1,1,2,,1,1,4,3,7,,,,,15,18,33,
Top 10% Texas High School,No,44,68,112,2,2,12,14,26,4,2,6,5,6,11,1,1,2,2,66,94,160,
,Yes,2,4,6,,,1,1,2,,,,,,,,,,,3,5,8,
First Generation,No,34,52,86,2,2,5,7,12,2,1,3,,,,1,1,1,1,42,63,105,
,Unknown,1,,1,,,,,,,,,5,6,11,,,,,6,6,12,
,Yes,11,20,31,,,8,8,16,2,1,3,,,,,,1,1,21,30,51,
On / Off Campus,Off Campus,45,71,116,2,2,12,14,26,3,1,4,4,6,10,1,1,2,2,65,96,161,
,On Campus,1,1,2,,,1,1,2,1,1,2,1,,1,,,,,4,3,7,
"Prepared by OISP, 11 Aug 11",,,,,,,,,,,,,,,,,,,,,,,
