College Architecture,,,,,,,,,,,,,,,,,,,,,,,
Demographic Summary by College by Ethnicity/Gender First-Time Undergraduate Transfer Students,,,,,,,,,,,,,,,,,,,,,,,
College Station Campus Summer 2011,,,,,,,,,,,,,,,,,,,,,,,
Summer 2011,,White Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,Hispanic or Latino of any Race (NEW),,,Asian Only (NEW),,,International,,,2 or More/Excluding Black (NEW),,Unknown or Not Reported,,Grand Total,,,
,,F,M,Tot,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,Tot,M,Tot,F,M,Tot,
Headcount Total,,,8,8,,,1,,1,,,,1,,1,,,,,2,8,10,
TAMU Age Categories,<18,,,,,,,,,,,,,,,,,,,,,,
,18-21,,6,6,,,1,,1,,,,1,,1,,,,,2,6,8,
,22-25,,1,1,,,,,,,,,,,,,,,,,1,1,
,26-30,,1,1,,,,,,,,,,,,,,,,,1,1,
,31-39,,,,,,,,,,,,,,,,,,,,,,
Classification,Freshman,,1,1,,,,,,,,,1,,1,,,,,1,1,2,
,Sophomore,,4,4,,,1,,1,,,,,,,,,,,1,4,5,
,Junior,,2,2,,,,,,,,,,,,,,,,,2,2,
,Senior,,1,1,,,,,,,,,,,,,,,,,1,1,
,PB,,,,,,,,,,,,,,,,,,,,,,
Tuition Status,Resident Tuition,,7,7,,,1,,1,,,,,,,,,,,1,7,8,
,Non-Resident Tuition,,,,,,,,,,,,1,,1,,,,,1,,1,
,Tuition Exemption/Waiver,,1,1,,,,,,,,,,,,,,,,,1,1,
Residency Status,Texas Resident,,8,8,,,1,,1,,,,,,,,,,,1,8,9,
,"Non-TX, US Resident",,,,,,,,,,,,,,,,,,,,,,
,"Non-TX, Non-US Resident",,,,,,,,,,,,1,,1,,,,,1,,1,
SCH Categories,< 6 SCH,,1,1,,,,,,,,,,,,,,,,,1,1,
,6-8 SCH,,6,6,,,,,,,,,,,,,,,,,6,6,
,9-11 SCH,,1,1,,,,,,,,,,,,,,,,,1,1,
,12-14 SCH,,,,,,1,,1,,,,1,,1,,,,,2,,2,
Ft/Pt:  TAMU Status,Less Than Half Time,,1,1,,,,,,,,,,,,,,,,,1,1,
,Half-Time,,6,6,,,,,,,,,,,,,,,,,6,6,
,Full-Time,,1,1,,,1,,1,,,,1,,1,,,,,2,1,3,
Top 10% Texas High School,No,,8,8,,,1,,1,,,,1,,1,,,,,2,8,10,
,Yes,,,,,,,,,,,,,,,,,,,,,,
First Generation,No,,7,7,,,1,,1,,,,,,,,,,,1,7,8,
,Unknown,,,,,,,,,,,,1,,1,,,,,1,,1,
,Yes,,1,1,,,,,,,,,,,,,,,,,1,1,
On / Off Campus,Off Campus,,7,7,,,,,,,,,,,,,,,,,7,7,
,On Campus,,1,1,,,1,,1,,,,1,,1,,,,,2,1,3,
"Prepared by OISP, 11 Aug 11",,,,,,,,,,,,,,,,,,,,,,,
