Ethnicity Black Only + 2 or more/1 Black (NEW),,,,,,,,,,,,,,,,
Headcount by Department by Classification by Ethnicity College Station Campus,,,,,,,,,,,,,,,,
Summer 2011,,,,,,,,,,,,,,,,
Summer 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Agriculture,AGEC,,,1,4,,5,,,,1,1,,,6,
,ALEC,2,4,18,31,,55,,1,1,3,3,,,59,
,ANSC,,1,1,1,,3,,1,1,1,1,,,5,
,BAEN,,,,2,,2,,,,3,3,,,5,
,BCBP,,1,,4,,5,,2,2,1,1,,,8,
,CLAG,,,4,1,,5,,,,,,,,5,
,ENTO,,,,1,,1,,,,1,1,,,2,
,ESSM,,,,,,,,1,1,1,1,,,2,
,HRSC,,,,,,,,,,,,,,,
,NFSC,,1,1,4,1,7,,1,1,1,1,,,9,
,PLPM,,,,6,,6,,,,1,1,,,7,
,POSC,,,1,1,,2,,,,2,2,,,4,
,RPTS,,1,4,1,,6,,,,3,3,,,9,
,SCSC,,,,1,,1,,2,2,3,3,,,6,
,WFSC,,,,,,,,1,1,2,2,,,3,
,Subtotal,2,8,30,57,1,98,,9,9,23,23,,,130,
Architecture,ARCH,,1,,1,,2,,,,,,,,2,
,CLAR,,,1,,,1,,,,,,,,1,
,COSC,,1,2,2,,5,,,,,,,,5,
,LAUP,1,,,1,,2,,1,1,,,,,3,
,VIZA,,,,,,,,,,,,,,,
,Subtotal,1,2,3,4,,10,,1,1,,,,,11,
Business Admin,ACCT,,,1,8,,9,,4,4,,,,,13,
,CLBA,3,4,7,4,,18,,1,1,,,,,19,
,FINC,,1,,2,,3,,2,2,,,,,5,
,INFO,,,2,4,,6,,,,,,,,6,
,MGMT,,,,6,,6,,1,1,,,,,7,
,MKTG,,,2,6,,8,,,,,,,,8,
,Subtotal,3,5,12,30,,50,,8,8,,,,,58,
Education,CLED,,,,,,,,,,,,,,,
,EAHR,1,1,4,7,,13,,4,4,28,28,,,45,
,EPSY,,,,1,,1,,6,6,7,7,,,14,
,HLKN,3,4,18,16,,41,,3,3,10,10,,,54,
,TLAC,,1,5,,,6,,10,10,32,32,,,48,
,Subtotal,4,6,27,24,,61,,23,23,77,77,,,161,
Engineering,AERO,,1,,1,,2,,1,1,1,1,,,4,
,BMEN,,3,1,1,,5,,1,1,,,,,6,
,CHEN,,,1,5,,6,,1,1,1,1,,,8,
,CLEN,,,,,,,,,,,,,,,
,CSCE,1,1,2,4,,8,,1,1,2,2,,,11,
,CVEN,1,,3,9,,13,,1,1,,,,,14,
,ECEN,,1,2,6,,9,,1,1,1,1,,,11,
,ETID,,1,6,5,,12,,,,,,,,12,
,ISEN,,4,3,9,,16,,3,3,1,1,,,20,
,MEEN,2,,4,2,,8,,,,5,5,,,13,
,NUEN,,,1,,,1,,1,1,1,1,,,3,
,PETE,1,,1,,,2,,3,3,2,2,,,7,
,Subtotal,5,11,24,42,,82,,13,13,14,14,,,109,
G. Bush School of Govt,BUSH,,,,,,,5,1,6,,,,,6,
,Subtotal,,,,,,,5,1,6,,,,,6,
Geosciences,ATMO,,,,,,,,,,,,,,,
,CLGE,,,,1,,1,,,,,,,,1,
,GEOG,,,1,,,1,,,,1,1,,,2,
,GEPL,1,,,5,,6,,2,2,,,,,8,
,OCNG,,,,,,,,1,1,,,,,1,
,Subtotal,1,,1,6,,8,,3,3,1,1,,,12,
"Prepared by OISP, 11 Aug 11",,,,,,,,,,,,,,,,
