College Science,,,,,,,,,,,,,,,,,,,,,,,
Demographic Summary by College by Ethnicity/Gender First-Time Undergraduate Transfer Students,,,,,,,,,,,,,,,,,,,,,,,
College Station Campus Summer 2011,,,,,,,,,,,,,,,,,,,,,,,
Summer 2011,,White Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,Hispanic or Latino of any Race (NEW),,,Asian Only (NEW),,,International,,,2 or More/Excluding Black (NEW),,Unknown or Not Reported,,Grand Total,,,
,,F,M,Tot,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,Tot,M,Tot,F,M,Tot,
Headcount Total,,,1,1,,,,2,2,,,,,,,,,,,,3,3,
TAMU Age Categories,<18,,1,1,,,,,,,,,,,,,,,,,1,1,
,18-21,,,,,,,1,1,,,,,,,,,,,,1,1,
,22-25,,,,,,,1,1,,,,,,,,,,,,1,1,
,26-30,,,,,,,,,,,,,,,,,,,,,,
,31-39,,,,,,,,,,,,,,,,,,,,,,
Classification,Freshman,,,,,,,,,,,,,,,,,,,,,,
,Sophomore,,,,,,,,,,,,,,,,,,,,,,
,Junior,,1,1,,,,2,2,,,,,,,,,,,,3,3,
,Senior,,,,,,,,,,,,,,,,,,,,,,
,PB,,,,,,,,,,,,,,,,,,,,,,
Tuition Status,Resident Tuition,,1,1,,,,2,2,,,,,,,,,,,,3,3,
,Non-Resident Tuition,,,,,,,,,,,,,,,,,,,,,,
,Tuition Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,
Residency Status,Texas Resident,,1,1,,,,2,2,,,,,,,,,,,,3,3,
,"Non-TX, US Resident",,,,,,,,,,,,,,,,,,,,,,
,"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,,,,
SCH Categories,< 6 SCH,,1,1,,,,1,1,,,,,,,,,,,,2,2,
,6-8 SCH,,,,,,,1,1,,,,,,,,,,,,1,1,
,9-11 SCH,,,,,,,,,,,,,,,,,,,,,,
,12-14 SCH,,,,,,,,,,,,,,,,,,,,,,
Ft/Pt:  TAMU Status,Less Than Half Time,,1,1,,,,1,1,,,,,,,,,,,,2,2,
,Half-Time,,,,,,,1,1,,,,,,,,,,,,1,1,
,Full-Time,,,,,,,,,,,,,,,,,,,,,,
Top 10% Texas High School,No,,1,1,,,,2,2,,,,,,,,,,,,3,3,
,Yes,,,,,,,,,,,,,,,,,,,,,,
First Generation,No,,1,1,,,,,,,,,,,,,,,,,1,1,
,Unknown,,,,,,,,,,,,,,,,,,,,,,
,Yes,,,,,,,2,2,,,,,,,,,,,,2,2,
On / Off Campus,Off Campus,,1,1,,,,2,2,,,,,,,,,,,,3,3,
,On Campus,,,,,,,,,,,,,,,,,,,,,,
"Prepared by OISP, 11 Aug 11",,,,,,,,,,,,,,,,,,,,,,,
