College Veterinary Medicine,,,,,,,,,,,,
Texas A&M University Student Enrollment Summary Student Head Count by Level by College College Station Compus,,,,,,,,,,,,
Summer 2011,,,,,,,,,,,,
Summer 2011,,Student Level,,,,,,,,,,
,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
Gender,Total,328,100.0%,47,100.0%,68,100.0%,146,100.0%,589,100.0%,
,Female,225,68.6%,35,74.5%,36,52.9%,109,74.7%,405,68.8%,
,Male,103,31.4%,12,25.5%,32,47.1%,37,25.3%,184,31.2%,
Ethnicity,White Only (NEW),216,65.9%,22,46.8%,34,50.0%,128,87.7%,400,67.9%,
,Black Only + 2 or more/1 Black (NEW),10,3.0%,1,2.1%,1,1.5%,1,.7%,13,2.2%,
,Hispanic or Latino of any Race (NEW),60,18.3%,3,6.4%,2,2.9%,10,6.8%,75,12.7%,
,Asian Only (NEW),34,10.4%,7,14.9%,2,2.9%,6,4.1%,49,8.3%,
,Native Hawaii Only (New),,,,,,,,,,,
,American Indian Only (NEW),3,.9%,,,,,,,3,.5%,
,International,,,14,29.8%,29,42.6%,,,43,7.3%,
,2 or More/Excluding Black (NEW),4,1.2%,,,,,,,4,.7%,
,Unknown or Not Reported,1,.3%,,,,,1,.7%,2,.3%,
,Total,328,100.0%,47,100.0%,68,100.0%,146,100.0%,589,100.0%,
TAMU Age Categories,<18,,,,,,,,,,,
,18-21,228,69.5%,,,,,,,228,38.7%,
,22-25,99,30.2%,21,44.7%,7,10.3%,72,49.3%,199,33.8%,
,26-30,1,.3%,18,38.3%,30,44.1%,65,44.5%,114,19.4%,
,31-39,,,8,17.0%,25,36.8%,6,4.1%,39,6.6%,
,40+,,,,,6,8.8%,3,2.1%,9,1.5%,
Enrollment Status,1st Time in College,1,.3%,,,,,,,1,.2%,
,1st Time PB,,,,,,,,,,,
,1st Time Graduate,,,6,12.8%,4,5.9%,,,10,1.7%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,,,,,,,,,,,
,Readmitted,3,.9%,,,,,,,3,.5%,
,Continuing,324,98.8%,41,87.2%,64,94.1%,146,100.0%,575,97.6%,
Tuition Status,Resident Tuition,314,95.7%,24,51.1%,28,41.2%,136,93.2%,502,85.2%,
,Non-Resident Tuition,4,1.2%,3,6.4%,1,1.5%,2,1.4%,10,1.7%,
,Tuition Exemption/Waiver,10,3.0%,20,42.6%,39,57.4%,8,5.5%,77,13.1%,
Residency Status,Texas Resident,319,97.3%,27,57.4%,29,42.6%,136,93.2%,511,86.8%,
,"Non-TX, US Resident",9,2.7%,6,12.8%,10,14.7%,10,6.8%,35,5.9%,
,"Non-TX, Non-US Resident",,,14,29.8%,29,42.6%,,,43,7.3%,
SCH Categories,< 6 SCH,162,49.4%,22,46.8%,10,14.7%,16,11.0%,210,35.7%,
,6-8 SCH,126,38.4%,23,48.9%,55,80.9%,127,87.0%,331,56.2%,
,9-11 SCH,29,8.8%,1,2.1%,2,2.9%,1,.7%,33,5.6%,
,12-14 SCH,10,3.0%,1,2.1%,1,1.5%,,,12,2.0%,
,15-17 SCH,1,.3%,,,,,,,1,.2%,
,>17 SCH,,,,,,,2,1.4%,2,.3%,
Ft/Pt:  TAMU Status,Less Than Half Time,57,17.4%,10,21.3%,3,4.4%,,,70,11.9%,
,Half-Time,213,64.9%,12,25.5%,7,10.3%,16,11.0%,248,42.1%,
,Full-Time,58,17.7%,25,53.2%,58,85.3%,130,89.0%,271,46.0%,
Top 10% Texas High School,No,137,41.8%,45,95.7%,62,91.2%,101,69.2%,345,58.6%,
,Yes,191,58.2%,2,4.3%,6,8.8%,45,30.8%,244,41.4%,
First Generation,No,239,72.9%,30,63.8%,45,66.2%,63,43.2%,377,64.0%,
,Unknown,5,1.5%,6,12.8%,7,10.3%,68,46.6%,86,14.6%,
,Yes,84,25.6%,11,23.4%,16,23.5%,15,10.3%,126,21.4%,
"Prepared by OISP, 8/12/2011",,,,,,,,,,,,
