Ethnicity Hispanic or Latino of any Race (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity College Station Campus,,,,,,,,,,,,,,,,
Summer 2011,,,,,,,,,,,,,,,,
Summer 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Education,USEH,,,,,,,,,,,,,,,
,Subtotal,1,9,62,120,1,193,,57,57,72,72,,,322,
Engineering,AERL,2,6,,,,8,,,,,,,,8,
,AERO,,,5,15,,20,,2,2,4,4,,,26,
,BIOT,,,,,,,,,,,,,,,
,BMEL,1,3,2,,,6,,,,,,,,6,
,BMEN,,,4,12,,16,,1,1,3,3,,,20,
,CECL,,1,2,2,,5,,,,,,,,5,
,CECN,,1,2,5,,8,,1,1,,,,,9,
,CEEL,1,,1,,1,3,,,,,,,,3,
,CEEN,,,1,4,,5,,,,,,,,5,
,CHEL,1,2,,1,,4,,,,,,,,4,
,CHEN,,,12,15,,27,,,,4,4,,,31,
,CPSC,,1,1,6,,8,,2,2,2,2,,,12,
,CPSL,1,1,5,,,7,,,,,,,,7,
,CVEL,3,2,2,,,7,,,,,,,,7,
,CVEN,,2,10,27,1,40,,10,10,,,,,50,
,ELEL,3,7,6,2,,18,,,,,,,,18,
,ELEN,,1,4,22,1,28,,3,3,,,,,31,
,ENGR,,,,,,,,,,2,2,,,2,
,ENSM,,,,,,,,1,1,,,,,1,
,ENTC,,1,,13,,14,,,,,,,,14,
,ENTL,2,3,2,2,,9,,,,,,,,9,
,HLPH,,,,,,,,,,,,,,,
,IDIL,,1,5,1,,7,,,,,,,,7,
,IDIS,,,3,12,,15,,,,,,,,15,
,INEL,1,1,7,3,1,13,,,,,,,,13,
,INEN,,1,10,43,,54,,8,8,1,1,,,63,
,ITDE,,,,,,,,,,,,,,,
,MEEL,3,,3,,,6,,,,,,,,6,
,MEEN,,1,6,27,1,35,,10,10,7,7,,,52,
,MSEN,,,,,,,,2,2,,,,,2,
,NUEL,2,2,,,,4,,,,,,,,4,
,NUEN,,,2,9,,11,,3,3,1,1,,,15,
,OCEL,,,,,,,,,,,,,,,
,OCEN,,,1,7,,8,,,,,,,,8,
,PETE,,,1,2,,3,,7,7,1,1,,,11,
"Prepared by OISP, 11 Aug 11",,,,,,,,,,,,,,,,
