Ethnicity Black Only + 2 or more/1 Black (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity College Station Campus,,,,,,,,,,,,,,,,
Summer 2011,,,,,,,,,,,,,,,,
Summer 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Agriculture,ADEV,,,,,,,,,,,,,,,
,AGBL,,,1,,,1,,,,,,,,1,
,AGBU,,,,1,,1,,,,,,,,1,
,AGCJ,,,2,3,,5,,,,,,,,5,
,AGEC,,,,3,,3,,,,1,1,,,4,
,AGLS,,,4,1,,5,,,,,,,,5,
,AGRO,,,,1,,1,,,,,,,,1,
,AGSC,,,,1,,1,,,,,,,,1,
,AGSM,,,,1,,1,,,,,,,,1,
,ALEC,,,,,,,,1,1,3,3,,,4,
,ALED,2,4,14,17,,37,,,,,,,,37,
,ANBR,,,,,,,,,,,,,,,
,ANSC,,1,1,1,,3,,1,1,1,1,,,5,
,BAEN,,,,1,,1,,,,3,3,,,4,
,BESC,,,,6,,6,,,,,,,,6,
,BICH,,1,,4,,5,,2,2,1,1,,,8,
,BIOT,,,,,,,,,,,,,,,
,CDEV,,1,,,,1,,,,,,,,1,
,DASC,,,,,,,,,,,,,,,
,ECOR,,,,,,,,,,,,,,,
,ENST,,,,,,,,,,,,,,,
,ENTO,,,,,,,,,,1,1,,,1,
,FISC,,,,,,,,,,,,,,,
,FIVL,,,,,,,,,,,,,,,
,FIVS,,,,1,,1,,,,,,,,1,
,FLOR,,,,,,,,,,,,,,,
,FORS,,,,,,,,,,,,,,,
,FSTC,,,1,2,1,4,,1,1,,,,,5,
,GENE,,,,,,,,,,,,,,,
,HORT,,,,,,,,,,,,,,,
,MEPS,,,,,,,,,,1,1,,,1,
,NRDV,,,,,,,,1,1,,,,,1,
,NUSC,,1,,2,,3,,,,,,,,3,
,NUTR,,,,,,,,,,1,1,,,1,
,PLBR,,,,,,,,1,1,,,,,1,
,PLPA,,,,,,,,,,1,1,,,1,
,POSC,,,1,1,,2,,,,2,2,,,4,
"Prepared by OISP, 11 Aug 11",,,,,,,,,,,,,,,,
