College Liberal Arts,,,,,,,,,,,,,,,,,,,,,,,
Demographic Summary by College by Ethnicity/Gender First-Time Undergraduate Transfer Students,,,,,,,,,,,,,,,,,,,,,,,
College Station Campus Summer 2011,,,,,,,,,,,,,,,,,,,,,,,
Summer 2011,,White Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,Hispanic or Latino of any Race (NEW),,,Asian Only (NEW),,,International,,,2 or More/Excluding Black (NEW),,Unknown or Not Reported,,Grand Total,,,
,,F,M,Tot,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,Tot,M,Tot,F,M,Tot,
Headcount Total,,12,10,22,,,2,4,6,,2,2,3,1,4,,,,,17,17,34,
TAMU Age Categories,<18,,,,,,,,,,,,,,,,,,,,,,
,18-21,11,7,18,,,2,1,3,,1,1,1,,1,,,,,14,9,23,
,22-25,1,2,3,,,,2,2,,1,1,2,1,3,,,,,3,6,9,
,26-30,,1,1,,,,,,,,,,,,,,,,,1,1,
,31-39,,,,,,,1,1,,,,,,,,,,,,1,1,
Classification,Freshman,,3,3,,,,1,1,,,,,,,,,,,,4,4,
,Sophomore,7,6,13,,,1,3,4,,2,2,2,1,3,,,,,10,12,22,
,Junior,3,1,4,,,1,,1,,,,,,,,,,,4,1,5,
,Senior,2,,2,,,,,,,,,1,,1,,,,,3,,3,
,PB,,,,,,,,,,,,,,,,,,,,,,
Tuition Status,Resident Tuition,12,10,22,,,2,3,5,,1,1,,,,,,,,14,14,28,
,Non-Resident Tuition,,,,,,,1,1,,1,1,3,1,4,,,,,3,3,6,
,Tuition Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,
Residency Status,Texas Resident,12,10,22,,,2,3,5,,2,2,,,,,,,,14,15,29,
,"Non-TX, US Resident",,,,,,,1,1,,,,,,,,,,,,1,1,
,"Non-TX, Non-US Resident",,,,,,,,,,,,3,1,4,,,,,3,1,4,
SCH Categories,< 6 SCH,9,4,13,,,2,1,3,,1,1,1,,1,,,,,12,6,18,
,6-8 SCH,,3,3,,,,3,3,,,,,,,,,,,,6,6,
,9-11 SCH,2,3,5,,,,,,,1,1,1,1,2,,,,,3,5,8,
,12-14 SCH,1,,1,,,,,,,,,1,,1,,,,,2,,2,
Ft/Pt:  TAMU Status,Less Than Half Time,5,5,10,,,1,1,2,,1,1,,,,,,,,6,7,13,
,Half-Time,5,2,7,,,1,3,4,,,,1,,1,,,,,7,5,12,
,Full-Time,2,3,5,,,,,,,1,1,2,1,3,,,,,4,5,9,
Top 10% Texas High School,No,12,10,22,,,2,4,6,,2,2,3,1,4,,,,,17,17,34,
,Yes,,,,,,,,,,,,,,,,,,,,,,
First Generation,No,9,6,15,,,,3,3,,1,1,,,,,,,,9,10,19,
,Unknown,,,,,,,,,,,,3,1,4,,,,,3,1,4,
,Yes,3,4,7,,,2,1,3,,1,1,,,,,,,,5,6,11,
On / Off Campus,Off Campus,11,10,21,,,2,4,6,,1,1,3,1,4,,,,,16,16,32,
,On Campus,1,,1,,,,,,,1,1,,,,,,,,1,1,2,
"Prepared by OISP, 11 Aug 11",,,,,,,,,,,,,,,,,,,,,,,
