Headcount by Major by Ethnic Origin by Gender College Station Campus,,,,,,,,,,,,,,,,,,,,,,,
Summer 2011,,,,,,,,,,,,,,,,,,,,,,,
Summer 2011,,White Only (NEW),,Black Only + 2 or more/1 Black (NEW),,Hispanic or Latino of any Race (NEW),,Asian Only (NEW),,Native Hawaii Only (New),,American Indian Only (NEW),,International,,2 or More/Excluding Black (NEW),,Unknown or Not Reported,,Total,,Total,
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
Agriculture,ADEV,4,5,,,,1,,,,,,,1,,,,,,5,6,11,
,AGBL,9,18,1,,,1,,,,,,,,,1,,,1,11,20,31,
,AGBU,28,46,,1,3,7,1,2,,,,,8,4,,1,,,40,61,101,
,AGCJ,74,16,5,,7,4,1,,,,2,,1,1,2,,,,92,21,113,
,AGEC,62,155,,4,9,12,,2,,,1,,8,30,,4,,,80,207,287,
,AGLS,9,8,2,3,2,,,,,,,,,,,1,,,13,12,25,
,AGRO,14,43,1,,4,4,,1,,,,1,,4,,1,,,19,54,73,
,AGSC,40,18,,1,3,2,,,,,,1,,,,,,,43,22,65,
,AGSM,2,36,,1,1,8,,,,,,,,1,,,,,3,46,49,
,ALEC,48,28,2,2,,3,,1,,,,,3,,,,,1,53,35,88,
,ALED,75,100,6,31,10,9,,1,,,,1,,,,,,1,91,143,234,
,ANBR,4,1,,,,,,,,,,,,1,,,,,4,2,6,
,ANSC,169,65,2,3,11,15,3,1,,,3,,1,2,4,1,1,,194,87,281,
,BAEN,12,41,2,2,2,4,2,4,,,,1,10,15,1,3,,,29,70,99,
,BESC,28,31,2,4,17,6,3,7,,,,1,1,,3,,5,4,59,53,112,
,BICH,22,43,6,2,3,6,6,5,,,,1,16,24,2,,7,7,62,88,150,
,BIOT,,2,,,,,,1,,,,,4,2,,,,,4,5,9,
,CDEV,6,5,1,,1,1,,,,,,,,,,,,,8,6,14,
,DASC,2,,,,,,,,,,,,,,,,,,2,,2,
,ECOR,2,2,,,1,2,,,,,,,,,,,,,3,4,7,
,ENST,2,3,,,1,1,,,,,,,,,,,,,3,4,7,
,ENTO,20,18,,1,6,4,,,,,,,5,6,1,1,4,1,36,31,67,
,FISC,,1,,,,,,,,,,,,,,,,,,1,1,
,FIVL,5,2,,,,,,,,,,,,,,,,,5,2,7,
,FIVS,4,4,,1,3,,,,,,,,,,1,,,,8,5,13,
,FLOR,,,,,,,,,,,,,,,1,,,,1,,1,
,FORS,4,9,,,,,,,,,,,2,3,,,,,6,12,18,
,FSTC,27,17,3,2,10,1,,1,,,,,7,7,,1,,,47,29,76,
,GENE,22,14,,,1,3,1,,,,,,4,4,,,1,,29,21,50,
,HORT,40,14,,,6,4,1,,,,1,1,9,6,,,,,57,25,82,
,MEPS,2,3,,1,1,,,1,,,,,5,2,,,,,8,7,15,
,NRDV,4,8,1,,1,,,,,,,,,,,,,,6,8,14,
,NUSC,89,13,2,1,14,7,10,3,,,1,,2,1,2,,,,120,25,145,
,NUTR,18,3,1,,1,,1,,,,,,10,4,,,,,31,7,38,
,PLBR,6,17,,1,,1,,,,,,,8,9,,,,,14,28,42,
,PLPA,4,3,1,,4,4,,,,,,,3,6,,,,1,12,14,26,
,POSC,13,32,2,2,8,5,,,,,,,3,3,1,,,,27,42,69,
,PPRO,,1,,,,,,,,,,,,,,,,,,1,1,
,PREP,8,2,,,2,1,,,,1,,,3,1,,,,,13,5,18,
,RENR,3,11,,,1,2,,,,,,1,,,,,,,4,14,18,
,RLEM,12,15,1,,4,7,,,,,,,5,,,,,,22,22,44,
,RPTS,86,66,4,4,12,5,1,,1,,1,,10,3,,1,,,115,79,194,
,SOSC,6,7,,2,1,,,1,,,,,3,1,,,,,10,11,21,
,SPSA,,7,,,,,,1,,,,,,,,1,,,,9,9,
,TOXI,1,,,,,1,,,,,,,,,,,,,1,1,2,
,USAL,18,44,5,7,6,7,,,,,,,,,,2,,,29,60,89,
,WFSC,48,34,3,,24,11,2,,,,1,,7,3,1,,1,,87,48,135,
,WISC,1,3,,,,,,,,,,,,,,,,,1,3,4,
,WMHS,3,1,1,,,,,,,,,,2,,,,,,6,1,7,
,Subtotal,"1,056","1,015",54,76,180,149,32,32,1,1,10,8,141,143,20,17,19,16,"1,513","1,457","2,970",
"Prepared by OISP, 11 Aug 11",,,,,,,,,,,,,,,,,,,,,,,
