Demographic Summary by Housing College Station Campus,,,,,,,,,,,
Summer 2011,,,,,,,,,,,
Summer 2011,,Undergraduate,,Masters,,PhD,,Professional,Grand Total,,
,,Off Campus,On Campus,Off Campus,On Campus,Off Campus,On Campus,Off Campus,Off Campus,On Campus,
Head Count,Total,"11,095",629,"2,680",1,"2,714",1,146,"16,635",631,
Gender,Female,"5,297",286,"1,188",1,"1,040",,109,"7,634",287,
,Male,"5,798",343,"1,492",,"1,674",1,37,"9,001",344,
Ethnicity,White Only (NEW),"7,842",379,"1,397",1,938,1,128,"10,305",381,
,Black Only + 2 or more/1 Black (NEW),498,37,75,,144,,1,718,37,
,Hispanic or Latino of any Race (NEW),"1,683",164,229,,204,,10,"2,126",164,
,Asian Only (NEW),473,35,107,,64,,6,650,35,
,Native Hawaii Only (New),11,1,,,3,,,14,1,
,American Indian Only (NEW),49,2,5,,5,,,59,2,
,International,230,6,823,,"1,324",,,"2,377",6,
,2 or More/Excluding Black (NEW),168,5,23,,16,,,207,5,
,Unknown or Not Reported,141,,21,,16,,1,179,,
TAMU Age Categories,<18,2,1,,,,,,2,1,
,18-21,"5,951",576,22,,,,,"5,973",576,
,22-25,"4,709",50,"1,523",1,316,1,72,"6,620",52,
,26-30,296,1,762,,"1,277",,65,"2,400",1,
,31-39,107,1,261,,861,,6,"1,235",1,
,40+,30,,112,,260,,3,405,,
College,Agriculture,"2,065",29,435,,441,,,"2,941",29,
,Architecture,410,17,128,,27,,,565,17,
,Business Admin,"1,321",16,359,,60,,,"1,740",16,
,Education,"1,346",20,375,1,431,,,"2,152",21,
,Engineering,"2,233",132,816,,899,1,,"3,948",133,
,G. Bush School of Govt,,,102,,,,,102,,
,Geosciences,225,11,92,,104,,,421,11,
,Liberal Arts,"2,041",50,89,,226,,,"2,356",50,
,Science,516,24,220,,457,,,"1,193",24,
,Veterinary Medicine,318,10,47,,68,,146,579,10,
,General Studies,608,320,,,,,,608,320,
,Other - Special Populations,12,,17,,1,,,30,,
Enrollment Status,1st Time in College,74,319,,,,,,74,319,
,1st Time PB,,,77,,,,,77,,
,1st Time Graduate,,,339,1,170,,,509,1,
,1st Time Transfer,161,7,,,,,,161,7,
,Readmitted,115,,5,,5,,,125,,
,Continuing,"10,745",303,"2,259",,"2,539",1,146,"15,689",304,
Tuition Status,Resident Tuition,"10,182",559,"1,432",1,866,1,136,"12,616",561,
,Non-Resident Tuition,382,18,460,,241,,2,"1,085",18,
,Tuition  Exemption/Waiver,531,52,788,,"1,607",,8,"2,934",52,
Residency Status,Texas Resident,"10,450",586,"1,514",1,919,1,136,"13,019",588,
,"Non-TX, US Resident",417,36,341,,465,,10,"1,233",36,
,"Non-TX, Non-US Resident",228,7,825,,"1,330",,,"2,383",7,
SCH Categories,< 6 SCH,"4,176",55,"1,123",,643,,16,"5,958",55,
,6-8 SCH,"4,398",480,"1,244",,"1,991",1,127,"7,760",481,
,9-11 SCH,"1,543",52,193,1,66,,1,"1,803",53,
,12-14 SCH,910,40,113,,13,,,"1,036",40,
,15-17 SCH,63,2,7,,1,,,71,2,
,>17 SCH,5,,,,,,2,7,,
Ft/Pt: TAMU Status,Less Than Half Time,"3,238",41,355,,317,,,"3,910",41,
,Half-Time,"5,061",482,744,,293,,16,"6,114",482,
,Full-Time,"2,796",106,"1,581",1,"2,104",1,130,"6,611",108,
First Generation,No,"7,603",409,"1,531",1,"1,482",1,63,"10,679",411,
,Unknown,606,19,501,,382,,68,"1,557",19,
,Yes,"2,886",201,648,,850,,15,"4,399",201,
"Prepared by OISP, 11 Aug 11",,,,,,,,,,,
