Ethnicity Unknown or Not Reported,,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity College Station Campus,,,,,,,,,,,,,,,,
Summer 2011,,,,,,,,,,,,,,,,
Summer 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Other - Special Populations,ELEN,,,,,,,,,,,,,,,
,MARB,,,,,,,,,,,,,,,
,MARS,,,,,,,,,,,,,,,
,MASE,,,,,,,,,,,,,,,
,MDSC,,,,,,,,,,,,,,,
,MEEN,,,,,,,,,,,,,,,
,PETE,,,,,,,,,,,,,,,
,PHLT,,,,,,,3,,3,,,,,3,
,Subtotal,,,,,,,3,,3,,,,,3,
University,Total,25,21,39,55,1,141,7,14,21,16,16,1,1,179,
"Prepared by OISP, 11 Aug 11",,,,,,,,,,,,,,,,
