Ethnicity Native Hawaii Only (New),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity College Station Campus,,,,,,,,,,,,,,,,
Summer 2011,,,,,,,,,,,,,,,,
Summer 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Education,USEH,,,,,,,,,,,,,,,
,Subtotal,,,,,,,,,,,,,,,
Engineering,AERL,,,,,,,,,,,,,,,
,AERO,,,,,,,,,,,,,,,
,BIOT,,,,,,,,,,,,,,,
,BMEL,,,,,,,,,,,,,,,
,BMEN,,,,,,,,,,,,,,,
,CECL,,,,,,,,,,,,,,,
,CECN,,,,,,,,,,,,,,,
,CEEL,,,,,,,,,,,,,,,
,CEEN,,,,,,,,,,,,,,,
,CHEL,,,,,,,,,,,,,,,
,CHEN,,,,,,,,,,,,,,,
,CPSC,,,,,,,,,,1,1,,,1,
,CPSL,,,,,,,,,,,,,,,
,CVEL,,,,,,,,,,,,,,,
,CVEN,,,,1,,1,,,,,,,,1,
,ELEL,,,,,,,,,,,,,,,
,ELEN,,,,,,,,,,,,,,,
,ENGR,,,,,,,,,,,,,,,
,ENSM,,,,,,,,,,,,,,,
,ENTC,,,,,,,,,,,,,,,
,ENTL,,,,,,,,,,,,,,,
,HLPH,,,,,,,,,,,,,,,
,IDIL,,,,,,,,,,,,,,,
,IDIS,,,,,,,,,,,,,,,
,INEL,,,,,,,,,,,,,,,
,INEN,,,1,,,1,,,,,,,,1,
,ITDE,,,,,,,,,,,,,,,
,MEEL,,,,,,,,,,,,,,,
,MEEN,,,,,,,,,,,,,,,
,MSEN,,,,,,,,,,,,,,,
,NUEL,,,,,,,,,,,,,,,
,NUEN,,,,,,,,,,,,,,,
,OCEL,,,,,,,,,,,,,,,
,OCEN,,,,,,,,,,,,,,,
,PETE,,,,,,,,,,,,,,,
"Prepared by OISP, 11 Aug 11",,,,,,,,,,,,,,,,
