Demographic Summary by Texas Top 10% Status College Station Campus,,,,,,,,
First-Time In College Students Summer 2011,,,,,,,,
Summer 2011,,Top 10% Texas High School,,,,Grand Total,,
,,Yes,,No,,#,%,
,,#,%,#,%,,,
Headcount Total,,42,10.7%,351,89.3%,393,100.0%,
Gender,Female,15,7.2%,194,92.8%,209,100.0%,
,Male,27,14.7%,157,85.3%,184,100.0%,
Ethnicity,White Only (NEW),17,7.0%,227,93.0%,244,100.0%,
,Black Only + 2 or more/1 Black (NEW),4,11.1%,32,88.9%,36,100.0%,
,Hispanic or Latino of any Race (NEW),16,17.4%,76,82.6%,92,100.0%,
,Asian Only (NEW),4,28.6%,10,71.4%,14,100.0%,
,Native Hawaii Only (New),,,1,100.0%,1,100.0%,
,American Indian Only (NEW),,,1,100.0%,1,100.0%,
,2 or More/Excluding Black (NEW),1,20.0%,4,80.0%,5,100.0%,
TAMU Age Categories,<18,,,2,100.0%,2,100.0%,
,18-21,42,10.7%,349,89.3%,391,100.0%,
College,Agriculture,1,25.0%,3,75.0%,4,100.0%,
,Business Admin,2,50.0%,2,50.0%,4,100.0%,
,Education,1,11.1%,8,88.9%,9,100.0%,
,Engineering,22,66.7%,11,33.3%,33,100.0%,
,Geosciences,9,64.3%,5,35.7%,14,100.0%,
,Liberal Arts,1,100.0%,,,1,100.0%,
,Science,3,60.0%,2,40.0%,5,100.0%,
,Veterinary Medicine,,,1,100.0%,1,100.0%,
,General Studies,3,.9%,319,99.1%,322,100.0%,
Enrollment Status,1st Time in College,42,10.7%,351,89.3%,393,100.0%,
Tuition Status,Resident Tuition,42,11.6%,319,88.4%,361,100.0%,
,Non-Resident Tuition,,,23,100.0%,23,100.0%,
,Tuition Exemption/Waiver,,,9,100.0%,9,100.0%,
Residency Status,Texas Resident,42,11.4%,327,88.6%,369,100.0%,
,"Non-TX, US Resident",,,24,100.0%,24,100.0%,
SCH Categories,< 6 SCH,12,57.1%,9,42.9%,21,100.0%,
,6-8 SCH,28,7.6%,339,92.4%,367,100.0%,
,9-11 SCH,2,40.0%,3,60.0%,5,100.0%,
Ft/Pt:  TAMU Status,Less Than Half Time,2,40.0%,3,60.0%,5,100.0%,
,Half-Time,38,9.9%,345,90.1%,383,100.0%,
,Full-Time,2,40.0%,3,60.0%,5,100.0%,
First Generation,No,26,6.6%,230,58.5%,256,65.1%,
,Unknown,,,8,2.0%,8,2.0%,
,Yes,16,4.1%,113,28.8%,129,32.8%,
"Prepared by OISP, 11 Aug 11",,,,,,,,
