Ethnicity Unknown or Not Reported,,,,,,,,,,,,,,,,
Headcount by Department by Classification by Ethnicity College Station Campus,,,,,,,,,,,,,,,,
Summer 2011,,,,,,,,,,,,,,,,
Summer 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Liberal Arts,ANTH,,,,,,,,,,,,,,,
,CLLA,,,,,,,,,,,,,,,
,COMM,,,,,,,,,,,,,,,
,ECON,,1,,,,1,,,,,,,,1,
,ENGL,,,,1,,1,,,,,,,,1,
,EURO,,,,,,,,,,,,,,,
,HISP,,,,,,,,,,,,,,,
,HIST,1,,,,,1,,,,,,,,1,
,PHUM,,,,,,,,,,,,,,,
,POLS,,,,,,,,,,,,,,,
,PRFM,,,,,,,,,,,,,,,
,PSYC,1,,,1,,2,,,,,,,,2,
,SOCI,,,,,,,,,,1,1,,,1,
,Subtotal,2,1,,2,,5,,,,1,1,,,6,
Science,BIOL,,,,,,,,,,,,,,,
,CHEM,2,1,6,7,,16,,1,1,1,1,,,18,
,CLSC,,,,,,,,,,,,,,,
,MATH,,,,,,,,1,1,,,,,1,
,PHYS,4,3,2,,,9,,,,2,2,,,11,
,STAT,,,,,,,1,2,3,,,,,3,
,Subtotal,6,4,8,7,,25,1,4,5,3,3,,,33,
Veterinary Medicine,CLVM,,1,,,,1,,,,,,1,1,2,
,VIBS,,,,,,,,,,,,,,,
,VLCS,,,,,,,,,,,,,,,
,VSCS,,,,,,,,,,,,,,,
,VTPB,,,,,,,,,,,,,,,
,VTPP,,,,,,,,,,,,,,,
,Subtotal,,1,,,,1,,,,,,1,1,2,
General Studies,GEST,1,,,,,1,,,,,,,,1,
,Subtotal,1,,,,,1,,,,,,,,1,
Other - Special Populations,CLMD,,,,,,,,,,,,,,,
,ECEN,,,,,,,,,,,,,,,
,MARB,,,,,,,,,,,,,,,
,MARS,,,,,,,,,,,,,,,
,MASE,,,,,,,,,,,,,,,
,MEEN,,,,,,,,,,,,,,,
,PETE,,,,,,,,,,,,,,,
,SRPH,,,,,,,3,,3,,,,,3,
,Subtotal,,,,,,,3,,3,,,,,3,
University,Total,25,21,39,55,1,141,7,14,21,16,16,1,1,179,
"Prepared by OISP, 11 Aug 11",,,,,,,,,,,,,,,,
